Activity,Year,Percentage
Pesticide,1997,99.264
Pesticide,1999,98.77
Pesticide,1998,99.91
Pesticide,2003,99.601
Pesticide,2000,97.704
Pesticide,2007,96.254
Pesticide,2004,99.998
Fungicide,1999,94.118
Fungicide,2004,99.998
Insecticide,1997,85.06
Insecticide,1999,78.1245
Insecticide,1998,90.604
Insecticide,2003,83.592
Insecticide,2000,66.41
Insecticide,2007,54.959
Insecticide,2004,81.991
Herbicide,1997,98.778
Herbicide,1999,97.897
Herbicide,1998,99.406
Herbicide,2003,99.175
Herbicide,2000,96.917
Herbicide,2007,94.724
Herbicide,2004,99.745
