Activity,Year,Percentage
Pesticide,1997,96.446
Pesticide,1996,93.7025
Pesticide,1999,96.2295
Pesticide,1998,86.9155
Pesticide,2002,92.724
Pesticide,2003,98.15
Pesticide,2000,75.5796666667
Pesticide,2006,92.628
Pesticide,2007,99.004
Fungicide,2003,17.17
Fungicide,2006,36.536
Insecticide,1997,77.017
Insecticide,1996,90.592
Insecticide,1999,86.511
Insecticide,1998,97.069
Insecticide,2003,82.856
Insecticide,2000,80.726
Insecticide,2006,10.396
Insecticide,2007,90.162
Herbicide,1997,91.967
Herbicide,1996,92.7545
Herbicide,1999,94.745
Herbicide,1998,83.766
Herbicide,2002,92.412
Herbicide,2003,95.148
Herbicide,2000,73.8993333333
Herbicide,2006,91.076
Herbicide,2007,96.368
