Activity,Year,Percentage
Pesticide,1997,99.033
Pesticide,1996,98.156
Pesticide,1999,98.974
Pesticide,1998,96.2175
Pesticide,2003,99.201
Pesticide,2000,98.491
Pesticide,2006,92.512
Pesticide,2007,98.522
Fungicide,2006,47.744
Insecticide,1997,90.986
Insecticide,1996,95.91
Insecticide,1999,93.095
Insecticide,1998,98.207
Insecticide,2003,86.214
Insecticide,2000,96.509
Insecticide,2007,88.924
Herbicide,1997,98.992
Herbicide,1996,95.55
Herbicide,1999,96.639
Herbicide,1998,97.4733333333
Herbicide,2003,98.004
Herbicide,2000,97.953
Herbicide,2006,91.202
Herbicide,2007,82.453
