Activity,Year,Percentage
Pesticide,1997,64.551
Pesticide,1996,65.332
Pesticide,1999,94.121
Pesticide,1998,76.7725
Pesticide,2003,51.73
Pesticide,2000,62.933
Pesticide,2001,87.121
Pesticide,2004,54.164
Pesticide,2005,94.551
Pesticide,2009,82.276
Pesticide,2010,96.287
Manure,2001,18.881
Insecticide,1999,44.793
Insecticide,2000,58.79
Insecticide,2001,44.354
Herbicide,1997,61.489
Herbicide,1996,60.838
Herbicide,1999,92.953
Herbicide,1998,73.9995
Herbicide,2003,51.73
Herbicide,2000,95.972
Herbicide,2001,84.481
Herbicide,2004,54.164
Herbicide,2005,86.593
Herbicide,2009,75.7095
Herbicide,2010,95.385
