Activity,Year,Percentage
Pesticide,1997,99.758
Pesticide,1996,99.859
Pesticide,1999,99.556
Pesticide,1998,77.5605
Pesticide,2003,99.388
Pesticide,2000,98.985
Pesticide,2001,89.274
Pesticide,2007,100.0
Pesticide,2004,100.0
Pesticide,2005,91.219
Pesticide,2010,97.502
Fungicide,1999,89.352
Fungicide,2004,99.048
Insecticide,1997,90.376
Insecticide,1996,72.579
Insecticide,1999,84.815
Insecticide,1998,83.443
Insecticide,2003,84.975
Insecticide,2000,82.616
Insecticide,2007,84.938
Insecticide,2004,78.323
Insecticide,2010,24.391
Herbicide,1997,99.486
Herbicide,1996,99.884
Herbicide,1999,98.5005
Herbicide,1998,99.223
Herbicide,2003,96.036
Herbicide,2000,97.429
Herbicide,2001,86.703
Herbicide,2007,99.958
Herbicide,2004,99.268
Herbicide,2005,91.219
Herbicide,2010,97.502
