Activity,Year,Percentage
Pesticide,1997,97.6955
Pesticide,1996,97.0925
Pesticide,1999,95.767
Pesticide,1998,97.063
Pesticide,2002,97.649
Pesticide,2000,97.3365
Pesticide,2001,97.349
Pesticide,2006,98.354
Pesticide,2005,94.232
Pesticide,2010,99.091
Manure,1997,6.822
Manure,1996,13.506
Manure,1999,12.403
Manure,1998,12.1515
Manure,2002,6.645
Manure,2000,20.865
Manure,2001,11.595
Manure,2006,3.711
Manure,2005,14.8775
Manure,2010,16.562
Insecticide,1997,19.496
Insecticide,1996,16.606
Insecticide,1999,25.058
Insecticide,1998,17.752
Insecticide,2000,16.312
Insecticide,2001,8.247
Insecticide,2006,8.651
Insecticide,2005,17.668
Herbicide,1997,97.0795
Herbicide,1996,97.0145
Herbicide,1999,95.7415
Herbicide,1998,96.9165
Herbicide,2002,97.606
Herbicide,2000,97.2545
Herbicide,2001,96.341
Herbicide,2006,97.563
Herbicide,2005,94.083
Herbicide,2010,97.275
