Activity,Year,Percentage
Pesticide,1997,96.3295
Pesticide,1996,96.9605
Pesticide,1999,96.049
Pesticide,1998,94.3105
Pesticide,2002,95.388
Pesticide,2000,79.4833333333
Pesticide,2001,97.367
Pesticide,2006,98.505
Pesticide,2004,36.017
Pesticide,2005,98.211
Pesticide,2009,48.428
Pesticide,2010,95.531
Manure,1999,8.849
Manure,1998,4.326
Manure,2009,1.25
Manure,2010,6.645
Manure,1996,5.115
Fungicide,2010,22.509
Insecticide,1997,22.9015
Insecticide,1996,40.56
Insecticide,1999,37.954
Insecticide,1998,30.956
Insecticide,2002,1.331
Insecticide,2000,43.225
Insecticide,2001,42.43
Insecticide,2005,54.783
Insecticide,2010,22.508
Herbicide,1997,96.32
Herbicide,1996,96.7095
Herbicide,1999,96.143
Herbicide,1998,93.0065
Herbicide,2002,95.628
Herbicide,2000,79.4506666667
Herbicide,2001,97.464
Herbicide,2006,98.749
Herbicide,2004,32.92
Herbicide,2005,96.97
Herbicide,2009,39.7925
Herbicide,2010,93.437
