Activity,Year,Percentage
Pesticide,1997,96.9525
Pesticide,1996,97.4305
Pesticide,1999,96.0835
Pesticide,1998,98.338
Pesticide,2002,97.088
Pesticide,2000,98.2045
Pesticide,2001,99.091
Pesticide,2006,98.073
Pesticide,2005,91.015
Pesticide,2010,99.681
Manure,1999,14.405
Manure,1998,6.918
Manure,2001,7.592
Manure,2010,5.468
Manure,1996,8.428
Insecticide,1997,29.877
Insecticide,1996,35.328
Insecticide,1999,36.343
Insecticide,1998,44.593
Insecticide,2000,30.081
Insecticide,2001,35.944
Insecticide,2005,44.246
Herbicide,1997,95.9545
Herbicide,1996,97.5535
Herbicide,1999,93.688
Herbicide,1998,97.991
Herbicide,2002,97.088
Herbicide,2000,97.6685
Herbicide,2001,97.965
Herbicide,2006,99.394
Herbicide,2005,86.368
Herbicide,2010,96.134
