Activity,Year,Percentage
Pesticide,1997,61.393
Pesticide,1996,72.15
Pesticide,1999,95.8125
Pesticide,1998,74.1976666667
Pesticide,2002,97.469
Pesticide,2003,89.39
Pesticide,2000,75.0526666667
Pesticide,2001,91.096
Pesticide,2006,98.966
Pesticide,2004,41.243
Pesticide,2005,82.277
Pesticide,2009,51.92
Pesticide,2010,98.071
Manure,2006,0.558
Manure,2010,10.12
Insecticide,1998,49.321
Insecticide,2001,20.85
Insecticide,1996,39.666
Herbicide,1997,61.393
Herbicide,1996,68.2875
Herbicide,1999,95.732
Herbicide,1998,72.958
Herbicide,2002,97.428
Herbicide,2003,89.39
Herbicide,2000,72.0423333333
Herbicide,2001,89.233
Herbicide,2006,98.805
Herbicide,2004,36.906
Herbicide,2005,80.008
Herbicide,2009,50.6045
Herbicide,2010,96.073
