Activity,Year,Percentage
Pesticide,1997,94.723
Pesticide,1996,91.088
Pesticide,1999,97.7735
Pesticide,1998,93.217
Pesticide,2002,96.393
Pesticide,2003,99.544
Pesticide,2000,99.0475
Pesticide,2006,98.1735
Pesticide,2007,99.631
Fungicide,1998,22.76
Fungicide,2000,23.524
Fungicide,2006,41.6635
Insecticide,1997,56.982
Insecticide,1996,60.4055
Insecticide,1999,74.484
Insecticide,1998,64.3445
Insecticide,2002,73.087
Insecticide,2003,92.369
Insecticide,2000,77.0985
Insecticide,2006,58.1795
Insecticide,2007,98.223
Herbicide,1997,89.575
Herbicide,1996,86.7065
Herbicide,1999,95.3705
Herbicide,1998,90.2605
Herbicide,2002,92.473
Herbicide,2003,99.622
Herbicide,2000,95.5405
Herbicide,2006,96.063
Herbicide,2007,97.365
