Activity,Year,Percentage
Pesticide,1997,97.8795
Pesticide,1996,97.882
Pesticide,1999,97.9675
Pesticide,1998,96.0515
Pesticide,2002,96.688
Pesticide,2000,98.2
Pesticide,2001,87.155
Pesticide,2006,98.097
Pesticide,2004,59.874
Pesticide,2005,79.4335
Pesticide,2009,51.939
Pesticide,2010,98.102
Manure,1996,25.515
Manure,1998,27.661
Manure,2002,6.511
Manure,2000,6.93
Manure,2001,22.349
Manure,2005,23.754
Manure,2010,17.728
Insecticide,1996,25.709
Insecticide,2005,15.765
Herbicide,1997,97.8565
Herbicide,1996,97.88
Herbicide,1999,97.9685
Herbicide,1998,95.904
Herbicide,2002,96.688
Herbicide,2000,98.1925
Herbicide,2001,86.657
Herbicide,2006,98.097
Herbicide,2004,51.412
Herbicide,2005,79.187
Herbicide,2009,46.831
Herbicide,2010,94.324
