Activity,Year,Percentage
Pesticide,1997,91.7096666667
Pesticide,1996,94.0316666667
Pesticide,1999,96.4395
Pesticide,1998,96.2186666667
Pesticide,2002,96.928
Pesticide,2003,71.817
Pesticide,2000,94.744
Pesticide,2001,97.477
Pesticide,2006,98.768
Pesticide,2004,98.08
Pesticide,2005,98.916
Pesticide,2009,89.4475
Pesticide,2010,95.461
Manure,1996,25.492
Manure,1999,23.366
Manure,1998,28.121
Manure,2000,11.727
Manure,2001,24.018
Manure,2006,1.743
Manure,2005,14.586
Manure,2010,25.351
Fungicide,2009,59.44
Fungicide,2004,49.411
Insecticide,1996,12.778
Insecticide,2001,7.961
Insecticide,2006,53.332
Insecticide,2005,16.851
Herbicide,1997,91.1763333333
Herbicide,1996,93.9966666667
Herbicide,1999,96.5095
Herbicide,1998,96.1836666667
Herbicide,2002,96.928
Herbicide,2003,52.199
Herbicide,2000,94.744
Herbicide,2001,97.437
Herbicide,2006,97.995
Herbicide,2004,98.036
Herbicide,2005,98.443
Herbicide,2009,80.37675
Herbicide,2010,92.397
