Activity,Year,Percentage
Pesticide,1997,81.1785
Pesticide,1996,98.3995
Pesticide,1999,96.2545
Pesticide,1998,94.085
Pesticide,2002,97.603
Pesticide,2003,97.413
Pesticide,2000,95.1413333333
Pesticide,2001,97.391
Pesticide,2006,96.6045
Pesticide,2007,99.943
Pesticide,2004,38.484
Pesticide,2005,96.051
Pesticide,2009,48.57
Pesticide,2010,94.26
Manure,1998,7.039
Insecticide,1997,53.098
Insecticide,1996,32.986
Insecticide,1999,38.107
Insecticide,1998,43.83
Insecticide,2003,77.606
Insecticide,2000,55.154
Insecticide,2001,40.214
Insecticide,2007,83.258
Herbicide,1997,80.906
Herbicide,1996,98.15
Herbicide,1999,96.202
Herbicide,1998,93.496
Herbicide,2002,97.603
Herbicide,2003,94.915
Herbicide,2000,92.8316666667
Herbicide,2001,94.186
Herbicide,2006,96.367
Herbicide,2007,100.0
Herbicide,2004,38.484
Herbicide,2005,96.051
Herbicide,2009,41.503
Herbicide,2010,94.26
