Activity,Year,Percentage
Pesticide,1997,98.356
Pesticide,1996,98.6465
Pesticide,1999,98.7975
Pesticide,1998,86.581
Pesticide,2002,95.395
Pesticide,2003,99.898
Pesticide,2000,99.6555
Pesticide,2006,97.7865
Pesticide,2007,99.948
Fungicide,1998,16.063
Fungicide,2006,42.935
Fungicide,1997,29.789
Insecticide,1997,99.642
Insecticide,1996,94.791
Insecticide,1999,97.633
Insecticide,1998,94.666
Insecticide,2003,85.329
Insecticide,2000,99.065
Insecticide,2006,40.2485
Insecticide,2007,96.772
Herbicide,1997,98.3855
Herbicide,1996,98.614
Herbicide,1999,98.7495
Herbicide,1998,83.2906666667
Herbicide,2002,94.301
Herbicide,2003,99.981
Herbicide,2000,98.957
Herbicide,2006,97.5755
Herbicide,2007,99.916
