Activity,Year,Percentage
Pesticide,1997,99.3145
Pesticide,1996,98.272
Pesticide,1999,94.931
Pesticide,1998,87.5435
Pesticide,2002,74.36
Pesticide,2003,99.325
Pesticide,2000,89.24975
Pesticide,2001,98.523
Pesticide,2006,98.472
Pesticide,2007,99.706
Pesticide,2004,99.929
Pesticide,2005,98.676
Pesticide,2010,98.421
Manure,2000,4.453
Fungicide,1999,85.285
Fungicide,2003,7.496
Fungicide,2004,95.432
Insecticide,1997,91.526
Insecticide,1999,72.5173333333
Insecticide,1998,61.8615
Insecticide,2003,89.619
Insecticide,2000,70.3895
Insecticide,2007,79.477
Insecticide,2004,91.437
Herbicide,1997,97.385
Herbicide,1996,97.133
Herbicide,1999,89.74175
Herbicide,1998,83.5315
Herbicide,2002,73.272
Herbicide,2003,96.508
Herbicide,2000,87.04325
Herbicide,2001,96.366
Herbicide,2006,93.1745
Herbicide,2007,97.295
Herbicide,2004,99.929
Herbicide,2005,98.676
Herbicide,2010,98.421
