Activity,Year,Percentage
Pesticide,1997,87.7965
Pesticide,1996,92.982
Pesticide,1998,95.275
Pesticide,2002,98.611
Pesticide,2003,83.895
Pesticide,2000,86.893
Pesticide,2001,90.564
Pesticide,2006,99.21
Pesticide,2004,97.737
Pesticide,2005,77.8565
Pesticide,2009,98.3696666667
Pesticide,2010,99.261
Manure,2003,2.013
Manure,2009,1.564
Fungicide,2009,47.531
Fungicide,2004,41.908
Insecticide,2006,60.629
Herbicide,1997,87.7926666667
Herbicide,1996,92.0616666667
Herbicide,1998,94.1643333333
Herbicide,2002,98.681
Herbicide,2003,79.024
Herbicide,2000,86.0242857143
Herbicide,2001,90.722
Herbicide,2006,99.58
Herbicide,2004,98.1296666667
Herbicide,2005,77.8075
Herbicide,2009,92.8081666667
Herbicide,2010,99.261
