Activity,Year,Percentage
Pesticide,1997,97.2525
Pesticide,1996,99.2365
Pesticide,1999,98.7035
Pesticide,1998,98.252
Pesticide,2002,99.023
Pesticide,2000,97.6745
Pesticide,2001,97.322
Pesticide,2006,99.285
Pesticide,2004,29.882
Pesticide,2005,98.801
Pesticide,2009,32.247
Pesticide,2010,98.691
Manure,1996,9.198
Manure,1999,17.031
Manure,1998,12.849
Manure,2000,20.417
Manure,2001,12.99
Manure,2005,14.667
Manure,2010,10.095
Insecticide,1996,28.516
Insecticide,1998,40.68
Insecticide,2001,17.613
Insecticide,2005,9.272
Herbicide,1997,97.2525
Herbicide,1996,98.867
Herbicide,1999,98.7135
Herbicide,1998,98.252
Herbicide,2002,99.023
Herbicide,2000,97.7105
Herbicide,2001,97.032
Herbicide,2006,99.089
Herbicide,2004,29.882
Herbicide,2005,98.495
Herbicide,2009,28.8945
Herbicide,2010,93.566
