Activity,Year,Percentage
Pesticide,1997,53.4395
Pesticide,1996,96.135
Pesticide,1999,99.485
Pesticide,1998,96.462
Pesticide,2003,32.188
Pesticide,2000,98.395
Pesticide,2001,95.19
Pesticide,2005,78.6015
Pesticide,2010,97.809
Manure,1997,19.945
Manure,1996,57.561
Manure,1999,33.469
Manure,1998,53.294
Manure,2003,59.965
Manure,2000,74.895
Manure,2001,59.46
Manure,2005,46.853
Manure,2010,68.177
Insecticide,1998,43.61
Insecticide,2000,57.184
Insecticide,2001,46.771
Insecticide,1996,53.677
Herbicide,1997,84.49
Herbicide,1996,95.943
Herbicide,1999,99.485
Herbicide,1998,95.481
Herbicide,2003,32.188
Herbicide,2000,98.395
Herbicide,2001,95.141
Herbicide,2005,78.258
Herbicide,2010,97.385
