Activity,Year,Percentage
Pesticide,1997,88.71025
Pesticide,1996,81.9625
Pesticide,1999,95.7715
Pesticide,1998,87.64525
Pesticide,2002,98.376
Pesticide,2003,84.355
Pesticide,2000,86.1525
Pesticide,2001,93.925
Pesticide,2006,98.739
Pesticide,2004,74.2925
Pesticide,2005,66.738
Pesticide,2009,94.4725
Pesticide,2010,99.769
Manure,2009,1.773
Fungicide,2009,40.325
Insecticide,1996,24.681
Insecticide,2006,24.223
Insecticide,2005,11.777
Herbicide,1997,88.31025
Herbicide,1996,80.656
Herbicide,1999,95.7715
Herbicide,1998,87.52825
Herbicide,2002,97.657
Herbicide,2003,84.355
Herbicide,2000,85.80825
Herbicide,2001,93.917
Herbicide,2006,98.731
Herbicide,2004,74.645
Herbicide,2005,66.9205
Herbicide,2009,84.00425
Herbicide,2010,99.128
