Activity,Year,Percentage
Pesticide,1997,98.8715
Pesticide,1996,98.9415
Pesticide,1999,98.315
Pesticide,1998,98.3835
Pesticide,2002,99.057
Pesticide,2003,99.047
Pesticide,2000,97.112
Pesticide,2006,99.995
Pesticide,2007,98.896
Fungicide,2006,35.008
Insecticide,1997,84.252
Insecticide,1996,88.667
Insecticide,1999,97.578
Insecticide,1998,97.356
Insecticide,2003,73.549
Insecticide,2000,99.659
Insecticide,2006,25.287
Insecticide,2007,93.386
Herbicide,1997,98.0985
Herbicide,1996,98.77
Herbicide,1999,96.56
Herbicide,1998,98.3375
Herbicide,2002,99.057
Herbicide,2003,97.778
Herbicide,2000,96.75
Herbicide,2006,98.393
Herbicide,2007,97.096
