Activity,Year,Percentage
Pesticide,1997,66.045
Pesticide,1996,90.7985
Pesticide,1999,96.1633333333
Pesticide,1998,71.8163333333
Pesticide,2003,89.047
Pesticide,2000,90.443
Pesticide,2001,95.653
Pesticide,2006,95.422
Pesticide,2007,96.725
Pesticide,2004,95.136
Pesticide,2005,96.21
Pesticide,2009,43.627
Pesticide,2010,96.72
Fungicide,1999,34.847
Fungicide,2009,2.97
Fungicide,2006,55.465
Fungicide,2004,67.983
Insecticide,1997,60.996
Insecticide,1996,59.4413333333
Insecticide,1999,64.7635
Insecticide,1998,56.434
Insecticide,2003,36.093
Insecticide,2000,61.4535
Insecticide,2001,65.16
Insecticide,2006,76.376
Insecticide,2007,40.662
Insecticide,2005,23.278
Herbicide,1997,59.594
Herbicide,1996,86.918
Herbicide,1999,93.1036666667
Herbicide,1998,69.914
Herbicide,2003,87.216
Herbicide,2000,85.093
Herbicide,2001,83.374
Herbicide,2006,95.239
Herbicide,2007,95.209
Herbicide,2004,93.523
Herbicide,2005,95.693
Herbicide,2009,34.712
Herbicide,2010,96.72
