Activity,Year,Percentage
Pesticide,1997,97.081
Pesticide,1996,95.661
Pesticide,1999,95.872
Pesticide,1998,97.976
Pesticide,2002,80.245
Pesticide,2000,89.769
Pesticide,2001,95.694
Pesticide,2006,98.029
Pesticide,2005,57.453
Pesticide,2010,95.313
Manure,1996,52.047
Manure,1999,45.685
Manure,1998,45.851
Manure,2003,30.748
Manure,2000,24.809
Manure,2001,44.961
Manure,2006,9.503
Manure,2005,35.484
Manure,2010,49.131
Insecticide,1997,19.329
Insecticide,1996,41.754
Insecticide,1999,31.114
Insecticide,1998,24.46
Insecticide,2000,19.821
Insecticide,2005,22.329
Herbicide,1997,97.081
Herbicide,1996,95.3
Herbicide,1999,95.872
Herbicide,1998,97.947
Herbicide,2002,80.245
Herbicide,2000,89.3385
Herbicide,2001,95.644
Herbicide,2006,98.597
Herbicide,2005,57.704
Herbicide,2010,92.219
