id,lat,lon,eleveation,state,name,wmoid,inchesRain
CAW00064757,44.2325,-79.7811,246.0,ON,EGBERT 1 W,,31.72
USC00010008,31.5703,-85.2483,139.0,AL,ABBEVILLE,,55.51
USC00010063,34.2553,-87.1814,249.3,AL,ADDISON,,58.24
USC00010140,32.2322,-87.4103,53.3,AL,ALBERTA,,54.31
USC00010160,32.9453,-85.9481,195.1,AL,ALEXANDER CITY,,55.62
USC00010178,33.1272,-88.1550,59.4,AL,ALICEVILLE,,56.17
USC00010184,33.2100,-88.2878,50.3,AL,ALICEVILLE L&D,,53.14
USC00010252,31.3072,-86.5225,76.2,AL,ANDALUSIA 3 W,,59.97
USC00010260,34.9092,-87.2747,208.8,AL,ANDERSON,,57.93
USC00010369,33.2942,-85.7789,311.5,AL,ASHLAND 3 ENE,,58.15
USC00010390,34.7753,-86.9508,210.0,AL,ATHENS,,56.89
USC00010402,31.1819,-87.4389,91.4,AL,ATMORE,,62.69
USC00010425,32.5992,-85.4653,166.1,AL,AUBURN NO.2,,53.57
USC00010430,32.6000,-85.5000,198.7,AL,AUBURN AGRONOMY FARM,,52.55
USC00010440,32.4706,-86.6800,61.0,AL,AUTAUGAVILLE 3 N,,51.56
USC00010505,33.4528,-87.3572,85.3,AL,BANKHEAD LOCK & DAM,,59.84
USC00010583,30.8839,-87.7853,82.6,AL,BAY MINETTE,,68.90
USC00010655,34.6908,-86.8825,182.9,AL,BELLE MINA 2 N,,53.21
USC00010748,33.6972,-87.6492,157.9,AL,BERRY 3 NW,,58.43
USC00010764,33.3953,-87.0078,135.6,AL,BESSEMER 3 WSW,,57.12
USC00010957,34.2008,-86.1633,326.1,AL,BOAZ,,54.36
USC00011080,31.1414,-87.0486,48.8,AL,BREWTON 3 ENE,,70.73
USC00011084,31.0581,-87.0547,25.9,AL,BREWTON 3 SSE,,65.85
USC00011099,34.9786,-85.8008,204.2,AL,BRIDGEPORT 5 NW,,60.11
USC00011178,31.7056,-85.8369,138.7,AL,BRUNDIDGE,,57.36
USC00011288,33.0944,-86.7456,161.5,AL,CALERA,,55.28
USC00011301,32.0289,-87.3167,71.6,AL,CAMDEN 3 NW,,55.85
USC00011324,32.8236,-85.6561,207.3,AL,CAMP HILL 2NW,,53.66
USC00011377,33.8464,-87.4872,136.6,AL,CARBON HILL 4SE,,57.62
USC00011490,34.1500,-85.6847,182.9,AL,CENTRE,,54.10
USC00011620,33.2850,-86.3431,127.4,AL,CHILDERSBURG WTR PL,,53.47
USC00011690,31.6167,-87.5500,15.2,AL,CLAIBORNE L&D,,52.83
USC00011694,32.8203,-86.6522,185.9,AL,CLANTON,,57.88
USC00011810,31.7556,-88.1283,14.0,AL,COFFEEVILLE L&D,,52.94
USC00012096,34.1925,-86.7972,247.2,AL,CULLMAN NAHS,,58.62
USC00012172,30.2506,-88.0775,2.4,AL,DAUPHIN ISLAND #2,,61.38
USC00012245,32.5192,-87.8800,30.5,AL,DEMOPOLIS L&D,,54.52
USC00012377,31.1942,-85.3708,83.8,AL,DOTHAN,,55.91
USC00012577,31.4239,-86.0667,59.4,AL,ELBA,,58.04
USC00012675,31.2975,-85.8997,102.7,AL,ENTERPRISE 4 W,,54.31
USC00012730,32.0111,-85.0900,70.1,AL,EUFAULA WILDLIFE REF,,50.14
USC00012758,31.4450,-86.9533,88.4,AL,EVERGREEN,,61.02
USC00012813,30.5467,-87.8808,7.0,AL,FAIRHOPE 2 NE,,67.87
USC00012840,34.3667,-86.8833,190.5,AL,FALKVILLE 1 E,,54.04
USC00012883,33.6847,-87.8214,111.3,AL,FAYETTE,,55.50
USC00013043,34.4406,-85.7236,279.5,AL,FT PAYNE,,54.13
USC00013154,34.0219,-85.9878,172.2,AL,GADSDEN,,54.59
USC00013160,32.8347,-88.1342,38.1,AL,GAINESVILLE LOCK,,52.66
