year,state,yield
2002,WA,34.30
2002,DE,0.00
2002,WI,0.00
2002,WV,7.30
2002,WY,20.30
2002,NH,13.60
2002,NJ,10.40
2002,NM,17.30
2002,TX,14.00
2002,LA,0.00
2002,NC,0.00
2002,ND,51.90
2002,NE,53.90
2002,NY,31.90
2002,PA,0.00
2002,VA,0.00
2002,CO,21.70
2002,CA,49.80
2002,AL,15.60
2002,VT,9.30
2002,IN,29.00
2002,IA,31.60
2002,MA,0.00
2002,AZ,18.40
2002,ID,34.70
2002,CT,0.00
2002,ME,0.00
2002,MD,17.80
2002,OK,0.00
2002,OH,29.60
2002,UT,15.90
2002,MO,37.50
2002,MN,54.80
2002,MI,55.50
2002,KS,0.00
2002,MT,27.70
2002,MS,5.30
2002,KY,0.00
2002,OR,42.40
2002,SD,15.20
2007,WA,48.90
2007,WI,0.00
2007,WY,23.40
2007,NH,0.00
2007,NJ,0.00
2007,NM,22.30
2007,TX,18.90
2007,ND,52.30
2007,NE,63.40
2007,NY,15.30
2007,PA,0.00
2007,CO,35.60
2007,CA,21.60
2007,VT,0.00
2007,IN,0.00
2007,IA,0.00
2007,MA,0.00
2007,AZ,18.80
2007,ID,35.50
2007,CT,30.00
2007,ME,9.10
2007,OK,0.00
2007,OH,0.00
2007,UT,20.40
2007,MO,0.00
2007,MN,55.50
2007,MI,49.00
2007,KS,26.70
2007,MT,33.10
2007,OR,36.70
2007,SD,15.30
2012,WA,17.20
2012,WI,20.30
2012,FL,54.10
2012,WY,23.80
2012,NH,9.90
2012,NJ,0.00
2012,NM,21.40
2012,TX,0.00
2012,NC,0.00
2012,ND,52.60
2012,NE,68.50
2012,NY,20.90
2012,PA,24.10
2012,CO,42.80
2012,CA,62.00
2012,AL,0.00
2012,VT,3.60
2012,IL,0.00
2012,IN,0.00
2012,IA,0.00
2012,OK,0.00
2012,AZ,18.60
2012,ID,61.40
2012,CT,0.00
2012,ME,0.00
2012,MA,0.00
2012,OH,23.30
2012,UT,0.00
2012,MO,0.00
2012,MN,62.00
2012,MI,51.30
2012,KS,14.20
2012,MT,28.90
2012,MS,15.90
2012,KY,0.00
2012,OR,73.10
2012,SD,52.00
