year,state,yield
2002,WA,193.20
2002,DE,291.10
2002,WI,426.90
2002,WV,0.00
2002,HI,46.40
2002,FL,329.60
2002,WY,0.00
2002,NH,0.00
2002,NJ,243.10
2002,NM,252.10
2002,TX,357.80
2002,LA,369.20
2002,NC,277.30
2002,ND,365.40
2002,NE,351.80
2002,TN,353.80
2002,NY,285.90
2002,PA,221.60
2002,RI,88.20
2002,NV,142.90
2002,VA,262.80
2002,CO,302.60
2002,CA,335.60
2002,AL,309.30
2002,AR,392.50
2002,VT,0.00
2002,IL,406.40
2002,GA,342.50
2002,IN,357.80
2002,IA,436.90
2002,MA,0.00
2002,AZ,184.20
2002,ID,0.00
2002,CT,0.00
2002,ME,0.00
2002,MD,281.50
2002,OK,364.60
2002,OH,332.90
2002,UT,142.30
2002,MO,362.80
2002,MN,464.40
2002,MI,368.50
2002,KS,344.80
2002,MT,136.10
2002,MS,368.70
2002,SC,210.80
2002,KY,341.00
2002,OR,302.00
2002,SD,325.80
2007,WA,0.00
2007,DE,348.50
2007,WI,440.20
2007,WV,0.00
2007,HI,40.10
2007,FL,71.20
2007,WY,272.50
2007,NH,133.40
2007,NJ,413.40
2007,NM,376.90
2007,TX,458.20
2007,LA,482.70
2007,NC,322.80
2007,ND,392.10
2007,NE,451.70
2007,TN,390.10
2007,NY,409.80
2007,PA,400.70
2007,RI,78.20
2007,NV,154.70
2007,VA,280.20
2007,CO,364.60
2007,CA,182.20
2007,AL,297.00
2007,AR,497.10
2007,VT,144.20
2007,IL,515.60
2007,GA,372.10
2007,IN,452.20
2007,IA,432.80
2007,MA,0.00
2007,AZ,179.90
2007,ID,0.00
2007,CT,0.00
2007,ME,128.20
2007,MD,378.20
2007,OK,451.20
2007,OH,145.90
2007,UT,152.10
2007,MO,451.50
2007,MN,436.30
2007,MI,401.70
2007,KS,436.90
2007,MT,315.90
2007,MS,459.30
2007,SC,318.50
2007,KY,428.00
2007,OR,451.40
2007,SD,392.60
2012,WA,0.00
2012,DE,410.50
2012,WI,375.40
2012,WV,0.00
2012,HI,70.60
2012,FL,366.00
2012,WY,142.00
2012,NH,108.00
2012,NJ,109.50
2012,NM,192.90
2012,TX,384.30
2012,LA,522.30
2012,NC,367.30
2012,ND,400.90
2012,NE,377.40
2012,TN,333.90
2012,NY,342.70
2012,PA,399.00
2012,RI,148.20
2012,NV,126.80
2012,VA,372.40
2012,CO,306.10
2012,CA,346.10
2012,AL,369.30
2012,AR,513.90
2012,VT,129.20
2012,IL,358.70
2012,GA,492.10
2012,IN,364.30
2012,IA,419.10
2012,OK,338.80
2012,AZ,432.50
2012,ID,194.30
2012,CT,122.40
2012,ME,260.20
2012,MD,423.80
2012,MA,145.10
2012,OH,385.80
2012,UT,158.80
2012,MO,313.80
2012,MN,479.00
2012,MI,439.80
2012,KS,299.40
2012,MT,300.30
2012,MS,479.60
2012,SC,408.70
2012,KY,227.10
2012,OR,490.80
2012,SD,332.60
