year,state,yield
2002,VA,4.20
2002,TN,6.40
2002,OK,8.60
2002,NM,5.80
2002,TX,9.30
2002,LA,9.40
2002,MS,10.40
2002,MO,9.20
2002,NC,5.40
2002,AL,7.40
2002,KS,8.40
2002,AR,10.20
2002,GA,8.00
2002,SC,5.00
2002,AZ,7.70
2002,FL,6.60
2002,CA,8.70
2007,VA,6.40
2007,OK,11.20
2007,NM,6.50
2007,TX,13.10
2007,LA,12.40
2007,MO,12.00
2007,NC,9.20
2007,KS,9.20
2007,AL,7.00
2007,TN,4.80
2007,GA,10.80
2007,AR,12.60
2007,MS,12.00
2007,SC,7.40
2007,AZ,7.80
2007,FL,7.80
2007,CA,9.10
2012,VA,8.60
2012,TN,11.80
2012,OK,8.00
2012,MS,12.60
2012,TX,9.80
2012,LA,12.60
2012,CA,9.90
2012,NC,12.00
2012,AL,12.20
2012,KS,8.80
2012,AR,12.40
2012,GA,13.00
2012,SC,12.60
2012,AZ,8.30
2012,FL,11.60
2012,MO,12.60
2012,NM,6.50
