year,state,yield
2002,WA,31.10
2002,DE,7.00
2002,WI,22.30
2002,WV,1.60
2002,HI,0.00
2002,FL,22.80
2002,WY,13.00
2002,NH,5.80
2002,NJ,21.00
2002,NM,24.50
2002,TX,29.80
2002,LA,18.30
2002,NC,24.10
2002,ND,20.80
2002,NE,23.00
2002,TN,24.70
2002,NY,7.50
2002,PA,21.10
2002,CA,36.20
2002,NV,17.60
2002,VA,23.40
2002,CO,17.20
2002,AK,2.30
2002,AL,20.00
2002,AR,17.90
2002,VT,3.90
2002,IL,16.90
2002,GA,20.60
2002,IN,17.20
2002,IA,13.20
2002,OK,27.60
2002,AZ,11.50
2002,ID,24.20
2002,CT,2.00
2002,ME,1.60
2002,MD,20.10
2002,MA,6.00
2002,OH,10.50
2002,UT,24.00
2002,MO,32.00
2002,MN,25.90
2002,MI,25.30
2002,RI,3.60
2002,KS,27.60
2002,MT,19.60
2002,MS,15.90
2002,SC,18.10
2002,KY,13.00
2002,OR,27.30
2002,SD,18.80
2007,WA,32.00
2007,DE,17.90
2007,WI,13.40
2007,WV,8.80
2007,HI,4.90
2007,FL,28.30
2007,WY,20.00
2007,NH,1.80
2007,NJ,24.00
2007,NM,29.20
2007,TX,37.30
2007,LA,21.00
2007,NC,21.20
2007,ND,23.80
2007,NE,30.10
2007,TN,18.00
2007,NY,19.50
2007,PA,23.40
2007,RI,4.30
2007,NV,11.00
2007,VA,23.90
2007,CO,24.20
2007,AK,1.90
2007,AL,19.20
2007,AR,28.40
2007,VT,3.80
2007,IL,15.80
2007,GA,28.00
2007,IN,19.70
2007,IA,14.90
2007,OK,31.80
2007,AZ,20.10
2007,CA,35.60
2007,ID,25.90
2007,CT,8.30
2007,ME,7.50
2007,MD,25.20
2007,MA,3.70
2007,OH,6.20
2007,UT,28.00
2007,MO,21.60
2007,MN,25.70
2007,MI,22.50
2007,KS,36.40
2007,MT,22.20
2007,MS,14.30
2007,SC,28.10
2007,KY,19.50
2007,OR,29.80
2007,SD,25.60
2012,WA,31.40
2012,DE,20.00
2012,WI,23.70
2012,WV,5.20
2012,HI,0.00
2012,FL,30.50
2012,WY,18.10
2012,NH,10.10
2012,NJ,16.10
2012,NM,29.70
2012,TX,29.40
2012,LA,16.90
2012,NC,30.80
2012,ND,22.70
2012,NE,25.80
2012,TN,28.40
2012,NY,19.00
2012,PA,25.50
2012,AK,4.80
2012,NV,21.70
2012,VA,26.00
2012,CO,18.20
2012,CA,40.70
2012,AL,14.90
2012,AR,12.40
2012,VT,5.70
2012,IL,16.50
2012,GA,21.30
2012,IN,17.50
2012,IA,14.90
2012,MA,6.60
2012,AZ,17.90
2012,ID,23.70
2012,CT,12.30
2012,ME,4.80
2012,MD,22.20
2012,OK,23.10
2012,OH,20.00
2012,UT,20.60
2012,MO,28.20
2012,MN,24.20
2012,MI,20.50
2012,RI,7.30
2012,KS,29.10
2012,MT,20.60
2012,MS,15.90
2012,SC,23.10
2012,KY,22.30
2012,OR,28.80
2012,SD,19.70
