year,state,yield
2002,WA,65.40
2002,DE,17.90
2002,WI,40.40
2002,WV,5.20
2002,FL,23.10
2002,WY,0.00
2002,NH,12.90
2002,NJ,0.00
2002,NM,20.20
2002,TX,33.30
2002,LA,19.00
2002,NC,21.10
2002,ND,11.80
2002,NE,36.30
2002,TN,17.80
2002,NY,12.30
2002,PA,42.10
2002,RI,10.00
2002,NV,8.00
2002,VA,33.10
2002,CO,27.70
2002,AK,1.30
2002,AL,7.40
2002,AR,11.50
2002,VT,13.20
2002,IL,0.00
2002,GA,31.50
2002,IN,13.90
2002,IA,7.20
2002,OK,9.10
2002,AZ,9.40
2002,CA,51.90
2002,ID,51.10
2002,CT,6.10
2002,ME,12.50
2002,MD,11.90
2002,MA,8.10
2002,OH,4.70
2002,UT,39.30
2002,MO,5.00
2002,MN,38.40
2002,MI,38.00
2002,KS,34.40
2002,MT,30.80
2002,MS,18.80
2002,SC,184.30
2002,KY,9.50
2002,OR,22.70
2002,SD,17.60
2007,WA,51.60
2007,DE,0.00
2007,WI,41.20
2007,WV,0.00
2007,HI,0.00
2007,FL,19.40
2007,WY,23.50
2007,NH,13.40
2007,NJ,11.00
2007,NM,36.70
2007,TX,47.30
2007,LA,10.80
2007,NC,15.10
2007,ND,14.80
2007,NE,40.10
2007,TN,3.00
2007,NY,12.10
2007,PA,27.40
2007,AK,0.00
2007,NV,5.40
2007,VA,32.40
2007,CO,24.40
2007,CA,55.90
2007,AL,9.20
2007,AR,2.90
2007,VT,0.00
2007,IL,0.00
2007,GA,26.70
2007,IN,30.30
2007,IA,11.00
2007,MA,6.40
2007,AZ,13.60
2007,ID,28.40
2007,CT,11.70
2007,ME,12.60
2007,MD,11.70
2007,OK,24.60
2007,OH,4.20
2007,UT,20.00
2007,MO,27.10
2007,MN,29.90
2007,MI,29.60
2007,RI,10.40
2007,KS,41.30
2007,MT,29.40
2007,MS,2.80
2007,SC,9.40
2007,KY,6.00
2007,OR,28.40
2007,SD,24.50
2012,WA,41.90
2012,DE,3.30
2012,WI,23.60
2012,WV,6.90
2012,HI,3.70
2012,FL,20.40
2012,WY,26.40
2012,NH,8.20
2012,NJ,9.90
2012,NM,38.50
2012,TX,39.50
2012,LA,16.90
2012,NC,17.70
2012,ND,0.00
2012,NE,29.10
2012,TN,3.90
2012,NY,24.70
2012,PA,33.30
2012,AK,0.00
2012,NV,4.60
2012,VA,26.20
2012,CO,27.10
2012,CA,54.60
2012,AL,3.50
2012,AR,4.50
2012,VT,19.20
2012,IL,10.50
2012,GA,35.00
2012,IN,22.80
2012,IA,10.90
2012,OK,23.20
2012,AZ,19.60
2012,ID,33.50
2012,CT,11.70
2012,ME,20.30
2012,MD,12.50
2012,MA,11.60
2012,OH,9.80
2012,UT,24.70
2012,MO,32.10
2012,MN,25.20
2012,MI,21.30
2012,RI,3.80
2012,KS,37.20
2012,MT,22.00
2012,MS,1.90
2012,SC,19.20
2012,KY,10.60
2012,OR,32.50
2012,SD,37.40
