year,state,yield
2002,WA,227.20
2002,DE,67.00
2002,WI,199.00
2002,WV,49.10
2002,FL,86.20
2002,WY,137.20
2002,NJ,0.00
2002,NM,106.20
2002,TX,129.70
2002,LA,134.00
2002,AK,41.60
2002,NC,160.90
2002,ND,172.30
2002,NE,146.80
2002,TN,61.40
2002,NY,161.90
2002,PA,192.50
2002,RI,40.90
2002,NV,103.60
2002,VA,147.10
2002,CO,123.20
2002,CA,236.90
2002,AL,76.90
2002,AR,0.00
2002,VT,38.00
2002,IL,72.30
2002,GA,181.80
2002,IN,0.00
2002,IA,0.00
2002,MA,45.00
2002,AZ,93.00
2002,ID,180.60
2002,CT,0.00
2002,ME,84.80
2002,MD,61.20
2002,OK,75.60
2002,OH,0.00
2002,UT,217.70
2002,MO,0.00
2002,MN,159.60
2002,MI,184.00
2002,KS,44.60
2002,MT,165.90
2002,MS,0.00
2002,SC,152.50
2002,KY,53.60
2002,OR,271.80
2002,SD,108.40
2007,WA,188.30
2007,DE,0.00
2007,WI,232.10
2007,WV,50.20
2007,FL,43.50
2007,WY,85.70
2007,NJ,49.90
2007,NM,60.00
2007,TX,122.70
2007,LA,85.10
2007,NC,151.60
2007,ND,199.70
2007,NE,172.80
2007,TN,49.90
2007,NY,0.00
2007,PA,53.00
2007,AK,0.00
2007,NV,0.00
2007,VA,82.30
2007,CO,77.70
2007,CA,307.60
2007,AL,56.60
2007,AR,93.00
2007,VT,54.60
2007,IL,0.00
2007,GA,169.50
2007,IN,194.40
2007,IA,139.90
2007,MA,0.00
2007,AZ,80.70
2007,ID,129.10
2007,CT,0.00
2007,ME,71.20
2007,MD,65.20
2007,OK,25.10
2007,OH,62.20
2007,UT,168.30
2007,MO,48.40
2007,MN,169.00
2007,MI,152.90
2007,RI,0.00
2007,KS,147.30
2007,MT,179.90
2007,MS,171.40
2007,SC,95.50
2007,KY,55.70
2007,OR,251.10
2007,SD,189.10
2012,WA,73.40
2012,DE,76.90
2012,WI,198.90
2012,WV,50.40
2012,FL,135.70
2012,WY,67.80
2012,NH,22.60
2012,NJ,61.30
2012,NM,99.30
2012,TX,177.60
2012,LA,0.00
2012,NC,166.40
2012,ND,61.90
2012,NE,167.00
2012,TN,62.80
2012,NY,63.90
2012,PA,193.70
2012,AK,62.90
2012,NV,104.70
2012,VA,0.00
2012,CO,117.40
2012,CA,254.20
2012,AL,0.00
2012,AR,0.00
2012,VT,68.30
2012,IL,175.60
2012,GA,153.60
2012,IN,106.00
2012,IA,198.70
2012,MA,76.00
2012,AZ,0.00
2012,ID,203.30
2012,CT,45.10
2012,ME,64.30
2012,MD,65.40
2012,OK,40.90
2012,OH,57.10
2012,UT,101.70
2012,MO,0.00
2012,MN,181.00
2012,MI,173.80
2012,KS,183.50
2012,MT,173.00
2012,MS,77.00
2012,SC,198.60
2012,KY,138.20
2012,OR,289.30
2012,SD,189.60
