year,state,yield
2002,DE,0.00
2002,WI,0.00
2002,WV,0.00
2002,FL,0.00
2002,WY,0.00
2002,NJ,0.00
2002,NM,108.40
2002,TX,160.00
2002,LA,240.80
2002,NC,144.30
2002,ND,0.00
2002,NE,195.50
2002,TN,0.00
2002,NY,0.00
2002,PA,40.00
2002,NV,0.00
2002,VA,43.00
2002,CO,99.70
2002,CA,148.10
2002,AL,83.40
2002,AR,235.50
2002,IL,79.10
2002,GA,121.50
2002,IN,75.90
2002,IA,60.60
2002,AZ,71.50
2002,ID,0.00
2002,MD,101.50
2002,OK,151.00
2002,OH,62.60
2002,UT,70.70
2002,MO,245.20
2002,MN,42.90
2002,MI,0.00
2002,KS,158.20
2002,MS,238.60
2002,SC,0.00
2002,KY,76.30
2002,SD,92.70
2007,DE,0.00
2007,WI,52.80
2007,WV,0.00
2007,FL,0.00
2007,NJ,53.80
2007,NM,171.50
2007,TX,208.20
2007,LA,277.50
2007,NC,118.90
2007,NE,293.30
2007,TN,0.00
2007,NY,49.90
2007,PA,56.30
2007,NV,0.00
2007,VA,0.00
2007,CO,148.80
2007,CA,0.00
2007,AL,0.00
2007,AR,298.20
2007,VT,0.00
2007,IL,256.70
2007,GA,162.30
2007,IN,200.40
2007,IA,82.70
2007,AZ,86.10
2007,MD,44.30
2007,OK,187.70
2007,OH,42.30
2007,UT,0.00
2007,MO,283.30
2007,MN,10.00
2007,MI,0.00
2007,KS,248.30
2007,MS,263.80
2007,SC,94.50
2007,KY,81.80
2007,OR,94.10
2007,SD,0.00
2012,WA,0.00
2012,DE,76.60
2012,WI,41.70
2012,WV,60.10
2012,HI,0.00
2012,FL,133.30
2012,WY,0.00
2012,NH,0.00
2012,NJ,0.00
2012,NM,137.40
2012,TX,196.90
2012,LA,299.50
2012,NC,178.40
2012,NE,214.50
2012,TN,157.80
2012,NY,50.00
2012,PA,0.00
2012,VA,63.80
2012,CO,99.20
2012,CA,305.00
2012,AL,47.00
2012,AR,257.50
2012,IL,61.70
2012,GA,151.20
2012,IN,0.00
2012,IA,78.50
2012,AZ,111.20
2012,ID,88.70
2012,ME,0.00
2012,MD,56.00
2012,OK,121.80
2012,OH,46.10
2012,UT,0.00
2012,MO,216.80
2012,MN,18.80
2012,MI,0.00
2012,KS,174.90
2012,MS,267.20
2012,SC,241.70
2012,KY,63.50
2012,OR,0.00
2012,SD,0.00
