year,state,yield
2002,WA,558.90
2002,DE,412.00
2002,WI,367.00
2002,WV,94.80
2002,FL,69.20
2002,WY,198.00
2002,NH,0.00
2002,NJ,363.00
2002,NM,154.80
2002,TX,159.60
2002,LA,247.80
2002,NC,238.00
2002,ND,371.10
2002,NE,223.90
2002,TN,93.20
2002,NY,373.50
2002,PA,103.80
2002,RI,0.00
2002,NV,241.10
2002,VA,116.80
2002,CO,339.00
2002,CA,515.80
2002,AL,79.20
2002,AR,261.80
2002,VT,49.60
2002,IL,346.80
2002,GA,281.40
2002,IN,344.80
2002,IA,33.90
2002,OK,188.40
2002,AZ,278.40
2002,ID,498.80
2002,CT,0.00
2002,ME,48.10
2002,MD,435.60
2002,MA,0.00
2002,OH,0.00
2002,UT,250.70
2002,MO,279.40
2002,MN,221.70
2002,MI,442.70
2002,KS,204.00
2002,MT,366.60
2002,MS,245.80
2002,SC,222.20
2002,KY,0.00
2002,OR,493.20
2002,SD,320.10
2007,WA,637.30
2007,DE,412.20
2007,WI,427.80
2007,WV,113.00
2007,FL,0.00
2007,WY,151.40
2007,NH,0.00
2007,NJ,345.20
2007,NM,250.90
2007,TX,248.40
2007,LA,337.60
2007,NC,225.60
2007,ND,441.00
2007,NE,396.10
2007,TN,82.20
2007,NY,150.90
2007,PA,117.40
2007,NV,289.70
2007,VA,357.60
2007,CO,504.40
2007,CA,544.70
2007,AL,300.00
2007,AR,239.00
2007,VT,36.20
2007,IL,374.10
2007,GA,273.60
2007,IN,350.60
2007,IA,219.60
2007,OK,214.40
2007,AZ,292.00
2007,ID,597.20
2007,CT,0.00
2007,ME,54.20
2007,MD,324.40
2007,MA,16.50
2007,OH,117.40
2007,UT,444.70
2007,MO,238.40
2007,MN,302.10
2007,MI,407.00
2007,KS,237.00
2007,MT,476.90
2007,MS,344.00
2007,SC,225.00
2007,KY,0.00
2007,OR,606.20
2007,SD,420.60
2012,WA,661.30
2012,DE,450.40
2012,WI,462.70
2012,WV,64.70
2012,FL,187.00
2012,WY,362.80
2012,NH,175.60
2012,NJ,319.20
2012,NM,197.80
2012,TX,274.40
2012,LA,310.80
2012,NC,394.60
2012,ND,465.30
2012,NE,309.70
2012,TN,123.40
2012,NY,430.30
2012,PA,403.60
2012,AK,0.00
2012,NV,159.40
2012,VA,424.40
2012,CO,509.50
2012,CA,553.70
2012,AL,391.40
2012,AR,345.00
2012,VT,156.40
2012,IL,338.40
2012,GA,308.20
2012,IN,391.80
2012,IA,274.00
2012,OK,227.80
2012,AZ,362.10
2012,ID,842.80
2012,CT,58.20
2012,ME,0.00
2012,MD,403.20
2012,MA,0.00
2012,OH,132.00
2012,UT,448.90
2012,MO,382.50
2012,MN,382.50
2012,MI,360.10
2012,RI,94.40
2012,KS,249.80
2012,MT,499.70
2012,MS,343.60
2012,SC,328.40
2012,KY,122.80
2012,OR,717.40
2012,SD,488.80
