id,date,high,low,name,lat,lon,elevation
720293 04989,2015-01-01,2.0,-11.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-02,-1.0,-11.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-03,1.0,-4.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-04,0.0,-17.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-05,-14.0,-23.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-06,-14.0,-27.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-07,-13.0,-21.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-08,-7.0,-25.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-09,-10.0,-17.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-10,-5.0,-22.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-11,-2.0,-14.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-12,-7.0,-15.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-13,-6.0,-22.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-14,-3.0,-17.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-15,2.0,-10.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-16,3.0,-8.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-17,5.0,-1.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-18,6.0,-2.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-19,6.0,-5.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-20,2.0,0.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-21,1.0,0.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-22,0.0,-5.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-23,2.0,-6.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-24,8.0,-3.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-25,2.0,-5.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-26,5.0,-7.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-27,3.0,0.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-28,2.0,-3.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-29,1.0,0.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-30,-1.0,-11.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-01-31,2.0,-6.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-01,0.0,-10.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-02,-10.0,-21.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-03,-7.0,-18.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-04,-7.0,-12.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-05,-10.0,-25.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-06,0.0,-15.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-07,6.0,-8.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-08,3.0,0.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-09,0.0,-3.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-10,-1.0,-8.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-11,1.0,-7.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-12,-8.0,-17.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-13,-1.0,-15.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-14,-2.0,-16.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-15,-11.0,-18.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-16,-6.0,-15.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-17,-6.0,-15.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-18,-12.0,-20.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-19,-12.0,-23.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-20,-2.0,-18.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-21,-1.0,-5.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-22,-5.0,-17.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-23,-11.0,-23.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
720293 04989,2015-02-24,2.0,-15.0,INDEPENDENCE MUNICIPAL APT,+42.453,-091.948,+0298.1
