id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00010008,5.3,5.07,5.8,3.77,3.82,5.2,5.94,4.63,3.53,3.11,4.61,4.73,0000
USC00010063,5.03,5.29,5.25,4.78,5.48,4.83,4.83,3.75,4.27,3.77,5.05,5.91,0000
USC00010140,5.01,5.3,5.64,4.12,3.92,4.36,4.95,4.22,3.47,3.41,4.93,4.98,0000
USC00010160,5.21,5.35,5.49,4.11,4.33,4.45,5.31,4.5,4.1,3.08,4.79,4.9,0000
USC00010178,5.24,5.59,5.27,4.86,4.6,4.88,4.99,3.57,3.76,3.97,4.84,4.6,0000
USC00010184,5.25,5.34,4.72,4.91,4.32,4.53,4.0,3.55,3.25,3.61,4.79,4.87,0000
USC00010252,5.18,5.3,6.35,4.17,3.89,5.3,6.16,5.65,4.62,3.71,4.73,4.91,0000
USC00010369,5.18,5.89,5.85,4.49,4.72,4.35,5.11,4.47,3.73,3.95,5.14,5.27,0000
USC00010390,5.59,4.8,5.09,4.75,5.16,4.69,4.33,3.39,4.09,3.81,5.06,6.13,0000
USC00010402,5.83,5.39,5.94,4.36,5.14,5.41,6.99,5.49,4.57,3.43,5.1,5.04,0000
USC00010425,5.02,5.09,5.91,4.34,3.77,5.12,4.37,3.94,3.23,3.75,4.41,4.62,0000
USC00010430,4.54,4.36,5.85,3.84,3.25,4.61,6.09,3.22,4.44,3.19,4.28,4.88,0000
USC00010440,5.04,4.66,5.47,3.9,3.96,3.81,4.87,4.26,3.68,3.12,4.33,4.46,0000
USC00010505,5.99,5.68,5.69,4.58,4.67,5.07,5.57,4.05,4.01,4.15,5.17,5.21,0000
USC00010583,5.97,5.38,5.66,4.75,5.81,6.46,8.14,6.44,5.82,3.76,5.2,5.51,0000
USC00010655,5.08,4.76,4.84,4.39,4.75,4.29,3.94,3.29,3.89,3.43,4.83,5.72,0000
USC00010764,5.53,5.15,5.61,4.62,5.04,4.51,5.07,3.72,3.85,3.74,5.08,5.2,0000
USC00010957,5.06,4.96,5.07,4.69,4.55,4.4,4.93,3.8,3.8,3.58,4.76,4.76,0000
USC00011080,6.39,5.84,6.76,5.11,5.12,6.53,7.46,6.65,5.67,4.15,5.5,5.55,0000
USC00011084,5.9,5.47,6.26,4.61,4.97,6.04,6.77,6.39,5.63,3.65,5.34,4.82,0000
USC00011099,5.97,5.52,5.26,4.95,5.05,4.57,5.62,3.84,4.52,3.6,5.38,5.83,0000
USC00011178,4.35,5.01,6.32,4.42,3.23,5.3,5.87,5.28,3.97,3.46,5.5,4.65,0000
USC00011288,5.19,5.55,5.02,5.03,4.42,4.18,4.27,3.79,4.36,3.1,4.92,5.45,0000
USC00011301,5.54,5.09,5.93,4.12,4.32,4.25,5.56,4.15,3.57,2.86,5.32,5.14,0000
USC00011377,5.68,5.09,5.27,4.82,4.64,4.66,5.43,3.97,4.37,3.93,4.59,5.17,0000
