Commodity,Year,Value,State,DomainId,DomainCat,Unit,ProdPractice
COTTON,2012,1.90000,FLORIDA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2012,1.80000,FLORIDA,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
COTTON,2012,1.90000,GEORGIA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2012,2.40000,GEORGIA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2012,2.20000,GEORGIA,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
COTTON,2012,2.00000,ALABAMA,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
COTTON,2012,3.50000,CALIFORNIA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2012,3.10000,CALIFORNIA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2012,2.10000,FLORIDA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2012,1.90000,FLORIDA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2012,2.10000,FLORIDA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2007,1.00000,ALABAMA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2012,2.20000,US TOTAL,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2012,3.10000,US TOTAL,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2012,1.60000,US TOTAL,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2012,2.30000,ARIZONA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2007,2.40000,ARKANSAS,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2007,1.50000,TEXAS,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2007,1.20000,OKLAHOMA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2002,1.50000,KANSAS,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2002,2.70000,CALIFORNIA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2012,2.20000,KANSAS,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2002,1.60000,OKLAHOMA,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
COTTON,2002,1.10000,ALABAMA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2012,3.00000,ARIZONA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2002,1.90000,NEW MEXICO,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2007,1.50000,VIRGINIA,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
COTTON,2012,1.60000,US TOTAL,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2007,1.10000,TENNESSEE,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2007,1.40000,FLORIDA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2002,1.70000,MISSOURI,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2002,2.80000,ARIZONA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2002,1.50000,KANSAS,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
COTTON,2007,1.50000,NORTH CAROLINA,341,9679,BALES / ACRE,"IRRIGATED, ENTIRE CROP"
COTTON,2002,1.60000,LOUISIANA,341,9679,BALES / ACRE,"IRRIGATED, NONE OF CROP"
COTTON,2012,2.20000,LOUISIANA,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
COTTON,2002,1.30000,GEORGIA,341,9679,BALES / ACRE,"IRRIGATED, PART OF CROP"
