Commodity,Year,Value,State,DomainId,DomainCat,Unit,ProdPractice
BARLEY,2012,83.70000,UTAH,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
OATS,2012,86.30000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, PART OF CROP"
WHEAT,2012,76.70000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, PART OF CROP"
WHEAT,2012,81.50000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, PART OF CROP"
WHEAT,2012,.00000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
SORGHUM,2012,94.30000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, NONE OF CROP"
SORGHUM,2012,87.50000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
SOYBEANS,2012,.00000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
WHEAT,2012,95.40000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
WHEAT,2012,58.10000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, NONE OF CROP"
BARLEY,2012,84.40000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
BARLEY,2012,42.20000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, PART OF CROP"
CORN,2012,177.00000,CALIFORNIA,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
CORN,2012,70.60000,HAWAII,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
WHEAT,2012,61.60000,IDAHO,341,9679,BU / ACRE,"IRRIGATED, PART OF CROP"
WHEAT,2012,60.90000,IDAHO,341,9679,BU / ACRE,"IRRIGATED, PART OF CROP"
WHEAT,2012,63.30000,IDAHO,341,9679,BU / ACRE,"IRRIGATED, PART OF CROP"
BARLEY,2012,123.40000,COLORADO,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
CORN,2012,166.50000,COLORADO,341,9679,BU / ACRE,"IRRIGATED, ENTIRE CROP"
