Commodity,Year,Value,State,DomainId,DomainCat,Unit,ProdPractice
RICE,2012,83.10000,CALIFORNIA,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,24.70000,CALIFORNIA,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,6.00000,COLORADO,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2012,24.70000,IDAHO,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,24.00000,COLORADO,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,21.30000,IDAHO,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
BEANS,2012,.00000,VERMONT,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,.00000,WISCONSIN,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2012,.00000,ALABAMA,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2012,18.30000,CALIFORNIA,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2012,12.80000,COLORADO,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
BEANS,2012,15.40000,IDAHO,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2012,.00000,VERMONT,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
BEANS,2012,.00000,CONNECTICUT,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,41.30000,FLORIDA,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,12.80000,FLORIDA,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
RICE,2012,.00000,FLORIDA,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,20.30000,WISCONSIN,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,.00000,WASHINGTON,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,23.80000,WYOMING,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,18.50000,US TOTAL,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
RICE,2007,68.40000,MISSOURI,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2002,15.60000,ALABAMA,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2012,.00000,INDIANA,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2002,13.80000,WASHINGTON,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
RICE,2012,74.30000,US TOTAL,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,.00000,MASSACHUSETTS,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2012,.00000,MAINE,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2007,.00000,TEXAS,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
BEANS,2007,26.70000,KANSAS,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2002,9.70000,CALIFORNIA,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2002,17.50000,US TOTAL,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
BEANS,2007,23.00000,WASHINGTON,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2007,16.10000,NORTH DAKOTA,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
BEANS,2012,16.80000,MICHIGAN,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
BEANS,2002,.00000,KANSAS,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2007,.00000,VERMONT,341,9679,CWT / ACRE,"IRRIGATED, NONE OF CROP"
BEANS,2007,17.60000,ARIZONA,341,9679,CWT / ACRE,"IRRIGATED, ENTIRE CROP"
BEANS,2002,.00000,WISCONSIN,341,9679,CWT / ACRE,"IRRIGATED, PART OF CROP"
