Commodity,Year,Value,State,ProdPractice
HAY,2012,.00000,UTAH,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,6.80000,UTAH,"IRRIGATED, PART OF CROP"
HAY,2012,2.10000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,6.40000,CALIFORNIA,"IRRIGATED, PART OF CROP"
HAY,2012,3.20000,CALIFORNIA,"IRRIGATED, PART OF CROP"
HAY,2012,1.40000,CALIFORNIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,6.90000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,3.80000,CALIFORNIA,"IRRIGATED, NONE OF CROP"
HAY,2012,1.40000,CALIFORNIA,"IRRIGATED, PART OF CROP"
CORN,2012,25.80000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,6.10000,CALIFORNIA,"IRRIGATED, PART OF CROP"
SUGARCANE,2012,.00000,HAWAII,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,3.70000,HAWAII,"IRRIGATED, NONE OF CROP"
HAY,2012,2.30000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,1.50000,COLORADO,"IRRIGATED, NONE OF CROP"
HAY,2012,2.60000,IDAHO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,7.10000,IDAHO,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,IDAHO,"IRRIGATED, PART OF CROP"
CORN,2012,13.30000,COLORADO,"IRRIGATED, PART OF CROP"
SUGARBEETS,2012,30.70000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.00000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2012,1.40000,IDAHO,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,11.20000,IDAHO,"IRRIGATED, ENTIRE CROP"
CORN,2012,20.60000,VERMONT,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,5.20000,VERMONT,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,.00000,VERMONT,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,VERMONT,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,VERMONT,"IRRIGATED, NONE OF CROP"
HAY,2012,1.70000,VERMONT,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,7.30000,VERMONT,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,VERMONT,"IRRIGATED, ENTIRE CROP"
CORN,2012,16.20000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2012,3.00000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,3.90000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
CORN,2012,17.40000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.00000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.40000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,7.60000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,6.00000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,1.40000,CONNECTICUT,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,5.70000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,CONNECTICUT,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,.00000,CONNECTICUT,"IRRIGATED, PART OF CROP"
CORN,2012,.00000,CONNECTICUT,"IRRIGATED, PART OF CROP"
HAY,2012,2.90000,DELAWARE,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,.00000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.70000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.60000,DELAWARE,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,3.30000,DELAWARE,"IRRIGATED, NONE OF CROP"
SUGARCANE,2012,39.70000,FLORIDA,"IRRIGATED, NONE OF CROP"
HAY,2012,2.00000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAY,2012,3.60000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.70000,FLORIDA,"IRRIGATED, NONE OF CROP"
CORN,2012,19.60000,FLORIDA,"IRRIGATED, ENTIRE CROP"
SUGARCANE,2012,.00000,FLORIDA,"IRRIGATED, PART OF CROP"
HAY,2012,1.60000,FLORIDA,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,3.40000,FLORIDA,"IRRIGATED, NONE OF CROP"
SUGARCANE,2012,.00000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,.00000,ALASKA,"IRRIGATED, NONE OF CROP"
