id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00500302,1.77,1.05,0.77,0.34,1.33,1.38,3.75,2.70,4.01,1.36,0.93,1.19,2000
USW00026617,2.43,1.18,0.21,0.11,0.56,0.19,3.39,4.37,3.06,1.41,2.14,1.44,2000
USC00508915,5.08,1.04,0.71,0.28,0.52,0.87,3.89,3.74,4.26,0.20,1.28,0.92,2000
USC00501243,1.56,0.97,0.64,0.67,0.08,0.62,3.21,2.20,2.96,0.70,0.78,0.19,2000
USC00503672,3.26,0.91,2.17,0.47,0.49,1.42,3.44,1.99,2.49,3.67,4.88,3.92,2000
USC00508375,11.28,7.17,4.55,1.64,0.67,2.87,3.71,3.84,3.39,9.78,4.14,6.67,2000
USC00508377,6.31,2.85,2.29,1.35,0.58,1.20,2.26,2.18,2.78,5.51,5.84,6.78,2000
USW00026529,0.00,0.00,0.68,0.00,0.55,0.18,1.82,2.61,2.50,0.43,0.95,0.08,2000
USW00026523,2.46,0.67,0.25,0.16,0.15,0.31,3.17,1.28,2.59,1.09,1.88,1.06,2000
USC00507570,2.18,0.54,0.58,0.41,0.10,0.20,1.75,1.09,1.41,0.49,1.60,1.41,2000
USW00025506,1.56,1.24,1.10,0.35,0.22,0.96,3.42,4.09,5.91,3.82,3.32,2.01,2000
USW00025507,1.85,0.57,1.85,0.36,0.15,0.65,2.60,1.13,2.24,2.58,4.98,4.99,2000
USW00025501,2.27,6.34,6.36,6.98,1.87,5.02,2.08,1.24,2.63,10.32,9.59,12.33,2000
USW00025503,0.96,0.73,0.32,0.63,1.18,2.00,3.11,2.29,3.30,2.13,2.21,0.70,2000
USW00026502,0.19,0.26,0.52,0.00,0.20,0.06,4.13,2.30,2.78,1.02,3.88,1.65,2000
USW00026508,0.58,0.04,0.36,0.00,0.25,0.72,1.66,1.79,0.51,0.37,0.69,0.74,2000
USC00502144,5.61,1.16,1.60,0.58,0.04,0.36,2.09,2.37,3.21,4.24,6.41,5.89,2000
USC00502350,0.51,0.25,0.03,0.18,2.66,0.69,1.42,5.07,2.04,0.34,0.43,0.25,2000
USC00502352,0.00,0.00,0.00,0.10,2.69,0.71,1.24,5.83,1.57,0.00,0.00,0.00,2000
USC00505464,2.72,1.06,0.96,0.68,0.84,1.16,2.70,4.09,3.82,0.42,0.45,1.02,2000
USC00502339,0.57,0.21,0.02,0.28,2.86,0.64,1.47,5.53,2.10,0.36,0.30,0.37,2000
USC00508470,1.38,0.16,0.00,0.20,0.91,0.37,1.97,2.04,6.11,1.74,1.05,0.12,2000
USC00502107,1.80,0.04,0.18,0.00,1.20,1.06,1.67,3.14,1.60,0.85,0.43,0.24,2000
USC00500275,1.58,0.54,0.57,0.27,0.87,1.15,2.35,1.63,2.96,0.44,1.13,0.56,2000
USC00503695,6.03,1.41,6.72,2.88,1.96,2.16,5.24,2.50,6.54,9.47,2.44,5.17,2000
USC00502126,0.42,0.20,0.06,0.11,0.07,0.34,1.76,0.61,0.37,0.45,0.19,0.06,2000
USC00502785,8.55,4.12,10.70,7.71,4.03,4.79,5.93,4.97,13.71,18.27,13.44,10.17,2000
USC00500788,4.10,2.90,1.89,1.44,1.74,2.73,6.10,3.35,3.72,5.61,12.23,5.13,2000
USC00502871,2.49,0.05,0.14,0.02,6.21,0.68,3.22,3.07,2.72,1.05,0.40,0.15,2000
USW00025322,4.58,1.14,2.94,3.49,2.89,3.78,4.54,4.15,6.51,9.12,6.04,5.50,2000
USW00025323,4.73,2.11,5.79,3.01,1.40,2.58,2.19,2.51,5.64,10.83,5.88,5.51,2000
USW00025325,13.44,11.03,23.83,15.03,8.42,3.97,14.01,13.72,17.34,15.18,24.72,12.33,2000
USW00026412,0.22,0.00,0.07,0.26,1.08,4.43,1.95,2.97,3.53,0.52,0.10,0.11,2000
