id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00011566,3.53,1.27,7.16,2.89,1.21,3.77,5.13,4.63,4.26,1.01,8.68,5.73,2000
USC00010160,5.73,2.77,4.30,2.76,1.60,3.95,4.33,1.94,8.23,2.10,8.73,4.43,2000
USC00010369,6.00,2.99,4.98,4.81,0.51,1.61,2.66,2.06,4.78,1.17,11.42,2.72,2000
USC00011694,5.06,2.27,5.00,3.90,1.98,4.11,3.45,2.52,1.83,1.22,7.45,2.74,2000
USC00011690,2.72,1.38,3.73,1.90,1.26,1.79,1.80,3.64,1.74,0.67,6.13,4.06,2000
USC00017947,4.81,1.29,4.41,8.48,0.98,4.37,1.15,0.64,2.09,0.92,8.31,3.73,2000
USC00010184,4.67,1.32,4.02,9.59,1.15,4.15,1.82,2.69,0.37,1.18,11.89,2.25,2000
USC00011810,2.58,0.94,5.02,2.58,0.20,2.81,0.92,0.43,1.62,0.00,6.49,3.77,2000
USC00018038,3.63,2.06,4.66,4.37,1.17,1.88,3.54,1.63,3.10,0.84,6.63,4.64,2000
USC00011301,4.66,2.35,4.33,2.98,2.02,2.44,0.66,1.28,3.61,0.77,7.54,6.21,2000
USC00013655,5.03,2.02,8.07,8.98,3.14,4.02,2.64,1.17,4.24,0.12,9.94,3.33,2000
USC00018469,6.46,2.51,4.93,7.64,1.74,8.10,2.53,3.09,3.12,0.40,8.11,1.94,2000
USC00018209,5.35,1.40,4.48,5.45,2.25,2.53,1.66,1.35,1.59,1.27,7.78,2.94,2000
USW00013876,5.72,2.17,10.67,8.19,0.88,2.89,4.61,2.20,1.66,1.26,8.14,1.84,2000
USW00013871,5.76,2.57,4.13,5.80,2.90,3.01,3.64,1.94,1.43,1.78,7.21,1.30,2000
USC00018998,5.37,1.99,5.02,8.04,1.11,4.11,0.50,2.37,1.65,0.75,9.19,3.73,2000
USC00018517,4.33,2.04,2.92,1.87,1.60,2.61,0.84,0.36,1.76,0.58,8.85,2.87,2000
USC00011099,6.28,3.52,4.47,10.74,3.09,4.58,2.46,2.76,3.92,0.49,11.63,3.61,2000
USW00013838,1.06,0.39,3.65,2.54,0.94,4.81,3.49,1.33,6.85,0.36,7.15,2.31,2000
