id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00030300,2.76,3.16,4.23,2.95,7.52,9.20,0.89,0.61,3.16,1.52,13.33,5.10,2000
USC00030064,3.02,1.74,4.16,3.21,8.52,5.21,3.03,2.00,3.89,1.76,7.25,1.46,2000
USC00035018,1.91,1.67,2.91,2.28,8.63,15.73,2.23,0.00,4.95,4.76,6.97,2.91,2000
USC00032540,2.78,3.57,6.74,3.06,7.94,4.26,0.39,0.67,3.60,0.45,12.07,7.24,2000
USC00032015,1.24,2.50,4.32,2.63,7.12,12.70,2.32,0.06,2.59,1.06,12.24,4.28,2000
USC00031191,1.43,3.06,5.04,4.53,5.44,2.53,0.93,0.28,3.94,0.72,13.07,4.69,2000
USC00031632,6.13,3.32,4.11,2.49,6.96,2.76,1.94,2.83,2.26,1.38,4.89,2.21,2000
USC00030326,2.07,2.25,4.72,3.53,4.97,3.92,0.35,0.32,2.55,1.79,5.15,2.23,2000
USC00035186,2.91,2.56,4.06,4.35,5.28,3.61,0.94,0.54,3.20,1.31,9.16,2.24,2000
USC00035760,2.07,3.17,3.24,3.36,8.75,8.99,0.55,0.41,4.18,1.26,12.89,4.86,2000
USC00030460,3.63,2.61,2.37,3.19,6.71,5.43,0.67,0.61,2.26,1.67,8.49,1.24,2000
USW00013977,3.13,2.16,3.41,4.16,6.94,8.11,0.18,0.22,3.83,1.79,13.65,5.91,2000
USW00013971,2.49,1.04,2.27,1.40,4.82,8.71,5.68,0.01,3.43,2.14,6.09,2.35,2000
USC00035512,1.20,1.56,2.89,1.71,6.15,10.00,1.58,0.00,4.67,6.22,9.60,0.26,2000
USC00035160,2.26,1.43,3.85,1.73,7.11,11.91,2.81,0.00,2.83,5.71,5.93,3.46,2000
USC00036376,0.79,2.24,4.24,4.99,5.56,4.73,1.35,0.00,2.36,0.34,8.99,3.59,2000
USC00030814,3.63,4.06,3.26,2.98,7.04,7.96,1.63,0.00,3.06,2.80,13.67,4.67,2000
USC00035498,1.88,0.89,3.20,2.48,6.85,8.26,0.57,0.15,3.50,1.97,10.95,0.50,2000
USC00031442,1.02,3.33,4.04,3.55,7.11,3.91,0.16,0.55,2.20,0.50,9.18,8.04,2000
USC00033438,1.70,2.51,3.94,2.36,5.11,7.95,0.47,1.19,2.41,0.86,8.50,0.45,2000
USC00030832,2.00,1.40,2.61,2.23,4.87,8.63,1.57,0.15,3.58,2.50,9.61,1.38,2000
USW00053922,2.22,1.22,2.87,2.74,3.49,13.35,1.76,0.00,5.09,2.33,4.46,2.08,2000
USW00053921,2.51,2.51,3.00,3.24,4.08,8.99,0.75,0.31,4.39,0.91,11.49,1.30,2000
USW00053920,1.72,3.17,3.48,3.28,3.69,7.12,0.87,0.05,2.25,1.78,9.04,2.96,2000
USC00037383,3.29,3.22,5.57,2.97,7.00,10.87,2.21,0.00,5.20,5.10,13.99,4.66,2000
USC00034290,2.75,2.75,3.93,3.48,6.42,5.90,1.32,0.04,2.85,3.18,7.40,2.69,2000
USC00032842,3.43,2.76,3.88,2.77,6.79,9.49,0.83,1.54,3.88,1.00,11.92,4.25,2000
USC00032946,2.64,1.98,3.40,1.39,6.33,11.30,6.50,0.00,4.07,2.36,6.01,2.65,2000
USC00031834,2.04,5.16,2.47,1.50,3.43,10.78,1.28,0.81,2.79,1.52,9.56,2.31,2000
USC00031838,2.12,3.42,2.48,2.80,4.76,7.18,1.31,0.00,2.41,1.42,7.83,2.67,2000
USC00033862,1.03,2.60,3.68,2.92,4.82,4.46,0.65,0.00,2.44,0.64,9.74,4.61,2000
USC00035036,3.07,2.32,2.66,2.52,6.15,5.61,4.49,0.10,2.92,2.59,5.54,2.42,2000
