id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00026282,0.05,0.54,1.50,0.00,0.00,3.59,1.80,5.71,0.23,7.95,1.94,0.02,2000
USC00024391,0.43,0.67,4.74,0.12,0.00,0.71,0.20,4.36,0.00,6.00,1.12,0.00,2000
USC00026353,0.10,0.30,0.23,0.00,0.00,2.69,1.31,4.00,0.81,6.12,1.56,0.11,2000
USC00026132,0.00,0.09,2.31,0.04,0.00,0.68,0.30,0.94,0.00,1.56,0.64,0.00,2000
USW00003195,1.02,1.03,1.57,0.03,0.00,0.16,0.20,2.19,0.03,3.82,0.25,0.18,2000
USC00024182,0.14,0.17,2.58,0.09,0.00,0.34,0.00,2.25,0.00,7.29,0.63,0.00,2000
USC00022807,0.10,0.10,2.01,0.00,0.00,1.29,0.00,1.57,0.00,2.57,1.94,0.00,2000
USC00023448,0.15,0.20,3.13,0.23,0.00,0.29,0.14,2.89,0.06,6.60,1.36,0.00,2000
USC00029634,0.00,0.16,2.30,0.00,0.00,0.21,0.09,0.14,0.00,4.66,0.15,0.03,2000
USC00026119,0.61,1.00,1.90,0.16,0.00,2.76,1.76,3.55,1.69,5.06,2.94,0.03,2000
USC00023961,0.32,0.36,3.60,0.41,0.00,2.92,0.70,3.71,0.02,4.06,2.02,0.55,2000
USC00020683,0.09,0.30,0.57,0.00,0.00,1.32,1.42,3.61,0.15,6.18,1.15,0.00,2000
USC00026653,0.04,0.38,3.16,0.25,0.00,1.81,0.58,5.41,0.26,6.31,1.29,0.08,2000
USC00020808,0.35,0.78,0.83,0.00,0.00,2.57,1.71,5.17,0.22,4.94,1.73,0.31,2000
USC00026468,0.10,0.36,2.24,0.09,0.02,0.43,0.82,1.59,0.17,3.13,0.96,0.16,2000
USC00025512,0.28,0.43,2.60,0.10,0.00,1.65,1.13,5.36,0.00,5.69,2.31,0.07,2000
USC00026796,0.26,1.20,2.13,0.24,0.00,1.48,1.06,3.71,0.00,5.18,0.51,0.05,2000
USC00028796,0.00,0.08,1.13,0.02,0.00,3.03,0.40,2.81,0.48,4.42,0.88,0.05,2000
USC00021314,0.04,0.14,2.00,0.00,0.00,0.12,0.25,0.25,0.05,2.33,0.91,0.00,2000
USC00026328,0.27,0.97,0.90,0.12,0.02,0.40,0.59,3.29,0.00,1.35,0.01,0.09,2000
USC00026616,0.50,0.73,0.91,0.34,0.12,0.25,1.02,1.52,0.39,4.03,0.31,0.17,2000
USC00027560,0.00,0.07,0.03,0.00,0.00,3.75,0.70,2.22,0.00,4.51,2.30,0.00,2000
USC00023596,1.58,1.12,2.02,0.25,0.00,0.12,0.23,2.93,0.29,4.24,0.51,0.36,2000
USW00023194,0.14,0.04,1.31,0.03,0.04,0.07,0.55,0.89,0.15,1.87,0.53,0.06,2000
USC00028619,0.02,0.37,0.39,0.00,0.00,3.05,1.38,4.56,0.37,6.12,2.30,0.85,2000
USC00020100,0.03,0.79,0.76,0.00,0.00,0.95,0.15,2.39,0.00,2.96,0.09,0.02,2000
USC00027488,0.44,0.00,0.66,0.00,0.00,0.08,0.43,2.00,0.10,3.02,0.14,0.25,2000
USW00003196,0.01,0.30,1.17,0.00,0.02,4.08,2.63,5.20,0.15,6.59,1.67,0.02,2000
USC00027716,0.30,1.43,1.53,0.00,0.00,0.41,0.63,2.92,0.35,3.31,0.10,0.03,2000
USC00023009,1.03,1.78,3.31,0.23,0.00,2.05,0.24,2.11,0.13,4.46,0.82,0.13,2000
USC00027036,0.00,0.69,0.86,0.00,0.00,0.84,1.89,4.91,0.22,6.60,2.00,0.00,2000
USC00021654,0.08,1.14,1.32,0.10,0.00,0.61,0.47,2.55,0.21,4.42,0.90,0.00,2000
USC00028468,1.51,0.08,1.37,0.00,0.15,0.05,1.98,0.19,0.00,1.67,0.51,0.35,2000
USC00021282,0.19,0.41,3.49,0.05,0.00,1.45,0.03,1.16,0.01,5.26,0.23,0.06,2000
USC00021614,0.37,0.54,4.28,0.31,0.00,0.62,0.07,4.64,0.04,5.17,0.86,0.03,2000
USC00025924,0.00,0.40,0.85,0.00,0.00,5.67,1.85,6.40,0.51,8.80,1.36,0.03,2000
USC00021050,0.00,1.00,0.62,0.05,0.00,0.03,0.00,2.25,0.00,0.29,0.00,0.03,2000
USC00027334,0.10,0.07,0.52,0.00,0.00,4.88,2.60,5.52,0.65,8.13,1.40,0.00,2000
USC00025270,0.00,0.01,2.24,0.00,0.00,1.21,0.25,1.49,0.02,2.22,0.57,0.00,2000
USC00020871,0.81,0.69,2.70,0.85,0.12,1.09,0.19,5.43,0.40,5.42,1.76,0.53,2000
USW00093167,0.01,0.90,0.50,0.22,0.00,0.57,0.03,2.15,0.00,1.89,0.12,0.03,2000
USC00028815,0.17,0.04,0.89,0.00,0.00,1.97,0.24,1.82,1.45,4.24,0.72,0.00,2000
USC00028817,0.15,0.07,1.22,0.09,0.00,1.46,0.34,2.72,1.23,4.30,1.24,0.07,2000
USC00023160,0.35,6.16,1.42,0.71,0.00,0.52,0.06,0.25,0.04,0.41,0.84,0.17,2000
USC00023303,0.32,0.38,3.26,0.25,0.00,0.14,0.56,2.28,0.72,2.36,1.30,0.27,2000
USC00029359,1.13,2.54,4.11,0.27,0.00,0.95,0.15,3.83,0.05,5.13,1.24,0.18,2000
USC00028650,1.19,0.69,5.80,0.54,0.00,1.21,0.58,6.36,0.03,8.78,2.41,0.15,2000
USC00024829,0.12,0.00,2.51,0.00,0.00,0.65,0.40,0.56,0.00,6.13,0.31,0.00,2000
USC00029166,0.30,1.30,3.12,0.00,0.00,1.96,0.12,4.21,0.00,5.36,0.42,0.20,2000
