id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00043714,7.53,11.28,2.45,3.10,1.72,0.18,0.26,0.19,0.41,3.74,1.30,0.69,2000
USC00048014,2.00,8.50,2.36,2.35,0.09,0.00,0.00,0.50,0.18,1.35,0.06,0.01,2000
USC00040379,8.60,11.78,2.44,3.54,0.68,1.07,0.00,0.00,0.82,3.27,0.25,0.23,2000
USC00044705,3.58,3.39,0.87,1.48,0.37,0.50,0.00,1.03,0.13,1.67,0.18,0.00,2000
USC00049053,3.16,1.06,1.49,1.51,0.76,0.08,0.42,0.02,1.57,0.96,0.59,0.46,2000
USC00042709,0.94,5.02,1.70,1.10,0.12,0.00,0.00,0.00,0.32,0.92,0.64,0.00,2000
USC00042706,0.00,3.67,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1.28,0.00,0.01,2000
USC00048839,2.09,3.49,1.91,0.54,0.19,0.22,0.00,0.00,0.00,0.82,0.00,0.03,2000
USC00046136,15.30,24.78,6.24,3.67,3.43,0.60,0.00,0.00,1.82,6.00,2.06,3.06,2000
USC00047085,8.28,6.61,0.79,0.87,0.63,0.07,0.00,0.00,0.54,1.37,1.25,0.64,2000
USC00044288,16.57,24.92,3.84,2.52,4.01,0.80,0.00,0.00,1.70,6.49,2.09,3.30,2000
USC00041700,9.01,10.94,2.02,2.13,2.16,0.35,0.00,0.00,0.87,2.67,1.01,0.68,2000
USC00047880,8.13,12.79,1.83,2.41,1.37,0.11,0.00,0.00,0.11,3.39,1.27,0.66,2000
USC00047668,5.99,5.59,2.15,0.58,0.26,0.02,0.00,0.19,0.06,2.30,0.35,0.54,2000
USC00047888,0.74,4.65,1.70,0.82,0.03,0.00,0.00,0.01,0.06,1.36,0.00,0.00,2000
USC00049285,1.73,7.17,2.27,3.02,0.00,0.00,0.00,0.00,0.07,1.40,0.00,0.01,2000
USC00042934,5.98,11.26,2.87,1.29,0.98,0.17,0.00,0.00,0.08,2.55,1.15,1.13,2000
USC00042640,5.01,5.65,1.37,1.63,2.62,0.94,0.00,0.00,0.37,1.79,0.85,0.45,2000
USC00043914,1.36,8.67,2.95,2.50,0.03,0.00,0.00,0.31,0.43,0.84,0.48,0.01,2000
USC00049073,3.30,4.89,0.72,1.52,0.72,0.09,0.00,0.21,0.01,2.23,0.24,0.36,2000
USW00023179,0.00,0.32,1.21,0.00,0.00,0.48,0.00,0.21,0.02,0.65,0.00,0.00,2000
USW00023272,6.42,8.96,2.04,1.66,1.40,0.16,0.02,0.02,0.21,2.38,0.85,0.91,2000
USC00048587,4.07,5.55,1.98,2.00,1.92,0.40,0.03,0.00,0.29,3.13,0.84,0.40,2000
USC00048580,5.01,6.44,1.47,1.60,2.62,0.98,0.00,0.00,0.37,1.86,0.80,0.52,2000
USC00046730,3.17,5.89,1.55,1.56,0.05,0.04,0.00,0.00,0.03,1.34,0.05,0.16,2000
USC00040235,0.09,2.59,0.20,1.60,0.00,0.00,0.00,2.00,0.00,0.60,0.00,0.00,2000
USC00045352,11.18,13.30,3.27,3.52,0.94,0.67,0.00,0.00,0.53,4.17,0.77,0.41,2000
USC00046946,22.77,23.18,7.16,5.32,1.49,0.41,0.27,0.00,5.06,8.06,3.25,7.39,2000
USC00049866,5.78,3.20,1.19,3.42,0.33,0.60,0.17,0.16,0.07,1.62,0.37,1.18,2000
USC00047470,0.68,2.95,1.63,0.65,0.00,0.00,0.00,0.00,0.00,0.47,0.05,0.00,2000
USC00046074,5.37,9.88,2.92,1.69,1.54,0.12,0.00,0.00,0.11,2.29,1.34,1.22,2000
USC00043244,5.15,6.74,1.89,0.65,0.86,0.27,0.00,0.02,0.26,1.94,0.49,0.58,2000
USW00023158,0.00,0.08,0.38,0.00,0.00,0.01,0.00,1.03,0.00,0.00,0.00,0.00,2000
USW00023152,0.83,6.48,2.33,2.30,0.01,0.00,0.00,0.13,0.10,1.13,0.00,0.00,2000
USW00023155,0.94,1.62,1.30,0.57,0.08,0.06,0.00,0.00,0.00,0.39,0.00,0.00,2000
USW00023157,0.30,0.98,0.30,0.45,0.00,0.00,0.00,0.30,0.02,0.25,0.00,0.00,2000
USW00023156,0.70,5.39,2.61,1.69,0.47,0.00,0.00,0.14,0.26,0.93,0.32,0.06,2000
USC00041316,5.54,4.25,1.74,2.78,0.75,0.46,1.16,0.04,0.12,1.63,0.56,0.98,2000
USC00043747,1.80,3.28,1.58,0.97,0.48,0.35,0.00,0.00,0.03,1.31,0.00,0.05,2000
USC00043038,11.07,14.10,1.73,2.29,4.32,0.54,0.00,0.05,1.39,4.92,1.73,1.27,2000
USC00040212,7.99,11.98,4.26,2.60,2.00,0.28,0.00,0.00,0.51,4.78,1.61,1.33,2000
USC00045756,0.21,1.67,1.16,0.00,0.12,0.00,0.00,0.11,0.00,0.24,0.00,0.00,2000
USC00045378,6.55,7.76,1.91,0.86,1.10,0.12,0.00,0.00,0.07,1.74,1.04,0.77,2000
USC00047767,5.97,8.24,2.00,2.07,1.29,0.10,0.00,0.00,0.24,2.20,0.69,0.53,2000
USC00046506,4.79,5.95,2.52,2.11,1.21,0.45,0.00,0.00,0.17,1.98,0.67,0.31,2000
USC00046508,14.42,8.94,2.57,2.39,2.10,0.27,0.12,0.05,0.46,3.84,2.79,3.53,2000
USC00047902,2.28,9.80,3.78,3.96,0.00,0.15,0.00,0.00,0.08,3.80,0.00,0.11,2000
USC00043261,4.64,8.11,2.01,2.67,0.07,0.92,0.00,0.00,0.51,3.16,0.13,0.14,2000
USC00040684,0.18,0.43,0.76,0.58,0.05,0.05,0.00,0.84,0.00,0.22,0.00,0.00,2000
USC00042506,4.43,3.62,0.61,0.72,1.74,0.10,0.00,0.14,0.25,0.88,0.73,0.20,2000
USC00042504,3.77,2.13,0.67,0.81,0.76,0.16,0.00,0.14,0.09,0.50,0.88,0.17,2000
USC00042500,17.61,22.94,4.00,3.06,3.27,0.51,0.00,0.00,1.25,5.17,2.83,3.78,2000
USC00046263,1.17,5.71,1.95,2.27,0.08,0.00,0.00,0.30,0.10,1.69,0.00,0.01,2000
USW00023174,0.85,4.71,2.40,1.88,0.00,0.00,0.00,0.03,0.03,1.12,0.00,0.00,2000
USC00046194,5.09,7.12,2.28,1.58,1.12,0.09,0.00,0.00,0.22,1.73,0.75,0.38,2000
USC00046197,0.00,0.30,0.05,0.00,0.00,0.55,0.00,0.02,0.00,0.02,0.01,0.00,2000
USC00044223,0.00,0.19,0.09,0.00,0.00,0.00,0.00,0.08,0.04,0.52,0.03,0.00,2000
USC00045311,8.26,8.13,2.93,4.53,2.03,1.13,0.26,0.04,1.47,3.37,1.97,1.80,2000
USW00003177,0.37,2.75,0.81,0.71,0.06,0.01,0.00,0.04,0.11,1.81,0.17,0.00,2000
