id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00065910,4.07,3.03,4.91,6.69,3.90,5.93,3.25,5.02,6.24,0.68,3.52,3.98,2000
USC00066655,3.30,1.82,3.85,3.74,4.37,5.11,7.15,4.57,5.73,0.74,4.38,3.89,2000
USC00063207,3.22,2.61,4.91,6.21,4.17,6.63,4.58,5.50,4.95,0.48,3.87,4.36,2000
USW00054788,2.65,2.54,4.04,5.41,4.44,5.92,6.96,3.09,3.43,0.99,4.11,4.35,2000
USC00060299,3.55,2.64,4.21,3.80,5.25,6.98,6.24,2.61,3.28,1.77,3.98,4.59,2000
USW00014752,2.68,2.33,3.70,5.52,5.52,4.81,4.43,1.93,4.12,0.93,3.18,3.76,2000
USW00054767,3.17,2.13,4.17,5.38,4.02,4.34,4.12,2.00,3.96,0.79,3.30,4.09,2000
USC00067970,4.18,2.08,3.91,4.07,4.71,5.87,6.59,5.71,4.87,0.72,4.61,3.60,2000
USC00067373,3.81,2.15,3.65,3.20,4.30,6.20,8.12,3.62,3.77,1.30,3.20,2.86,2000
USC00067432,3.84,3.30,3.97,5.54,4.68,6.56,6.09,3.05,3.50,1.15,4.26,3.68,2000
USC00060227,3.89,3.16,4.56,3.96,5.26,6.83,8.31,3.17,3.61,1.41,4.15,4.83,2000
USC00062658,3.35,2.25,3.92,3.61,5.00,10.35,10.91,2.29,4.19,2.19,2.49,4.36,2000
USW00014707,2.90,2.02,4.08,5.34,4.01,5.37,4.86,2.80,4.34,0.57,3.76,3.56,2000
USW00094702,2.12,1.82,4.02,5.19,4.23,3.96,5.74,6.66,4.59,0.42,4.13,2.47,2000
USW00014740,2.84,2.24,3.69,4.22,4.45,6.74,5.48,3.33,3.88,1.08,0.95,3.30,2000
USC00061762,3.91,2.59,3.82,3.39,4.85,6.63,6.78,3.84,4.70,0.98,3.37,4.95,2000
USC00069775,3.25,2.88,3.45,3.39,4.61,6.02,7.89,3.61,3.03,1.00,3.81,4.22,2000
USC00069388,4.43,2.81,4.50,6.70,3.53,5.93,4.04,2.50,2.53,1.07,3.72,4.98,2000
USW00054734,2.84,2.24,2.91,3.05,4.48,5.87,4.32,3.38,4.00,1.01,3.29,3.39,2000
USC00065910,3.44,3.29,10.20,1.59,4.81,9.28,3.71,3.30,3.28,2.09,0.67,1.97,2001
USW00014707,2.43,1.82,7.98,1.70,5.15,6.43,1.70,3.57,4.47,1.45,0.54,1.96,2001
USW00054788,2.41,2.41,8.83,1.11,4.27,5.26,2.15,2.52,2.34,1.38,1.13,2.39,2001
USC00060299,1.51,2.89,7.86,1.39,4.50,4.71,2.33,1.86,5.10,1.15,0.76,2.52,2001
USW00014752,1.80,2.11,6.88,1.46,2.81,5.70,1.28,3.56,2.78,0.89,1.16,2.12,2001
USC00067002,2.22,2.70,7.74,1.34,2.99,7.74,2.69,1.40,5.89,1.24,1.34,1.93,2001
USW00054767,1.86,1.87,5.14,1.43,2.56,6.73,1.35,5.62,4.08,0.90,0.97,2.02,2001
USC00067432,3.47,2.78,8.15,2.76,4.26,6.51,1.61,1.24,2.78,1.76,1.04,1.66,2001
USC00060128,3.06,2.81,9.37,1.95,5.93,5.00,2.19,3.67,3.39,1.62,1.54,2.90,2001
USC00066655,2.48,2.18,7.08,1.83,2.97,5.98,2.15,6.50,5.89,1.32,1.30,2.56,2001
USC00060227,2.25,3.71,9.11,1.81,4.82,6.84,0.95,3.80,5.36,1.23,1.10,2.72,2001
USC00062658,1.80,2.19,5.63,1.45,2.63,7.59,1.67,4.25,4.31,0.96,0.98,2.59,2001
USW00094702,2.80,1.68,6.91,1.57,3.41,3.79,2.10,6.01,2.41,1.00,0.79,2.03,2001
USW00014740,1.35,2.90,6.14,1.23,4.72,5.13,0.97,3.72,3.10,0.76,0.87,2.20,2001
USC00061762,2.21,2.69,7.58,1.54,3.20,7.35,2.39,6.61,6.42,1.13,1.17,2.67,2001
USC00069388,2.35,2.54,7.64,2.40,2.50,6.80,3.65,6.34,2.64,0.85,0.70,2.71,2001
USC00069775,2.16,2.36,5.99,1.42,3.99,6.75,1.88,4.44,5.92,1.30,1.40,2.71,2001
USC00067970,3.29,2.66,8.09,2.32,3.50,5.91,2.45,4.94,5.30,1.59,1.36,2.53,2001
USC00067157,3.00,2.34,8.67,1.62,5.90,4.26,2.50,5.59,0.82,0.93,1.55,2.87,2001
USW00054734,2.62,1.89,6.98,1.40,2.80,6.93,1.58,7.02,5.06,1.07,1.15,2.70,2001
USC00065910,1.99,2.04,3.98,2.92,5.11,5.26,1.22,4.10,7.67,2.15,5.27,6.43,2002
USC00065445,1.17,1.28,3.12,3.50,4.14,6.47,2.52,4.56,4.31,4.29,6.48,4.56,2002
USC00063207,2.92,1.72,5.05,4.17,4.49,3.02,2.00,2.49,5.30,3.34,5.76,4.72,2002
USW00014707,2.30,1.41,4.15,3.02,4.46,3.53,2.75,2.43,5.69,3.07,4.96,3.63,2002
USW00054788,1.94,1.84,4.60,3.67,5.10,3.57,2.12,4.07,4.15,4.59,5.05,5.33,2002
USC00060299,1.37,1.87,3.97,3.55,4.48,7.31,4.44,2.94,3.19,4.68,5.65,4.26,2002
USW00014758,1.39,1.07,3.62,3.49,5.24,3.34,1.52,3.21,7.15,4.26,4.64,3.32,2002
USW00014752,1.74,1.67,3.76,3.61,5.90,3.87,1.94,2.78,3.44,4.07,5.30,4.54,2002
USC00067002,2.11,1.54,4.19,3.72,5.05,6.61,5.02,3.98,5.27,4.82,4.93,5.56,2002
USW00054767,2.04,1.58,4.47,2.81,5.06,3.68,2.65,3.05,5.00,2.44,5.03,4.31,2002
USC00067970,2.13,1.34,4.61,4.53,5.69,7.50,1.22,3.47,7.34,5.75,5.60,5.59,2002
USC00067432,1.94,1.52,4.69,3.72,5.33,5.17,2.69,3.85,4.75,6.58,6.23,5.41,2002
USC00066655,1.76,1.28,4.44,4.49,6.19,7.11,1.00,5.02,7.37,6.35,5.58,4.26,2002
USC00060128,1.96,1.45,6.75,4.08,5.86,4.03,3.50,4.01,6.21,5.89,5.92,6.22,2002
USC00060973,1.29,1.87,3.96,3.64,4.50,5.91,5.41,4.36,3.30,5.39,6.28,4.49,2002
USC00060227,1.46,2.14,4.21,4.19,4.61,5.91,4.12,3.85,2.91,4.93,6.54,4.26,2002
USC00062658,1.28,1.39,2.74,4.09,5.33,5.02,1.79,3.53,4.61,2.29,5.02,2.89,2002
USW00094702,1.82,0.78,3.60,3.52,5.28,4.29,1.16,3.85,6.64,4.10,4.13,4.20,2002
USW00014740,1.26,1.45,3.75,3.32,5.33,5.13,2.21,2.81,3.22,4.35,4.99,3.74,2002
USC00061762,1.78,1.54,3.55,3.48,5.42,4.95,1.96,4.18,4.83,4.04,5.71,4.48,2002
USC00069388,2.78,1.81,4.76,3.60,5.28,5.41,1.90,3.52,3.99,3.10,6.21,5.96,2002
USW00054734,1.78,1.55,3.63,3.51,5.70,5.22,2.31,4.03,6.06,4.37,5.24,4.02,2002
USC00069775,1.76,2.20,3.40,4.31,5.50,5.49,2.78,4.28,3.86,4.12,6.15,3.67,2002
USC00069775,2.93,4.45,4.12,2.52,4.73,7.98,4.21,5.56,9.76,6.91,5.03,5.65,2003
USC00065910,2.90,4.13,6.66,5.00,4.11,7.85,5.29,5.77,6.13,7.10,1.27,4.69,2003
USC00065445,3.06,3.19,2.61,1.57,4.41,7.56,3.64,5.17,10.22,6.96,4.37,6.37,2003
USC00063207,1.82,3.63,5.48,5.17,4.31,4.81,4.68,3.49,3.90,5.71,1.94,3.72,2003
USW00054788,2.15,3.04,4.65,3.77,5.61,7.83,1.49,5.11,10.09,7.00,2.99,5.04,2003
USC00060299,3.33,3.69,3.50,2.38,4.80,7.16,3.45,4.41,10.34,6.52,4.35,5.50,2003
USW00014758,1.52,3.33,4.07,2.05,4.78,7.58,1.70,5.28,7.29,5.33,2.13,3.90,2003
USW00014752,2.52,3.04,3.44,3.10,5.07,6.51,2.23,4.95,9.27,4.92,2.57,3.21,2003
USW00054767,1.62,3.05,4.45,2.69,4.63,6.10,2.40,2.88,5.76,5.94,1.72,4.64,2003
USC00067432,2.96,5.13,4.42,3.69,4.81,7.25,1.57,2.79,7.81,5.89,2.53,6.37,2003
USC00060227,3.02,4.21,4.39,3.06,4.61,7.52,2.95,5.83,10.46,6.50,4.75,6.47,2003
USC00062658,2.48,2.02,2.46,1.02,5.18,5.65,3.66,3.28,8.12,4.52,4.20,4.67,2003
USW00014707,1.35,3.20,4.75,4.15,4.29,5.04,4.75,3.36,3.94,4.77,1.65,3.44,2003
USW00094702,1.80,4.49,4.12,3.59,5.24,7.26,1.97,5.36,3.91,3.89,2.30,3.82,2003
USW00014740,2.21,3.39,3.68,2.62,4.96,6.27,2.65,5.76,11.13,5.17,3.14,4.96,2003
USC00061762,2.85,3.68,4.15,2.74,4.36,7.35,3.34,6.17,9.19,5.41,4.14,5.50,2003
USC00069388,2.81,4.48,2.91,2.55,4.16,7.96,3.40,3.73,4.47,6.33,1.85,5.10,2003
USW00054734,2.67,2.85,3.88,2.52,4.35,7.19,4.08,6.82,8.06,5.06,4.11,6.20,2003
USC00067958,3.05,4.35,5.61,2.90,4.74,5.68,3.88,4.46,7.65,6.27,2.61,6.29,2003
USC00065910,1.84,2.61,2.07,11.96,2.93,1.78,2.27,6.72,10.89,2.62,6.01,5.77,2004
USC00065445,2.31,2.21,2.89,4.53,4.55,2.93,4.16,8.43,9.19,2.38,3.71,4.54,2004
USC00063207,1.58,2.75,4.30,6.87,2.93,1.19,4.16,6.24,5.47,2.59,4.47,3.98,2004
USW00054788,1.16,2.63,4.09,6.29,3.81,1.74,3.80,4.33,8.38,2.28,4.02,4.83,2004
USC00060299,1.88,2.26,2.55,5.63,3.19,2.69,4.19,5.36,8.28,2.45,3.42,3.96,2004
USW00014758,1.98,2.52,4.04,7.65,2.89,1.29,4.78,4.96,9.31,1.89,3.40,3.34,2004
USW00054767,1.73,1.86,3.22,7.16,2.93,1.76,2.78,4.16,5.18,2.08,3.94,4.06,2004
USC00067970,3.00,2.58,4.01,6.63,4.36,4.14,6.68,6.63,11.35,1.68,5.31,3.88,2004
USW00014752,1.70,1.93,2.92,5.74,3.96,1.81,3.89,6.01,7.39,2.00,3.10,4.14,2004
USC00060128,3.23,2.81,4.59,9.18,2.65,1.14,4.66,3.69,9.33,2.53,4.61,4.84,2004
USC00060973,1.80,2.31,2.55,7.62,5.07,1.70,5.43,6.22,8.81,2.52,3.71,4.86,2004
USC00060227,2.09,2.30,2.74,6.87,4.17,2.10,4.26,4.91,9.60,2.50,3.66,4.93,2004
USC00062658,1.26,1.42,1.74,3.72,4.80,3.04,5.02,7.25,9.96,1.64,2.20,2.96,2004
USW00014707,1.29,1.70,3.76,6.94,2.81,1.31,4.70,6.24,6.04,2.48,3.87,3.54,2004
USC00068065,1.06,1.83,2.55,5.33,2.80,1.44,4.06,5.62,8.95,1.41,3.72,2.89,2004
USW00094702,1.81,2.21,4.36,6.98,2.52,1.37,4.67,5.25,7.22,1.39,3.33,3.11,2004
USW00014740,1.47,1.76,2.88,5.46,3.17,2.21,4.28,4.27,8.25,1.65,2.68,4.23,2004
USC00061762,2.24,2.28,3.80,5.82,2.94,2.11,6.70,6.76,9.21,2.28,3.56,4.28,2004
USC00069388,1.79,1.97,1.60,10.47,3.93,2.41,3.02,4.56,7.81,2.76,4.68,5.03,2004
USW00054734,1.58,2.21,3.33,5.31,3.13,2.45,5.21,2.55,8.80,2.24,3.87,4.13,2004
USC00069775,2.19,1.88,2.33,5.42,3.81,1.40,5.76,5.13,8.23,2.37,3.39,4.50,2004
USC00063857,2.22,2.17,2.27,9.69,2.54,1.48,2.00,5.66,7.37,2.36,4.10,5.34,2004
USC00067958,2.37,2.12,3.69,5.88,4.19,2.14,5.22,5.87,8.59,1.98,3.73,4.57,2004
USC00064488,1.94,2.03,2.01,10.28,3.24,2.14,3.87,5.61,7.36,2.35,4.30,4.70,2004
USC00065910,4.42,3.57,5.51,5.89,4.24,0.92,2.79,3.86,3.50,15.24,4.50,5.94,2005
USC00065445,6.10,2.57,5.07,4.17,1.99,2.33,2.81,4.39,1.61,16.48,4.73,5.00,2005
USC00060299,4.97,2.40,4.31,4.87,2.80,2.55,3.11,2.70,3.79,16.27,4.71,4.09,2005
USW00014758,3.96,2.09,3.66,5.99,1.83,2.51,3.31,0.71,2.57,14.61,3.77,3.95,2005
USW00014752,4.24,2.12,3.50,5.71,2.50,2.26,5.65,1.44,1.79,14.49,3.95,3.64,2005
USW00054767,3.86,2.38,3.07,5.94,2.31,0.84,2.17,1.28,1.38,12.12,4.28,3.91,2005
USW00094702,4.30,2.88,3.49,4.22,2.43,2.52,2.81,2.07,2.11,12.08,3.41,3.70,2005
USC00060227,5.85,2.37,4.96,5.56,3.48,2.74,4.06,2.57,3.09,17.63,4.76,4.44,2005
USW00014707,3.19,2.13,3.06,5.64,2.30,1.73,2.02,1.33,3.83,12.76,4.40,3.46,2005
USC00068065,2.74,0.90,2.35,5.31,1.24,3.15,2.48,1.09,2.37,15.20,3.81,4.17,2005
USW00014740,4.47,2.83,3.69,5.69,2.06,2.84,7.39,2.34,1.47,16.33,4.35,3.67,2005
USC00061762,5.56,2.76,4.25,4.99,1.87,3.21,6.13,2.33,1.64,15.87,5.35,5.06,2005
USW00054788,3.82,1.76,2.67,0.03,0.00,2.10,2.47,0.53,2.38,16.47,4.44,4.68,2005
USC00069388,5.63,3.09,4.37,6.23,3.18,1.74,2.35,2.77,2.17,15.24,4.45,3.83,2005
USW00054734,3.98,2.32,3.34,5.12,2.02,2.76,5.60,2.93,1.89,15.37,4.99,4.17,2005
USC00063857,4.51,2.89,5.31,5.64,3.65,0.65,2.58,2.01,4.52,12.07,4.22,5.35,2005
USC00069775,5.66,2.35,4.22,4.12,1.41,3.04,3.60,1.99,1.30,14.06,4.26,4.03,2005
USC00067959,4.97,2.73,3.98,6.24,3.55,2.55,0.85,2.80,4.51,19.64,5.07,4.24,2005
USC00067958,5.91,2.73,3.90,8.03,3.10,2.45,3.91,3.26,3.40,19.04,5.34,4.16,2005
USC00064488,4.98,2.45,3.92,5.88,2.10,1.26,3.11,0.72,1.47,14.05,4.51,4.31,2005
USC00069775,6.96,2.43,0.81,7.30,6.60,9.08,2.30,7.27,2.91,7.57,6.03,1.93,2006
USC00068138,4.75,2.30,0.56,3.07,7.11,12.20,2.45,4.10,2.42,6.24,6.60,1.43,2006
USC00065910,6.23,4.15,0.71,3.20,8.79,8.36,2.92,5.78,3.34,10.21,8.38,2.85,2006
USC00065445,7.96,2.10,1.00,5.48,6.86,7.75,1.98,5.62,3.95,6.00,5.26,2.23,2006
USW00054788,6.41,2.97,0.65,4.35,7.23,10.60,2.80,5.57,2.97,6.78,5.97,2.40,2006
USC00060299,5.72,2.31,1.22,4.59,7.69,9.43,1.69,4.89,4.03,7.34,4.85,1.54,2006
USW00014758,4.36,1.34,0.29,6.00,7.48,7.19,2.72,7.56,2.46,5.55,4.86,2.46,2006
USW00014752,5.09,2.15,0.57,4.06,6.04,9.81,5.80,5.24,2.35,5.70,5.85,1.95,2006
USW00054767,4.87,2.49,0.64,2.84,5.72,9.01,1.88,3.52,2.26,6.92,6.12,2.06,2006
USC00060973,7.56,3.13,0.74,5.81,10.28,8.31,2.35,4.92,3.57,8.94,4.16,1.81,2006
USC00060128,6.96,2.30,0.76,10.49,9.35,7.83,4.37,4.52,3.35,8.56,6.11,2.95,2006
USC00060227,7.57,2.47,0.83,5.45,9.72,10.54,1.46,5.57,4.48,6.80,6.39,2.99,2006
USW00014707,4.67,2.22,0.59,2.94,7.27,5.92,3.45,6.81,2.89,5.71,5.31,1.80,2006
USC00068065,5.35,2.10,0.51,6.94,6.74,8.07,3.47,5.42,2.52,8.56,5.51,1.63,2006
USW00094702,5.57,2.48,0.85,7.98,6.50,5.52,3.87,9.14,2.70,6.56,5.07,2.66,2006
USW00014740,5.44,3.06,0.78,3.90,7.23,9.16,2.13,4.36,2.25,6.69,4.99,1.83,2006
USC00061762,4.96,2.95,0.80,6.50,5.35,9.14,3.52,7.71,2.48,6.30,6.58,1.99,2006
USC00069388,4.61,3.17,0.37,2.36,5.96,13.33,2.93,5.13,1.52,6.49,6.35,2.86,2006
USW00054734,6.08,1.55,0.72,5.85,4.90,7.78,4.27,6.65,2.92,5.30,6.57,1.78,2006
USC00067958,6.56,2.76,0.73,2.69,5.84,13.71,4.10,5.08,2.16,4.45,6.86,1.54,2006
USC00064488,3.88,0.17,0.66,2.63,5.66,8.41,3.29,2.78,1.27,3.56,4.42,1.48,2006
USC00068138,2.99,1.56,4.83,8.02,2.22,2.81,3.35,2.07,1.63,2.84,2.98,5.45,2007
USW00014758,4.32,1.54,5.68,9.04,1.09,3.44,2.89,3.04,1.92,2.51,2.40,4.60,2007
USC00065910,4.47,2.46,8.35,9.61,1.58,3.92,3.85,1.95,3.77,2.83,3.69,5.94,2007
USC00065445,3.00,2.73,4.72,7.62,1.93,2.27,5.90,1.92,1.56,5.23,3.75,6.22,2007
USW00014707,4.49,1.88,5.07,6.08,1.48,2.41,1.96,2.20,0.00,0.98,2.82,3.02,2007
USW00054788,3.59,1.96,5.46,8.64,1.32,4.33,5.99,1.91,1.84,3.65,2.77,3.57,2007
USC00060299,3.14,2.35,4.59,9.44,1.48,3.87,5.87,1.42,2.03,4.48,3.39,6.13,2007
USW00014752,2.93,1.84,4.38,7.17,2.11,3.41,3.58,1.71,1.09,3.15,2.61,4.41,2007
USW00054767,3.07,1.78,4.35,7.85,1.25,2.74,3.22,1.72,2.44,2.46,2.76,4.07,2007
USC00060973,3.54,5.15,4.04,9.94,1.65,5.03,6.83,2.10,2.03,4.41,2.85,5.48,2007
USC00067432,2.29,2.27,5.26,10.00,1.33,4.32,5.08,1.39,0.78,3.34,2.70,5.42,2007
USW00014740,2.81,1.54,3.71,7.54,3.72,3.62,4.54,0.98,1.18,3.39,3.03,4.33,2007
USC00060227,2.99,2.56,5.36,10.41,2.20,5.19,5.41,1.89,2.25,5.17,3.41,5.87,2007
USC00062658,1.71,1.50,3.61,5.89,1.44,3.44,6.30,2.02,2.38,4.97,3.45,4.53,2007
USC00068065,2.73,0.88,4.23,7.34,1.44,3.89,5.12,3.61,1.03,4.80,1.83,3.98,2007
USW00094702,4.48,1.36,5.71,7.73,1.05,4.39,2.67,2.67,1.83,3.07,2.25,4.40,2007
USC00061762,3.15,1.91,5.35,8.96,1.61,2.62,6.18,3.29,0.79,6.37,3.28,5.52,2007
USC00069388,2.27,2.55,5.22,8.28,2.80,2.81,2.99,1.16,2.24,3.76,3.30,4.72,2007
USW00054734,2.99,0.84,4.53,7.61,0.17,1.11,5.42,3.11,0.29,5.88,2.93,5.55,2007
USC00063420,3.25,1.68,3.80,9.69,2.39,4.14,3.77,2.06,3.51,3.30,3.34,5.05,2007
USC00066966,3.04,2.17,6.26,7.46,0.97,2.53,9.71,5.28,0.99,4.93,4.30,6.15,2007
USC00067958,2.61,2.18,5.36,7.76,3.24,2.53,3.14,1.11,1.59,4.65,3.86,4.81,2007
USC00063207,3.30,7.37,7.63,4.97,3.14,4.44,3.09,4.29,9.88,2.13,4.22,6.92,2008
USC00068138,2.28,8.88,4.97,4.01,2.53,4.25,4.54,3.21,9.18,2.92,3.57,7.78,2008
USC00065910,4.38,8.78,7.96,5.36,2.25,4.21,7.13,3.88,12.12,2.69,4.78,9.02,2008
USC00065445,2.37,9.85,5.94,3.67,2.74,7.67,5.65,4.03,8.49,3.72,3.05,8.46,2008
USC00062658,1.41,8.68,4.43,2.80,2.39,8.28,5.93,2.06,8.35,2.42,2.20,6.62,2008
USC00067958,3.22,8.96,5.51,4.65,3.56,6.46,7.86,6.38,10.16,3.34,3.37,8.08,2008
USW00014752,2.14,8.81,5.11,1.90,1.91,3.72,6.27,6.07,11.75,3.31,4.47,5.90,2008
USW00054767,1.53,8.08,5.02,1.59,2.10,2.08,3.83,2.39,8.71,0.89,3.71,6.62,2008
USC00060973,2.28,9.19,5.04,4.50,2.23,6.38,8.16,11.03,10.08,3.39,3.62,7.36,2008
USC00060299,2.14,9.68,5.22,4.01,3.15,6.03,5.86,3.59,7.92,3.36,3.52,7.65,2008
USW00014740,2.24,8.90,5.24,3.72,2.63,5.88,7.88,6.74,9.33,2.38,3.78,6.66,2008
USC00060227,2.29,10.13,6.02,4.07,2.52,7.12,6.29,6.05,9.47,3.10,3.52,7.96,2008
USC00063420,0.26,7.20,5.17,4.50,2.48,3.60,6.23,3.59,8.52,3.73,4.63,7.40,2008
USW00014707,1.74,4.07,4.86,1.44,1.76,3.08,1.99,2.43,7.26,1.47,2.36,4.46,2008
USC00068065,2.13,7.16,4.67,3.38,3.36,4.95,4.14,5.04,8.69,4.12,2.87,5.11,2008
USW00094702,1.77,6.20,4.45,3.44,2.44,4.30,3.87,4.09,6.40,2.03,2.92,5.85,2008
USC00061762,2.41,8.05,5.69,3.59,3.89,6.07,5.19,3.50,10.24,4.27,3.98,6.74,2008
USW00054788,2.21,10.11,5.52,1.94,2.83,4.38,3.95,3.74,8.08,3.45,3.76,6.29,2008
USW00054734,2.03,7.31,5.04,3.34,3.46,4.85,5.91,2.46,9.17,3.69,3.96,5.98,2008
USC00069775,2.20,8.17,5.31,3.69,2.66,5.46,7.62,3.47,9.09,3.27,3.90,6.35,2008
USC00066966,2.60,9.02,6.43,4.39,2.97,4.28,5.62,3.24,10.78,3.76,3.26,7.59,2008
USW00014758,1.79,6.67,4.63,2.06,2.26,4.28,4.85,2.82,7.80,2.60,3.84,5.87,2008
USC00069388,2.69,9.63,4.89,4.78,1.86,3.29,5.87,5.59,8.04,2.85,3.59,8.46,2008
USC00065445,3.48,2.24,2.80,3.19,4.76,9.54,8.84,5.68,2.33,4.80,2.71,5.35,2009
USC00060973,3.36,1.52,2.70,3.15,4.63,8.22,9.10,6.99,2.66,7.39,2.22,6.57,2009
USW00094702,2.48,1.16,2.06,3.67,2.93,6.42,4.22,1.52,2.45,5.11,2.52,5.76,2009
USC00068138,2.86,1.26,3.24,4.70,3.62,5.70,7.67,3.96,1.67,5.69,2.97,4.78,2009
USC00065910,4.15,2.45,2.71,6.58,3.28,5.46,13.79,3.67,1.44,8.39,4.37,7.93,2009
USC00060808,2.91,1.39,2.10,3.08,3.37,7.59,4.20,3.75,2.70,6.01,2.33,6.59,2009
USW00054788,2.32,1.32,1.87,3.71,3.29,6.27,7.29,1.74,2.72,6.61,2.77,5.46,2009
USW00014758,3.00,0.72,1.52,4.43,2.84,7.54,8.60,1.40,3.49,5.12,3.03,5.57,2009
USW00014752,2.53,1.23,2.05,3.54,4.11,5.94,10.13,2.56,1.83,5.05,2.36,3.79,2009
USC00062658,1.77,1.42,2.22,2.20,5.08,8.60,10.24,5.65,2.09,4.33,2.60,3.39,2009
USW00014707,2.29,1.41,1.40,3.65,4.02,3.38,9.69,2.30,1.56,5.22,3.23,4.17,2009
USC00061762,3.27,1.41,2.67,3.39,4.67,8.32,4.23,4.61,2.05,7.07,0.16,6.52,2009
USW00054734,2.50,1.16,2.06,3.31,3.65,7.01,5.61,4.48,2.06,5.97,1.85,6.24,2009
USC00060961,2.15,1.57,2.72,2.49,5.65,9.80,8.00,5.78,1.73,4.72,1.60,4.89,2009
