id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USW00013764,2.54,1.67,5.91,3.54,3.41,6.43,5.67,3.60,4.36,0.29,2.79,1.91,2000
USC00075320,4.12,2.05,5.87,3.41,3.62,4.76,9.43,4.70,6.47,0.04,2.84,2.11,2000
USC00073595,3.57,1.95,6.83,3.67,4.17,4.11,6.42,3.11,6.49,0.09,2.47,3.54,2000
USC00079605,3.41,1.92,9.63,3.11,3.79,6.22,6.15,2.74,5.93,0.69,2.84,3.93,2000
USW00013781,3.83,2.00,9.17,3.43,2.94,4.84,4.65,2.47,7.31,0.08,2.54,2.80,2000
USC00072730,3.34,2.92,7.97,4.40,3.25,3.97,5.18,7.81,5.99,0.26,3.00,3.39,2000
USC00075915,3.00,3.05,5.09,1.79,2.63,6.65,6.46,8.87,2.09,1.05,0.35,2.12,2001
USW00013764,3.12,2.49,5.50,1.91,2.52,6.15,4.33,11.69,1.80,0.68,0.37,1.98,2001
USC00075320,2.86,3.46,5.22,1.76,1.74,4.64,7.44,6.29,1.97,1.46,0.57,2.41,2001
USC00079605,3.16,3.37,6.23,1.94,5.42,4.60,1.57,3.28,2.79,0.87,1.13,2.72,2001
USW00013781,3.13,2.81,5.62,1.43,5.33,4.28,2.35,2.65,2.57,0.74,0.99,1.95,2001
USC00072730,3.19,3.49,5.63,1.55,5.46,5.18,4.99,3.28,2.35,1.09,0.73,1.84,2001
USC00075915,2.52,0.62,4.49,4.66,3.84,1.82,3.54,4.59,8.93,9.05,6.11,4.07,2002
USW00013764,1.33,0.89,5.50,3.09,2.53,2.00,2.14,3.55,8.29,5.80,2.43,2.79,2002
USC00075320,2.83,1.08,4.86,3.76,3.31,2.41,3.26,2.89,7.81,7.62,6.84,3.61,2002
USC00073595,2.54,0.67,4.32,4.75,3.33,2.18,3.06,2.51,9.40,7.07,5.98,4.18,2002
USC00079605,3.44,0.44,5.54,3.07,4.77,4.38,2.21,2.07,3.63,7.63,4.53,5.36,2002
USW00013781,2.72,0.43,4.05,2.26,3.40,4.96,1.41,2.03,3.42,6.17,4.48,4.50,2002
USC00072730,2.57,0.61,4.40,4.46,3.79,4.82,2.81,2.28,5.81,8.83,6.20,4.92,2002
USC00075915,1.34,7.44,0.98,3.15,4.37,5.98,4.58,5.41,4.70,3.55,6.05,5.97,2003
USW00013764,0.89,4.70,3.49,3.72,5.10,4.78,6.70,1.68,6.19,3.51,5.56,5.56,2003
USC00075320,1.41,6.49,4.11,4.53,4.22,5.19,7.05,4.22,4.72,4.19,6.19,7.43,2003
USC00073595,1.30,6.99,3.39,3.16,5.48,5.97,5.57,5.16,5.71,4.33,5.15,5.17,2003
USC00079605,2.57,6.00,5.17,2.78,4.09,9.91,1.95,8.56,9.48,5.56,3.65,5.26,2003
USW00013781,1.79,5.21,4.75,2.63,3.93,9.90,2.85,4.21,7.39,4.39,3.37,4.93,2003
USC00072730,1.88,7.02,4.12,3.83,5.63,7.56,6.87,7.16,4.49,3.22,5.41,5.78,2003
USW00013764,1.85,1.94,2.09,4.53,4.25,1.59,3.35,7.30,2.20,1.60,3.30,2.67,2004
USC00073595,2.44,1.96,2.27,5.51,3.35,2.56,3.60,6.39,2.46,2.44,4.54,2.68,2004
USC00075320,2.46,1.84,3.00,6.26,2.42,2.65,3.83,6.90,2.50,1.79,4.98,2.93,2004
USW00013781,1.66,2.33,2.96,5.61,4.41,6.98,8.24,5.33,9.29,2.43,4.65,2.84,2004
USC00072730,2.19,2.17,3.08,5.65,2.03,5.05,7.89,4.30,3.40,1.54,5.01,2.60,2004
USC00079605,1.98,2.68,3.76,6.26,3.67,7.14,11.66,3.08,9.54,2.96,5.16,3.03,2004
USW00013764,3.59,1.87,4.00,2.50,5.74,4.39,6.15,2.05,0.45,8.41,3.09,3.22,2005
USC00075320,4.35,2.17,5.07,2.67,6.62,7.46,5.99,2.27,0.65,8.56,3.91,4.36,2005
USC00073595,5.50,1.86,3.90,3.22,5.58,4.30,5.00,1.70,0.13,9.28,4.37,4.23,2005
USC00079605,4.49,2.61,4.49,6.21,1.89,2.07,4.70,2.03,0.95,7.24,2.64,3.82,2005
USW00013781,3.85,2.65,4.11,5.13,2.26,2.25,4.82,1.35,0.44,7.80,2.41,3.22,2005
USW00013764,4.09,1.05,0.31,2.22,1.17,14.08,3.32,0.43,7.16,6.13,6.10,2.07,2006
USC00075320,4.52,1.91,0.11,2.02,2.52,10.14,3.98,0.72,6.62,5.61,6.09,2.65,2006
USC00073595,3.56,1.54,0.18,2.98,1.13,11.30,6.50,1.19,6.85,5.30,5.10,1.41,2006
USW00013781,4.15,2.38,0.29,4.37,2.22,9.41,6.05,2.59,6.18,5.56,4.31,1.93,2006
USC00072730,3.61,1.39,0.24,3.85,1.46,7.80,6.83,0.28,5.78,5.52,6.14,1.55,2006
USC00079605,3.75,1.63,0.60,4.45,2.06,12.24,4.72,2.87,7.47,6.16,4.79,1.98,2006
USC00071200,3.42,2.25,4.92,8.67,1.48,3.46,6.33,3.09,0.75,5.36,2.11,5.09,2007
USW00013764,3.80,2.31,3.12,4.40,1.02,3.54,1.60,3.67,1.24,4.52,0.91,4.08,2007
USC00075320,4.17,3.09,3.28,4.63,0.93,4.25,4.89,3.17,1.12,5.57,1.72,5.16,2007
USC00079605,5.22,1.86,4.17,7.09,1.75,3.92,2.85,5.84,1.00,5.94,1.78,5.28,2007
USW00013781,3.53,1.94,4.61,8.56,1.02,2.73,3.15,3.37,0.49,5.92,1.69,4.83,2007
USC00072730,3.99,3.25,3.50,6.60,1.35,4.96,1.97,2.41,1.36,4.67,2.21,5.21,2007
USC00073595,4.07,2.14,2.30,6.22,1.06,1.89,0.65,4.14,2.09,4.19,1.21,3.98,2007
USW00013764,1.98,3.37,2.50,1.37,6.12,1.80,4.59,0.56,5.76,1.44,5.24,4.86,2008
USC00073595,1.77,2.51,3.80,3.08,4.79,4.86,3.95,0.16,3.95,1.57,4.24,5.65,2008
USC00075320,1.59,4.47,2.44,3.14,6.02,2.46,4.74,1.93,6.26,2.00,6.21,6.46,2008
USC00072730,2.32,3.95,2.79,3.12,6.85,2.59,4.73,0.59,2.48,3.11,4.23,4.94,2008
USW00013781,1.57,4.32,4.00,1.98,5.13,2.71,4.69,1.16,5.19,1.81,3.52,4.40,2008
USC00079605,1.83,4.59,5.13,2.22,3.88,2.45,7.07,1.34,5.57,2.26,4.02,4.46,2008
USC00071200,2.85,0.39,2.51,4.65,4.76,5.17,2.99,6.96,6.04,6.25,3.08,8.63,2009
USC00073595,2.24,0.30,2.68,5.11,5.09,6.59,1.31,8.75,5.55,6.77,4.96,6.76,2009
USC00075320,2.22,0.91,2.57,7.23,5.29,3.97,2.93,6.06,5.57,8.35,5.76,7.36,2009
USC00079605,2.09,0.25,2.35,4.96,4.25,5.94,4.82,8.07,4.59,8.45,1.97,8.75,2009
USW00013764,2.11,0.30,2.26,5.71,5.45,5.59,2.52,8.66,5.61,8.87,5.51,6.76,2009
USW00013781,2.91,0.30,1.89,4.03,3.89,6.67,3.94,6.73,4.91,5.91,2.33,8.58,2009
USC00071200,2.91,5.63,5.83,2.91,2.19,1.15,4.94,1.65,5.32,5.62,2.35,2.44,2010
USC00079605,2.49,6.25,6.24,2.70,2.48,1.40,9.65,1.60,5.17,2.32,2.60,2.36,2010
USW00013764,3.35,3.02,6.51,1.59,1.75,2.71,2.43,2.44,4.11,4.05,1.30,1.57,2010
USW00013781,2.53,5.87,5.37,2.43,2.32,1.83,6.15,1.34,5.95,5.48,2.29,2.41,2010
USC00072730,1.65,2.96,5.62,2.51,2.13,1.41,6.88,4.03,2.14,7.60,3.25,2.28,2010
USC00071200,3.05,2.84,4.47,4.37,3.63,3.95,5.48,15.02,6.41,3.52,4.01,4.48,2011
USC00079605,2.72,2.05,4.88,4.57,4.58,3.11,0.88,14.75,5.96,3.74,4.48,5.61,2011
USW00013764,2.99,2.18,3.80,2.64,1.80,1.89,2.96,6.44,3.32,2.24,3.04,1.78,2011
USW00013781,3.23,2.90,4.05,4.71,3.23,2.49,3.73,14.70,5.93,3.06,4.13,4.44,2011
USC00072730,3.10,2.53,3.16,3.31,3.38,1.83,4.22,8.63,3.85,3.17,0.55,4.38,2011
USC00071200,2.84,1.89,0.78,2.82,2.05,7.24,3.37,4.10,5.59,8.36,0.96,0.02,2012
USC00079605,3.01,2.00,1.23,2.63,3.26,4.02,1.39,3.99,6.48,7.40,1.39,4.81,2012
USW00013764,1.92,2.61,0.41,2.74,1.61,1.73,3.29,6.30,2.78,9.63,0.01,2.99,2012
USW00013781,2.56,2.09,0.92,2.57,2.26,3.62,3.05,2.81,5.29,6.26,0.98,3.93,2012
USC00072730,1.65,0.98,1.33,0.35,2.30,1.07,3.17,1.29,2.09,0.89,1.28,4.11,2012
USC00079605,4.02,1.85,2.41,1.62,3.05,12.22,4.49,4.55,2.15,3.45,2.03,4.70,2013
USW00013764,2.80,2.17,3.59,4.09,2.21,12.24,6.63,8.28,0.69,4.74,2.15,4.89,2013
USW00013781,3.70,2.32,2.54,2.69,2.17,13.66,4.05,5.22,1.92,1.97,2.91,5.22,2013
USC00072730,2.40,2.39,2.71,4.24,2.18,9.41,8.33,4.25,0.66,4.14,2.37,1.91,2013
USC00079605,2.45,5.27,4.19,8.10,2.48,3.15,3.43,3.88,3.21,2.24,4.37,3.06,2014
USW00013764,3.04,4.15,3.37,3.51,3.15,1.78,7.02,4.32,3.90,2.52,3.53,3.54,2014
USW00013781,3.23,5.36,3.82,6.84,3.09,5.04,5.94,4.77,2.84,2.79,4.20,3.01,2014
USC00072730,2.27,2.93,1.50,4.07,2.28,2.21,3.52,1.91,2.71,2.21,3.67,1.64,2014
USC00079605,3.68,2.11,4.45,4.16,0.84,11.33,3.64,1.91,0.83,0.20,0.0,0.0,2015
USW00013764,4.53,2.30,3.78,2.95,1.20,4.84,3.31,2.32,3.17,2.88,0.0,0.0,2015
USW00013781,4.45,2.17,5.39,4.29,2.39,12.52,2.32,1.52,2.50,2.36,0.0,0.0,2015
