id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00084095,0.84,0.48,0.36,4.00,2.28,9.87,7.72,13.71,7.69,12.80,0.19,2.64,2000
USC00087205,2.75,0.31,0.91,2.77,0.14,14.39,7.50,6.38,5.26,0.04,1.03,0.94,2000
USC00084320,1.48,1.57,2.37,0.69,0.41,4.64,0.90,6.58,4.27,8.11,2.21,3.28,2000
USC00086240,5.97,2.24,5.96,2.44,0.15,5.92,4.88,6.25,13.34,1.00,5.98,7.02,2000
USC00083207,2.47,1.59,2.39,3.67,0.36,5.94,8.00,4.01,4.56,6.69,0.59,0.78,2000
USC00088529,2.84,0.85,3.69,1.11,0.75,5.54,5.64,3.99,6.79,0.65,1.50,0.91,2000
USC00083986,2.20,0.69,0.39,0.91,0.73,5.93,7.01,5.77,6.82,0.07,1.80,1.52,2000
USC00085973,0.88,0.24,1.11,0.72,0.02,6.40,7.22,6.78,4.48,0.85,0.73,0.14,2000
USW00012885,2.22,0.76,3.90,2.69,4.07,6.65,7.33,3.74,3.78,8.53,1.12,5.16,2000
USW00012882,0.55,1.55,1.75,2.96,3.30,4.53,8.81,6.69,8.23,4.93,0.00,3.61,2000
USW00012888,0.52,1.00,1.15,4.50,0.57,5.86,14.75,9.47,10.40,4.41,0.02,0.67,2000
USW00012896,0.60,1.96,1.59,0.52,1.76,0.89,2.71,4.73,3.80,6.01,0.41,2.56,2000
USC00081641,1.51,0.40,0.20,0.76,0.92,5.41,6.43,7.65,3.05,0.12,1.91,0.56,2000
USC00084289,2.17,1.88,1.27,1.76,0.20,9.10,8.96,6.03,4.31,0.20,1.33,1.02,2000
USC00086842,2.54,1.38,7.54,0.46,0.26,5.08,4.94,5.31,6.02,0.24,5.69,1.79,2000
USW00012843,2.88,1.15,2.42,1.95,0.36,6.56,11.56,4.54,7.83,7.15,0.50,0.43,2000
USW00012842,1.95,0.30,0.41,0.43,0.02,4.53,8.14,5.44,5.14,0.06,2.04,1.39,2000
USW00012841,1.12,0.20,0.59,0.36,0.09,3.23,8.20,6.79,4.26,1.46,0.12,1.08,2000
USW00012844,1.15,0.60,2.00,4.09,0.40,3.07,6.44,3.03,7.23,6.68,5.28,2.33,2000
USW00012849,0.52,1.53,5.71,3.12,3.54,8.33,7.68,9.68,5.23,12.57,0.65,5.83,2000
USC00082288,1.30,0.31,1.27,3.74,0.29,4.77,5.36,2.93,6.60,1.54,0.67,0.77,2000
USC00089176,1.56,0.60,0.79,2.59,0.94,5.68,7.43,10.06,7.57,0.18,1.50,1.62,2000
USC00083909,0.66,1.41,1.90,3.29,1.51,6.53,9.03,9.66,9.87,7.55,0.62,10.41,2000
USC00080228,1.52,2.43,1.13,3.19,0.40,5.31,12.81,8.79,6.73,2.06,0.45,0.16,2000
USC00085076,0.93,1.17,0.45,1.28,0.76,3.87,7.31,3.04,6.87,0.52,1.42,1.66,2000
USC00089401,0.00,0.00,0.85,1.40,0.00,3.19,5.80,5.62,10.47,0.00,0.79,1.45,2000
USC00088942,2.12,0.95,1.39,1.97,0.38,5.45,5.78,1.43,8.52,2.50,0.86,1.39,2000
USC00083322,3.54,0.72,3.00,0.79,0.13,6.67,8.18,8.45,8.40,0.67,1.71,0.93,2000
USC00080478,1.19,0.21,0.92,0.00,1.63,7.02,9.54,4.47,9.34,0.00,0.91,0.65,2000
USC00084394,3.26,4.12,4.06,2.80,0.38,6.04,3.89,4.45,10.95,0.87,1.91,1.48,2000
USC00083168,1.59,1.89,4.98,4.50,2.78,7.28,4.44,4.60,6.38,14.62,0.63,2.44,2000
USC00083163,1.05,1.24,5.84,4.72,4.98,8.85,5.23,5.44,6.30,11.02,1.63,3.90,2000
USC00086485,1.13,0.98,1.29,3.05,0.00,2.83,3.52,2.50,8.76,0.66,0.12,0.50,2000
USC00087982,1.07,0.70,0.59,1.48,0.20,3.49,9.59,4.92,7.54,1.42,1.19,0.66,2000
USC00081276,0.83,0.97,2.68,7.11,1.26,8.35,8.20,3.94,9.47,3.06,0.45,0.69,2000
USC00088841,2.11,1.54,0.70,1.41,0.29,10.69,2.47,8.42,4.40,7.04,3.47,3.56,2000
USW00003882,2.34,1.13,6.36,0.53,0.11,4.34,2.55,5.01,3.98,0.63,5.94,2.01,2000
USC00083470,4.40,1.32,3.04,1.20,0.06,6.99,5.71,6.19,6.54,0.41,1.34,1.41,2000
USW00012816,3.20,0.65,2.14,1.13,0.51,6.12,5.41,3.74,8.46,0.93,1.52,0.59,2000
USW00013899,3.07,1.25,3.92,1.87,0.38,3.91,2.34,3.49,10.00,1.06,8.14,2.96,2000
USC00083874,2.07,0.92,4.13,2.14,0.68,9.08,4.20,5.69,11.91,1.83,1.39,0.29,2000
USC00086767,2.00,0.72,2.76,0.89,0.47,4.19,4.93,2.48,17.48,2.70,2.95,1.08,2000
USW00053853,2.08,2.09,3.41,3.01,0.05,3.00,2.11,2.22,7.89,0.05,7.19,2.87,2000
USC00084802,1.78,0.61,0.63,1.98,0.55,6.69,6.72,6.61,10.40,0.17,1.13,1.00,2000
USC00088824,1.29,1.03,0.62,0.78,0.00,8.88,12.68,9.63,9.48,0.04,2.26,0.20,2000
USC00086406,0.71,1.14,0.83,5.87,4.51,9.93,10.77,6.53,9.87,5.15,0.02,1.26,2000
USC00087020,0.58,0.94,1.28,3.01,2.69,6.52,9.08,8.92,6.46,14.91,0.09,2.18,2000
USC00087025,3.33,1.18,2.49,0.17,3.79,7.30,3.37,2.57,8.56,0.00,1.81,0.71,2000
USC00085275,2.72,5.49,7.23,1.27,0.45,4.07,4.76,3.77,7.00,0.97,1.80,1.44,2000
USC00083020,0.63,2.56,2.07,1.97,0.91,6.62,2.47,2.30,3.75,7.38,0.13,0.99,2000
USC00084366,3.57,0.96,1.76,2.56,0.64,3.80,4.44,7.46,17.43,0.59,1.75,0.89,2000
USC00087254,0.35,1.13,4.18,1.28,5.05,6.51,7.83,6.92,5.01,4.19,0.89,2.33,2000
USC00088780,0.69,1.20,0.47,6.48,1.38,7.86,9.79,4.97,7.79,4.73,0.00,0.97,2000
USC00089566,2.83,1.13,4.90,0.37,0.04,5.58,2.98,3.14,11.86,0.74,5.34,1.97,2000
USC00080945,0.64,0.40,2.50,1.21,0.99,4.55,8.85,11.71,10.42,0.23,1.63,0.83,2000
USC00087851,2.16,0.54,0.55,0.54,0.03,9.70,7.20,11.01,5.59,0.03,1.60,0.32,2000
USC00081046,1.74,0.72,1.09,0.73,1.81,12.63,11.03,5.25,2.93,0.03,1.50,1.17,2000
USC00082220,4.34,2.29,4.70,2.14,0.19,4.99,3.67,4.50,8.16,0.40,6.95,5.99,2000
