id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00092485,4.94,2.56,3.87,4.37,1.76,2.15,2.49,4.28,8.27,0.92,6.85,1.88,2000
USC00091425,5.64,0.93,6.23,0.39,0.34,3.57,1.71,6.38,8.01,0.53,5.07,4.29,2000
USC00099157,9.09,2.19,4.89,1.23,0.28,2.77,1.65,7.24,4.75,0.18,3.84,1.44,2000
USC00090603,6.13,2.45,4.12,1.32,2.57,1.07,1.15,7.53,10.44,0.12,6.69,1.56,2000
USC00098740,5.38,2.65,5.27,3.94,0.93,3.93,2.76,3.61,4.80,0.12,5.44,2.18,2000
USC00095874,6.41,0.26,4.42,0.91,0.39,1.70,1.46,4.40,5.66,0.72,4.27,3.28,2000
USC00096087,3.50,1.54,5.70,3.33,0.59,4.74,2.67,4.99,13.87,0.68,1.10,2.82,2000
USC00093695,7.97,0.81,3.78,1.17,0.54,4.10,2.95,5.63,4.48,0.22,3.71,3.69,2000
USC00090253,4.02,1.43,6.50,1.56,0.07,4.59,2.24,3.13,4.84,0.24,4.41,5.47,2000
USW00013874,4.89,1.26,3.63,2.63,1.86,1.11,2.70,4.04,4.93,0.88,5.02,2.62,2000
USW00003822,2.71,1.56,4.30,2.85,0.96,5.48,3.38,4.18,7.45,0.00,1.77,2.82,2000
USW00003820,6.46,1.01,2.92,1.13,0.36,5.50,3.04,6.63,6.01,0.03,3.39,1.40,2000
USC00093060,5.30,1.88,2.02,2.12,3.03,5.28,4.15,7.77,4.94,0.01,4.80,3.63,2000
USC00095204,7.80,2.22,3.61,0.88,0.00,2.43,3.37,4.96,4.79,0.10,3.33,1.27,2000
USC00092408,5.02,1.75,4.44,3.22,0.93,3.05,0.79,6.55,8.04,0.18,5.48,2.23,2000
USC00096335,4.54,1.44,3.41,2.19,1.37,2.88,1.44,5.10,3.18,1.11,5.12,2.48,2000
USC00091640,5.89,2.50,5.19,3.90,1.20,0.82,2.48,1.93,2.56,1.20,7.52,2.76,2000
USC00099486,5.59,2.03,3.43,2.01,3.09,2.93,2.29,5.02,5.03,0.20,4.96,3.75,2000
USW00013878,2.34,1.19,5.01,2.81,0.29,0.83,2.46,3.61,11.74,0.09,1.71,2.06,2000
