id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00515275,0.20,0.38,0.10,1.30,0.04,1.02,0.71,0.24,1.45,2.49,2.58,0.11,2000
USC00518838,6.48,1.41,4.04,5.41,4.21,1.61,4.74,3.37,1.61,4.61,7.20,1.39,2000
USW00022534,1.17,0.04,0.31,3.37,0.12,0.22,0.50,1.96,1.29,0.15,1.97,0.30,2000
USC00517724,18.11,1.52,6.76,11.65,3.94,7.26,16.40,19.84,12.68,23.35,19.37,4.29,2000
USC00512679,16.54,1.26,4.87,15.37,3.74,5.01,12.31,12.43,10.92,12.36,15.37,3.56,2000
USC00513099,2.28,0.02,3.04,6.35,0.37,1.84,2.18,0.87,1.59,2.70,2.81,5.64,2000
USC00510211,0.94,0.16,0.73,0.51,0.13,0.21,0.47,0.19,0.09,0.62,1.10,0.34,2000
USC00515330,2.91,0.39,1.77,2.20,6.20,5.09,4.11,1.31,4.85,3.86,6.34,0.53,2000
USC00511303,10.50,0.99,6.89,4.62,2.37,2.93,9.04,9.63,5.92,12.41,13.12,2.24,2000
USW00022536,2.28,0.33,0.97,3.33,0.10,1.13,1.51,0.47,4.33,1.04,1.35,1.20,2000
USC00515011,11.40,0.48,6.98,5.20,1.39,1.35,9.00,12.78,6.80,9.42,28.31,1.87,2000
USC00513911,0.00,0.00,0.00,0.02,1.08,0.12,0.06,0.95,0.11,0.00,2.80,1.45,2000
USC00513910,1.63,0.00,0.60,2.18,0.02,0.03,0.35,1.58,0.66,1.64,3.93,0.28,2000
USC00515177,0.10,0.00,0.00,0.00,0.03,0.00,0.00,0.32,0.62,0.29,3.33,0.00,2000
USW00022551,0.41,0.07,1.02,0.20,0.06,0.15,0.34,0.56,1.20,0.37,2.06,0.09,2000
USC00512960,14.72,1.56,7.45,7.21,2.75,7.80,13.42,16.13,12.28,9.81,14.28,3.53,2000
USC00511086,8.04,0.40,1.85,3.05,1.15,0.42,4.41,7.84,1.67,5.13,6.04,1.21,2000
USC00511880,0.05,0.06,0.37,0.39,0.45,1.92,1.30,0.44,2.86,0.73,3.76,0.00,2000
USC00518549,2.30,0.46,0.56,0.08,0.09,0.60,1.37,7.46,0.33,0.72,4.57,0.04,2000
USC00518543,1.02,0.00,0.00,1.89,0.00,0.00,0.26,0.90,0.42,0.29,4.93,0.05,2000
USC00519142,0.02,0.02,1.27,0.39,0.27,0.32,0.00,0.12,0.79,0.25,1.71,0.00,2000
USC00519144,0.52,0.00,1.21,0.00,0.02,0.21,0.07,0.01,0.00,0.00,2.56,0.00,2000
USC00513541,0.29,0.00,0.30,0.00,0.00,0.00,0.00,0.20,1.75,0.08,1.33,0.00,2000
USC00516198,0.18,0.31,0.05,0.01,0.01,0.11,0.04,0.20,0.96,2.75,1.16,0.00,2000
USC00517656,4.89,0.11,0.44,6.65,0.34,0.95,3.06,4.92,3.24,4.15,4.44,0.33,2000
USC00517000,6.63,2.17,3.77,4.12,3.39,4.37,8.15,8.26,9.52,14.90,19.70,2.65,2000
USC00513054,1.20,1.67,3.59,1.22,0.62,1.97,1.82,2.33,2.61,1.15,8.15,0.74,2000
USC00513317,2.69,0.20,0.71,1.82,0.27,0.17,1.34,2.27,1.00,1.70,5.96,0.80,2000
USW00022516,1.01,0.06,0.34,1.27,0.04,0.09,0.78,1.21,0.54,0.80,3.44,0.18,2000
USC00511004,6.28,0.00,2.36,5.82,0.16,2.26,1.38,2.87,3.77,3.28,9.04,0.17,2000
USC00511065,1.00,0.03,0.39,0.00,0.00,0.60,0.17,1.69,2.47,5.26,2.50,0.20,2000
USC00518652,0.61,0.14,1.00,1.99,0.38,2.34,0.42,0.72,3.52,0.87,5.71,0.22,2000
USC00517166,0.28,0.20,3.22,0.59,1.02,3.01,0.78,5.18,3.67,0.38,5.33,0.10,2000
USC00510305,0.45,0.22,0.79,1.59,0.09,0.42,0.28,0.21,1.39,0.35,1.69,0.25,2000
USC00513117,4.49,0.39,2.12,3.41,1.50,1.28,1.81,3.02,5.58,2.93,3.43,1.23,2000
USC00519980,5.68,0.50,1.09,4.14,0.68,1.91,1.93,2.20,1.91,1.78,3.76,0.75,2000
USC00519231,0.33,0.07,0.51,0.18,0.04,0.46,0.01,0.44,0.99,0.65,2.54,0.18,2000
USC00515758,0.63,0.00,0.24,0.77,0.00,0.80,0.22,0.23,1.39,0.21,3.27,1.80,2000
USC00519397,0.96,0.06,0.35,1.01,0.40,0.18,0.50,0.62,0.78,0.55,1.35,0.13,2000
USC00518422,1.99,0.00,0.09,0.00,0.40,0.08,0.00,0.00,0.56,0.00,3.45,0.08,2000
USC00517810,21.33,3.52,9.21,13.25,5.74,8.59,23.14,14.11,14.61,13.36,19.52,6.10,2000
USC00515286,0.30,0.40,0.26,1.94,0.46,0.61,1.08,0.87,1.08,1.69,6.78,0.09,2000
USC00515710,2.85,0.02,1.59,3.00,0.25,0.98,1.27,0.53,2.38,0.85,1.87,1.81,2000
USC00515864,0.50,0.00,1.00,0.64,0.05,0.35,0.57,0.11,1.39,0.63,0.22,1.43,2000
USC00518155,8.76,0.55,3.25,5.99,0.41,2.08,7.43,4.38,3.58,3.42,1.57,5.46,2000
USC00512558,0.67,0.20,0.02,1.13,0.20,1.30,0.24,0.39,0.21,0.96,4.53,0.21,2000
USC00512802,31.22,2.41,10.56,14.18,5.63,11.99,20.24,27.13,18.82,30.65,44.55,5.82,2000
USC00516128,23.27,4.36,6.60,17.94,4.93,7.82,17.45,13.77,13.09,13.28,19.81,3.78,2000
USC00516122,9.69,1.00,2.16,7.79,1.68,3.07,5.93,4.98,2.51,3.73,6.99,1.26,2000
USW00022521,1.26,0.07,0.38,0.46,0.03,0.04,0.41,1.17,0.78,0.26,2.10,0.17,2000
USC00515842,0.08,0.00,0.01,1.75,0.07,0.52,0.00,0.69,0.00,0.12,4.00,0.02,2000
USC00511339,2.74,0.29,1.41,3.44,1.45,0.71,1.43,3.10,1.74,1.68,4.54,2.70,2000
USC00514080,2.85,0.50,2.95,0.48,0.11,1.51,2.85,3.63,1.02,6.14,0.00,0.63,2000
USC00519281,5.23,0.81,3.09,3.99,1.37,3.46,5.54,4.53,7.08,4.50,4.63,2.71,2000
USC00512595,38.56,1.44,12.55,16.62,5.06,5.61,4.00,23.98,15.88,29.61,35.15,4.95,2000
USC00511125,8.51,0.87,3.16,5.30,1.83,4.71,6.79,8.63,7.90,18.41,17.40,2.92,2000
USC00514459,29.93,0.36,6.25,18.34,3.83,5.65,13.67,27.88,16.70,20.84,27.77,2.11,2000
USC00517540,1.26,0.12,0.80,1.12,0.27,0.65,0.54,0.65,1.00,0.36,1.28,0.09,2000
USC00511856,13.81,0.21,1.76,13.08,2.72,3.02,3.31,8.93,3.14,8.81,5.91,0.93,2000
USC00516304,0.33,0.03,0.27,1.37,0.73,2.93,0.33,1.37,1.54,0.52,2.40,0.08,2000
USC00517664,16.49,2.57,9.28,13.03,3.79,5.81,10.67,10.84,13.13,10.56,11.09,6.19,2000
USC00510248,0.89,0.01,0.27,0.75,0.01,0.05,3.57,2.14,1.03,0.03,2.63,0.04,2000
USC00519523,3.04,0.35,2.43,3.77,0.22,1.20,1.19,2.29,3.17,2.91,3.71,1.50,2000
USC00517059,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,2000
USC00518552,0.48,0.13,1.07,0.31,1.31,2.28,1.63,0.63,1.89,1.89,0.01,0.00,2000
USC00514765,0.10,0.00,0.00,0.04,0.04,0.11,0.06,1.53,0.16,0.00,4.14,0.13,2000
USC00514758,7.67,0.81,3.58,4.99,0.77,4.57,7.90,2.36,3.80,2.92,4.57,11.08,2000
USC00513208,3.02,0.38,1.76,4.54,0.78,2.08,4.04,3.15,4.05,4.30,4.62,1.56,2000
USC00511918,0.83,0.15,0.20,0.35,0.14,0.05,0.19,0.85,0.74,0.38,3.14,0.17,2000
USW00021510,0.23,0.02,0.01,0.16,0.33,0.35,0.08,0.74,2.15,0.00,4.58,1.17,2000
