id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00132864,1.30,1.19,1.20,3.38,5.09,8.16,1.31,4.82,2.54,1.02,3.32,2.69,2000
USC00136527,0.37,0.65,0.51,2.39,2.72,7.85,2.93,5.51,1.85,0.89,1.68,0.69,2000
USC00130200,0.38,1.63,0.44,0.81,4.74,4.08,2.84,1.33,1.01,1.96,2.39,1.50,2000
USC00131402,0.77,1.20,0.99,1.98,4.46,10.09,5.00,3.70,1.87,2.61,2.79,2.03,2000
USC00136755,0.47,0.58,1.24,1.93,3.31,7.85,4.16,2.04,1.57,2.04,1.66,1.52,2000
USC00138755,0.87,0.89,1.18,1.70,9.85,8.74,3.91,5.13,1.52,1.11,5.27,2.13,2000
USC00138806,0.57,1.73,1.14,1.32,4.02,4.75,3.39,3.28,1.63,2.23,2.69,1.43,2000
USC00133584,0.35,0.94,0.73,2.33,4.65,9.05,5.13,2.65,1.21,2.08,2.49,2.23,2000
USC00137669,0.12,0.97,1.17,1.17,1.74,5.15,6.53,1.90,1.23,1.64,2.29,1.62,2000
USC00137664,0.66,0.98,0.85,2.23,5.27,3.11,2.30,2.16,0.77,3.28,2.45,1.00,2000
USC00137613,0.14,1.35,1.45,1.37,2.10,4.26,6.77,2.13,1.44,1.69,2.42,1.27,2000
USC00130203,0.67,1.60,0.93,0.94,3.21,5.43,3.45,2.05,1.42,1.80,1.79,1.66,2000
USC00136327,0.65,1.11,0.44,2.58,1.97,15.49,3.54,3.20,4.30,0.72,1.52,1.49,2000
USC00135230,0.97,0.62,1.32,1.74,4.20,6.37,5.58,3.38,1.30,1.54,1.94,1.34,2000
USC00134308,1.02,1.35,1.92,2.68,4.13,4.46,4.22,3.64,1.79,2.01,3.83,2.54,2000
USC00136305,0.00,0.95,0.80,3.60,6.47,10.76,4.34,2.64,1.12,1.49,3.37,1.16,2000
USC00132110,0.59,0.49,0.76,1.28,5.20,11.68,5.36,6.33,1.07,1.36,2.14,1.84,2000
USC00130753,0.83,1.34,0.87,1.61,2.33,8.68,4.67,2.37,3.41,1.87,1.39,1.39,2000
