id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00116779,1.98,3.79,3.16,2.42,4.88,7.49,7.17,3.18,3.17,0.77,4.46,2.74,2000
USC00115372,1.69,0.81,1.51,5.28,4.18,6.05,4.13,3.00,4.41,2.76,4.13,2.06,2000
USC00116579,1.32,2.51,3.04,2.35,5.34,7.19,4.31,4.83,5.29,5.14,4.06,2.25,2000
USC00119469,1.15,2.42,1.55,3.61,3.38,6.11,3.06,3.07,5.78,1.15,2.12,2.35,2000
USC00117157,1.27,3.44,2.50,2.80,6.70,8.29,6.80,3.23,2.53,1.37,3.24,2.12,2000
USC00113109,1.94,4.79,3.00,2.17,4.07,8.85,5.89,7.07,5.05,2.46,3.95,2.48,2000
USC00112679,1.56,3.52,2.19,2.47,5.83,8.71,7.37,6.91,3.48,4.28,3.96,1.78,2000
USW00094822,1.41,2.05,1.05,3.67,6.62,8.01,4.54,3.70,7.92,0.87,2.02,1.94,2000
USC00115413,0.83,1.56,2.19,1.96,2.88,6.26,6.41,3.25,2.03,2.06,3.31,1.44,2000
USC00117457,1.22,0.98,1.30,4.53,7.17,5.07,5.67,2.71,3.47,2.32,3.44,1.84,2000
USC00115430,1.62,2.69,1.53,1.83,2.98,6.63,5.15,5.82,5.13,3.37,3.43,0.55,2000
USC00111386,1.61,3.76,2.22,2.98,5.30,11.37,5.73,2.95,3.43,1.40,4.83,2.16,2000
USC00116558,1.56,4.03,2.28,3.36,3.59,6.09,8.40,6.66,9.02,4.18,3.23,2.61,2000
USC00112140,1.80,2.78,1.83,2.30,5.39,7.16,0.63,1.95,4.43,1.77,3.45,2.34,2000
USC00117603,1.64,3.62,3.22,3.11,4.69,6.76,2.33,6.63,4.47,2.84,2.93,1.83,2000
USC00113384,1.32,2.54,0.99,5.11,3.81,5.96,3.20,2.49,4.77,1.84,2.07,2.32,2000
USC00117370,1.98,2.25,0.69,5.44,5.42,11.31,3.57,2.69,4.58,0.75,1.80,1.94,2000
USW00093822,0.54,1.27,2.80,1.94,1.35,7.46,3.16,3.33,2.92,2.56,2.99,0.92,2000
USW00014819,0.66,0.89,1.00,4.09,5.87,4.21,3.15,2.43,0.98,1.97,2.20,1.90,2000
USC00113738,1.76,1.28,1.59,4.65,6.48,7.87,4.26,1.67,5.31,1.21,3.93,2.56,2000
USC00114013,0.63,0.78,1.32,5.32,3.83,5.98,3.06,2.47,3.52,1.99,2.60,0.33,2000
USC00114198,1.27,2.01,1.22,2.21,4.25,4.53,5.70,2.86,3.68,2.79,2.89,1.86,2000
USC00115646,1.30,1.57,1.58,3.06,4.54,3.66,5.48,1.09,3.59,2.11,3.14,1.81,2000
USC00116849,1.36,0.76,1.06,5.19,6.55,6.72,3.31,3.19,4.29,2.06,3.91,1.80,2000
USC00116661,0.68,1.52,0.85,2.72,5.70,4.61,6.75,4.40,4.21,1.03,1.99,1.15,2000
USC00112348,1.75,2.82,1.29,5.12,4.97,9.23,8.00,3.01,4.29,0.92,2.19,1.87,2000
USC00113290,1.80,2.96,1.02,3.46,5.31,10.68,2.40,1.96,4.09,0.68,1.61,1.17,2000
USW00094846,1.36,1.97,1.19,5.15,4.01,4.33,3.58,2.26,3.60,1.12,2.71,2.12,2000
USC00113392,1.52,1.77,0.95,3.23,4.77,7.23,3.52,4.01,6.11,1.60,2.69,1.61,2000
USC00110868,0.98,1.74,1.13,3.54,3.28,6.31,3.28,3.52,3.59,1.77,2.75,1.97,2000
USC00115876,0.97,1.20,2.21,2.02,6.73,4.62,2.51,1.83,2.43,1.95,2.82,1.80,2000
USC00113774,1.14,1.94,1.36,1.92,3.11,6.41,4.65,3.02,3.35,2.71,3.64,1.71,2000
USC00118781,2.78,2.97,3.13,2.43,5.43,8.93,3.94,6.83,3.56,2.04,4.48,1.85,2000
USC00111491,1.55,3.49,1.87,1.99,5.00,7.91,3.09,3.59,2.30,0.67,3.41,2.76,2000
USC00111497,1.54,1.69,1.28,4.66,4.37,5.27,3.93,2.53,6.03,2.01,3.05,2.71,2000
USC00111329,1.23,3.17,1.70,5.43,5.05,8.41,6.36,7.56,5.97,6.88,3.76,2.25,2000
USC00112145,1.88,2.81,1.83,1.95,5.64,5.31,1.48,1.27,3.89,2.23,3.30,2.52,2000
USC00119221,1.44,0.99,1.13,5.10,5.05,6.82,4.13,2.61,4.74,1.67,3.99,2.41,2000
USC00110306,0.93,1.27,2.03,2.26,2.76,6.81,2.82,3.51,2.30,3.05,2.98,1.50,2000
USC00111160,1.72,3.23,2.23,2.04,5.25,8.10,6.56,6.13,2.37,2.18,3.70,1.01,2000
USC00119241,0.42,1.60,3.09,1.50,2.72,8.96,3.90,2.74,2.53,3.96,2.15,1.41,2000
USC00118293,0.97,3.16,0.85,3.26,6.67,6.27,3.32,3.16,6.80,1.06,1.61,1.78,2000
USC00111302,3.58,6.64,3.05,2.39,4.78,6.68,4.83,3.13,2.44,0.89,4.15,4.21,2000
USC00110583,1.38,1.94,1.06,2.79,6.42,9.17,4.30,4.87,10.66,1.08,1.83,2.15,2000
USC00117004,6.69,2.64,1.43,3.46,3.57,4.98,2.20,3.76,4.23,1.41,1.77,1.37,2000
USC00117551,0.73,1.96,2.71,3.10,5.28,4.15,5.27,3.59,2.60,1.98,2.22,1.44,2000
USC00113580,5.72,5.87,4.10,2.28,4.60,3.16,4.38,2.43,3.73,1.48,4.59,3.61,2000
USC00110803,1.38,1.00,1.65,3.87,4.48,6.43,4.70,1.42,2.52,2.54,3.48,2.08,2000
USC00114756,1.61,2.91,3.05,3.12,4.85,8.78,4.46,7.48,3.02,2.50,4.82,1.66,2000
USC00112048,1.52,1.44,0.98,3.76,6.04,7.69,4.03,2.61,7.07,1.35,3.46,2.30,2000
USC00118020,4.15,6.11,4.01,3.43,5.90,2.98,3.89,3.47,4.55,2.24,3.49,1.87,2000
USC00111436,2.06,2.84,1.68,3.33,4.09,10.43,6.00,7.85,6.79,4.95,4.78,1.84,2000
USC00112709,0.00,3.71,0.94,3.74,4.17,6.32,3.77,3.62,3.91,1.72,2.52,1.40,2000
USW00093810,2.22,4.63,3.14,1.87,4.83,11.13,2.25,5.20,3.02,1.26,3.50,2.49,2000
USC00111664,1.90,5.06,2.31,2.43,2.87,8.94,5.41,4.94,3.47,0.41,3.69,2.01,2000
