id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00122161,1.25,1.37,1.67,2.96,4.31,7.33,2.11,2.72,2.45,2.24,2.38,2.58,2000
USC00129243,1.26,1.82,1.41,3.02,5.06,6.69,1.86,3.56,4.47,1.86,3.05,2.75,2000
USC00121940,1.34,1.09,1.27,4.11,4.22,6.33,1.30,2.48,2.72,2.14,1.61,2.15,2000
USW00014835,0.94,2.07,1.26,1.13,6.70,4.99,4.21,1.61,2.44,1.45,3.22,1.39,2000
USC00122149,1.60,2.12,1.52,1.13,4.97,6.74,2.99,0.89,2.84,1.82,3.13,2.86,2000
USC00121628,1.64,4.36,2.99,3.12,2.87,6.95,1.94,4.37,4.29,4.16,3.84,3.67,2000
USC00125613,2.13,2.14,1.48,3.70,4.64,6.29,4.29,4.22,5.14,2.85,3.14,2.52,2000
USC00120177,1.44,2.56,1.63,4.88,4.64,4.85,3.87,3.39,4.59,2.36,2.12,2.64,2000
USC00122825,1.80,2.49,1.96,4.46,5.00,5.06,5.29,3.89,5.49,1.91,2.11,2.43,2000
USC00128732,0.94,3.50,1.70,3.58,4.92,7.87,6.45,3.06,5.32,3.78,3.54,1.83,2000
USC00124730,1.57,1.43,2.23,3.83,5.68,5.73,2.35,3.15,3.20,1.98,2.17,4.00,2000
USC00127959,1.68,4.20,2.58,2.67,3.65,4.96,5.83,8.22,7.74,5.11,2.91,5.59,2000
USC00124657,2.26,1.51,1.74,3.23,4.09,8.19,3.36,3.00,3.70,2.33,2.52,2.48,2000
USC00127069,1.54,2.06,1.64,3.64,4.67,5.41,4.07,3.66,3.43,1.74,1.00,2.43,2000
USC00127398,2.46,3.11,1.97,4.68,4.91,4.21,3.99,5.00,5.96,1.77,2.18,2.23,2000
USC00127935,4.87,6.03,2.93,5.30,3.88,5.61,3.99,4.85,4.10,3.15,4.31,4.19,2000
USC00124272,1.93,2.91,2.12,4.08,4.65,5.41,3.57,5.55,3.60,3.51,2.09,2.48,2000
USC00127724,6.47,7.69,3.88,2.53,3.97,6.66,2.80,6.71,3.71,1.25,4.71,4.19,2000
USC00121187,1.06,1.57,2.70,3.37,5.83,6.65,1.28,4.33,4.70,2.44,2.26,2.74,2000
USC00124715,2.02,2.28,1.36,1.17,5.25,8.09,2.61,2.80,3.33,1.88,3.53,2.04,2000
USC00122184,5.03,6.17,2.68,4.09,3.06,4.89,4.54,7.82,4.09,0.12,3.66,3.16,2000
USC00128967,6.53,5.85,2.74,2.38,3.39,8.83,4.53,2.99,3.96,1.18,3.31,9.18,2000
USC00125658,4.85,5.81,3.83,5.02,6.00,3.34,4.09,1.35,4.49,2.54,3.23,2.65,2000
USC00126164,1.95,2.27,1.91,3.84,4.76,5.39,5.18,3.24,4.65,2.38,2.70,2.45,2000
USC00121747,2.92,4.09,2.37,3.78,4.94,5.69,3.88,4.73,5.35,4.29,3.66,3.24,2000
USC00129240,1.29,1.67,1.29,2.78,5.94,6.38,3.15,5.13,5.70,2.39,3.51,1.83,2000
USC00120331,1.42,2.53,1.85,1.53,6.64,5.35,4.03,2.42,3.83,1.56,2.69,2.22,2000
USC00124181,0.91,2.02,1.67,1.79,4.31,9.03,3.33,3.28,3.63,1.86,1.97,3.40,2000
USC00125337,1.82,1.97,2.18,2.10,7.17,4.44,6.49,2.21,4.71,2.06,2.23,2.85,2000
USC00123091,1.97,3.37,2.32,4.34,5.63,5.43,5.48,4.43,6.32,5.03,2.73,3.75,2000
USW00003868,0.98,3.26,1.61,3.78,3.76,4.87,5.55,3.52,5.56,3.97,3.37,1.43,2000
USC00129511,1.17,1.28,1.63,2.94,3.48,6.84,2.41,3.29,2.80,2.09,2.90,2.43,2000
USC00124372,4.39,6.89,3.09,3.10,1.26,6.98,4.24,8.81,3.91,0.12,3.91,3.75,2000
USC00121869,2.24,5.54,2.45,3.87,5.41,7.62,7.63,6.11,4.72,2.54,2.10,1.30,2000
USC00122931,1.83,2.28,2.07,1.01,7.20,5.74,1.56,0.88,3.74,1.93,2.71,2.30,2000
USC00120852,5.75,7.91,3.70,2.46,3.85,7.49,4.87,6.24,4.93,0.91,4.09,4.15,2000
USC00120858,1.06,2.17,1.31,1.80,4.31,4.98,8.06,2.30,2.81,2.47,2.77,1.81,2000
USC00125485,4.87,6.23,3.36,2.26,2.66,6.61,3.36,6.69,4.28,0.74,3.65,4.43,2000
USC00124356,1.75,3.30,1.61,2.20,4.82,4.69,3.59,3.53,4.19,3.24,2.17,2.48,2000
USC00127999,1.85,2.82,2.13,4.41,4.78,5.33,2.65,4.17,5.37,5.40,3.47,2.90,2000
USC00127298,1.61,1.74,1.48,3.20,3.63,5.12,4.63,1.45,4.01,1.51,1.56,2.76,2000
USC00120784,2.87,4.35,1.21,3.77,4.08,5.54,2.85,4.35,9.40,5.82,3.50,3.63,2000
USC00127875,5.59,7.00,2.81,4.31,3.79,5.93,6.72,5.68,5.00,0.70,3.39,4.13,2000
USW00093819,2.07,2.87,1.64,3.80,5.00,4.55,2.96,4.26,4.82,3.08,2.67,2.76,2000
USW00093817,4.36,7.26,3.22,2.35,2.61,5.86,4.15,5.60,5.04,0.59,3.43,4.12,2000
USC00125174,1.17,1.29,1.83,4.14,3.74,9.14,2.79,3.76,2.11,2.98,2.15,2.12,2000
USC00123547,3.74,4.31,2.73,4.64,6.48,5.52,3.99,4.20,5.03,4.17,3.06,2.80,2000
USC00126801,1.42,2.80,1.41,1.78,6.43,5.64,2.96,3.26,4.08,1.86,3.28,1.93,2000
USC00129605,3.19,5.54,2.48,3.02,5.28,8.52,5.43,4.87,6.48,1.14,4.28,3.36,2000
USC00121303,1.26,2.24,1.61,3.01,4.81,6.16,2.34,4.61,4.73,2.10,3.17,1.06,2000
USC00125117,1.54,1.80,1.74,1.64,3.63,6.68,4.91,1.48,4.90,1.80,3.39,2.93,2000
USC00121417,1.49,2.07,1.83,1.89,3.70,7.81,5.76,1.25,3.25,2.15,3.06,2.19,2000
USC00124642,2.43,2.43,2.40,4.77,4.43,5.88,3.31,2.93,3.62,3.41,2.83,2.88,2000
USC00127482,1.81,1.52,2.16,3.18,4.97,6.30,3.46,5.03,4.37,1.86,3.11,2.71,2000
USC00125700,4.81,1.85,2.67,3.67,4.79,6.11,5.69,8.19,5.56,1.30,4.27,2.91,2000
USC00126023,1.85,2.65,2.30,3.58,4.93,5.68,3.93,4.49,5.38,2.04,2.33,2.33,2000
USC00124667,2.38,2.45,1.90,1.53,5.70,6.19,2.53,2.74,5.18,2.16,2.17,2.36,2000
USC00124662,2.02,2.33,2.11,1.01,6.51,6.35,2.64,2.23,4.93,2.24,2.32,2.90,2000
USC00124910,1.33,2.98,1.47,1.59,3.72,4.77,1.94,5.16,4.98,2.06,2.32,2.03,2000
USC00127646,6.70,3.29,2.46,4.55,5.19,6.36,2.68,3.77,4.11,3.95,3.09,3.03,2000
