id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00143545,0.52,2.65,6.08,1.65,4.20,9.53,4.72,0.00,1.04,4.27,1.89,0.57,2000
USC00146084,0.18,1.69,2.70,0.57,2.36,6.66,1.15,0.45,1.78,1.89,1.50,0.71,2000
USC00140810,0.50,2.69,5.15,0.88,7.74,10.19,4.38,0.00,1.69,5.12,1.40,1.04,2000
USC00148549,0.81,2.42,4.30,1.77,4.91,8.62,3.13,0.00,2.32,3.51,1.75,1.28,2000
USC00141395,1.01,2.27,4.51,1.41,4.99,8.00,2.30,0.00,0.34,5.87,1.34,1.41,2000
USC00147397,1.05,0.05,3.30,1.87,0.33,1.40,4.85,1.37,0.60,4.26,1.17,0.19,2000
USC00144812,0.46,2.66,4.69,0.39,4.35,11.97,2.85,0.00,1.86,8.64,1.50,1.06,2000
USC00141559,0.08,2.43,2.54,1.50,2.54,3.19,3.19,0.66,0.73,3.06,0.98,0.60,2000
USC00140548,0.90,1.33,5.09,1.48,10.11,8.22,6.41,0.00,1.24,6.67,2.02,1.71,2000
USW00003998,0.54,2.50,4.29,2.83,4.17,9.57,2.80,0.00,1.46,2.76,1.19,1.21,2000
USW00003997,0.26,1.97,2.57,0.94,0.81,5.15,3.11,0.51,2.41,3.85,2.87,0.56,2000
USC00145920,0.79,0.83,4.95,1.48,3.68,2.51,6.80,0.11,0.44,2.43,0.37,0.33,2000
USC00141239,0.50,2.77,4.97,0.65,3.85,6.91,3.95,0.37,1.18,5.61,3.52,0.85,2000
USC00140836,0.22,0.43,2.22,0.66,0.42,1.15,2.35,1.80,1.04,4.47,0.55,0.25,2000
USC00142574,0.55,2.90,3.42,2.28,2.24,5.70,3.13,0.34,0.87,2.65,0.76,1.20,2000
USC00141003,0.21,1.61,1.91,1.78,2.63,3.51,4.76,1.36,1.21,1.61,0.81,0.80,2000
USC00145906,0.08,0.86,2.03,0.87,1.52,1.47,1.95,1.11,1.19,3.73,0.84,0.00,2000
USC00146333,0.37,2.42,2.93,1.30,3.98,7.87,5.27,1.54,4.07,3.81,2.06,0.81,2000
USC00141452,0.82,2.04,5.85,1.28,2.74,2.98,6.65,0.01,0.43,6.66,0.76,0.64,2000
USC00141029,0.27,0.66,1.75,1.35,0.37,2.23,3.06,1.19,1.07,5.65,0.80,0.00,2000
USC00144178,0.74,1.68,5.38,1.89,4.59,6.13,4.16,0.14,0.55,4.46,0.44,0.73,2000
USC00146100,0.00,2.50,2.93,0.53,3.11,8.44,5.25,0.29,3.90,3.21,1.95,0.35,2000
USC00145039,0.86,2.23,3.40,1.67,2.60,3.60,3.63,0.09,1.13,4.48,0.70,0.67,2000
USC00144613,0.41,2.43,1.99,0.78,3.11,5.89,3.40,1.29,3.89,5.69,2.83,0.69,2000
USC00145692,0.48,1.27,4.44,2.47,2.08,1.28,6.53,0.15,0.36,3.35,0.78,0.30,2000
USC00143523,0.30,0.71,3.81,1.20,3.44,1.38,6.29,0.29,0.55,2.48,1.09,0.10,2000
USC00145363,0.22,2.40,4.33,1.47,2.39,5.24,1.78,0.38,0.61,4.67,0.73,0.81,2000
USC00141867,0.31,1.80,3.07,1.56,3.09,5.06,2.06,0.26,2.33,3.28,2.83,0.56,2000
USC00146808,0.41,0.02,3.52,0.90,1.30,1.61,1.28,1.03,0.00,3.98,0.11,0.07,2000
USC00147313,0.90,1.64,4.37,1.33,2.38,4.24,4.81,0.00,0.25,7.17,0.98,0.62,2000
