id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00152791,2.90,4.67,2.53,4.16,2.76,7.02,10.74,2.99,2.91,1.94,1.41,3.65,2000
USC00153112,2.26,6.46,4.13,5.05,6.08,2.96,3.86,0.81,0.00,0.00,3.72,3.77,2000
USC00154369,3.54,3.76,4.31,3.55,3.46,5.62,3.57,2.76,4.73,0.59,2.09,4.36,2000
USC00152409,3.67,4.23,3.48,3.81,3.02,3.82,4.54,3.40,2.81,1.91,2.33,4.31,2000
USC00157431,3.45,2.99,3.18,5.24,3.29,4.80,5.89,3.46,1.98,0.46,1.59,2.91,2000
USC00150397,4.05,3.67,3.57,4.55,3.63,3.00,2.59,4.33,4.25,0.19,3.63,4.93,2000
USC00155175,2.68,3.81,3.13,4.90,4.66,7.19,6.34,2.72,3.48,0.42,1.50,3.37,2000
USC00153929,4.43,4.16,3.40,4.48,3.83,5.26,6.94,4.37,3.16,0.59,3.31,3.60,2000
USC00157334,4.18,6.30,3.77,3.75,2.31,4.09,4.04,2.47,3.52,0.27,4.18,3.00,2000
USC00155694,3.55,8.33,5.44,6.74,11.30,3.60,1.64,2.40,4.02,0.81,3.91,4.41,2000
USC00150450,3.44,3.10,2.96,5.00,4.16,3.63,3.48,6.17,1.93,0.62,2.00,2.95,2000
USC00154755,3.34,2.74,6.49,3.74,4.79,3.74,6.17,2.37,2.32,1.39,3.24,3.28,2000
USC00156624,2.26,3.02,1.21,4.50,5.60,7.77,4.30,4.51,2.78,0.71,1.47,3.95,2000
USC00156136,1.70,3.12,2.45,6.57,5.40,6.05,6.80,4.91,1.82,1.23,1.02,1.89,2000
USC00153714,3.28,3.10,2.44,6.02,5.67,4.76,5.86,4.94,2.72,1.08,1.70,3.55,2000
USC00153712,1.22,4.08,2.35,6.41,5.52,5.65,3.77,5.63,1.77,1.08,1.46,3.43,2000
USC00155067,7.56,4.70,3.81,4.13,5.15,3.74,2.87,1.30,3.11,0.91,4.18,4.17,2000
USC00152775,2.61,6.91,3.63,3.67,3.75,4.64,7.81,4.71,6.43,0.94,2.25,4.02,2000
USC00150904,2.24,4.13,2.83,5.01,5.38,1.25,2.47,2.52,4.04,0.85,3.56,3.03,2000
USC00153194,3.27,6.55,3.66,3.18,2.92,3.66,4.66,5.14,6.72,0.73,2.36,4.37,2000
USC00158446,3.98,5.65,3.45,4.65,5.03,5.19,6.20,5.89,4.15,1.67,2.93,1.94,2000
USC00157510,3.06,4.16,3.30,5.69,13.46,4.78,5.90,3.61,1.93,0.17,2.45,3.95,2000
USC00151640,5.39,3.87,3.91,6.39,6.76,4.76,5.91,6.00,2.26,0.95,2.42,3.79,2000
USC00151345,3.86,5.88,2.97,4.17,3.39,5.85,5.77,8.44,7.33,0.69,2.63,4.14,2000
USC00156580,5.86,5.36,4.24,5.77,5.03,3.07,4.51,1.99,4.13,1.15,4.01,3.86,2000
USC00154208,3.90,4.04,4.76,5.27,7.27,3.68,4.70,2.99,2.50,1.17,4.26,9.80,2000
USC00155559,2.40,4.61,2.24,3.33,1.02,6.79,5.55,2.97,4.13,1.58,2.21,1.06,2000
USC00155097,2.76,3.80,3.82,5.55,5.63,2.70,5.66,2.47,3.19,0.69,4.09,2.67,2000
USC00153798,2.05,4.22,3.17,6.43,9.77,1.84,1.31,1.64,4.16,0.60,4.04,2.94,2000
USC00156170,3.37,7.08,3.57,4.20,3.26,3.09,4.75,4.19,5.50,1.00,2.17,3.20,2000
USC00154958,5.51,6.63,3.59,3.54,2.73,7.35,4.02,2.56,5.34,1.00,3.25,4.59,2000
USC00154955,4.15,6.39,3.54,3.51,3.65,4.39,2.04,4.54,4.11,0.15,4.19,6.65,2000
USC00153252,5.05,5.23,3.51,4.32,3.12,3.86,5.96,4.40,2.74,0.64,4.53,4.06,2000
USW00003849,3.27,3.51,2.54,5.21,3.10,2.92,4.74,3.59,2.05,1.06,2.03,4.60,2000
USC00156094,6.28,5.28,3.67,2.39,4.45,3.20,5.68,7.84,3.92,0.70,3.85,4.36,2000
USC00150875,3.41,4.53,3.15,3.83,2.85,3.63,3.38,5.02,2.26,0.16,2.90,3.97,2000
USC00150490,4.94,5.15,3.50,4.72,5.00,3.84,5.74,3.73,2.64,0.91,3.29,3.90,2000
USC00151998,3.31,7.53,3.22,2.92,3.16,3.97,4.47,3.00,6.16,0.49,2.30,3.81,2000
USC00156155,4.20,3.35,3.39,4.63,5.40,3.56,1.98,8.33,3.49,0.93,3.37,3.70,2000
USW00093814,4.45,5.72,3.34,4.28,5.21,4.74,3.53,2.90,4.79,1.37,2.34,3.19,2000
USC00153006,3.68,3.02,3.28,6.27,4.47,6.18,7.59,4.72,2.89,0.54,2.01,3.30,2000
USC00152512,4.54,5.85,3.19,4.85,4.20,5.86,6.56,7.63,2.59,0.32,3.07,5.01,2000
USC00150381,4.18,2.78,2.68,5.18,5.39,4.90,6.26,3.27,3.67,0.77,2.39,5.17,2000
USW00003889,2.63,3.53,1.95,4.97,4.33,6.81,5.69,4.38,4.92,1.07,1.47,4.36,2000
USW00093820,3.41,4.81,3.89,4.53,2.99,3.83,3.36,3.50,5.32,0.74,2.00,3.76,2000
USC00153391,2.27,4.66,2.76,3.85,4.19,5.78,8.04,3.37,3.73,1.00,1.60,3.65,2000
USC00153028,4.11,6.32,3.27,2.75,2.33,4.31,4.81,5.43,5.17,1.36,3.00,4.71,2000
USC00157677,4.05,3.43,3.19,5.21,5.57,5.94,3.57,3.25,2.28,0.32,3.00,4.15,2000
USC00157324,4.59,7.19,3.68,3.85,3.98,4.95,2.94,3.97,5.63,0.69,2.97,4.15,2000
USC00158714,3.10,6.47,3.13,2.88,3.65,4.87,2.34,4.65,3.53,0.90,2.22,2.79,2000
USC00152825,2.36,2.24,3.48,5.04,2.20,4.28,5.82,7.14,3.04,0.52,1.61,2.56,2000
USC00153994,2.90,5.41,3.13,5.31,10.75,2.06,2.87,4.33,3.35,0.94,4.37,2.50,2000
USC00151294,5.39,4.94,3.29,3.05,4.75,3.71,6.74,4.31,3.36,1.01,3.47,4.75,2000
USC00156012,2.57,5.21,3.12,4.12,3.49,4.79,6.56,4.32,4.75,0.47,1.68,3.49,2000
