id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00168861,3.72,0.81,2.84,2.82,0.03,6.51,0.69,2.94,5.20,0.00,9.76,4.03,2000
USC00163804,1.05,1.37,7.49,9.52,5.73,4.30,2.66,1.93,0.87,0.47,13.39,4.17,2000
USC00163800,1.79,0.73,1.76,2.65,1.85,10.85,2.30,1.97,1.20,2.62,12.59,2.39,2000
USC00163807,3.65,0.18,1.92,1.59,0.44,3.66,0.78,1.76,7.35,0.13,2.23,0.98,2000
USC00167729,0.50,0.35,4.48,4.82,4.20,2.95,2.35,1.32,3.04,1.45,12.15,3.54,2000
USC00167924,0.03,2.78,8.09,4.56,5.97,1.43,0.53,0.06,2.71,1.95,11.19,2.55,2000
USC00164030,3.72,0.44,4.06,3.72,1.21,4.76,2.16,4.50,2.82,0.54,11.44,4.11,2000
USC00164034,2.79,0.78,2.85,1.54,0.10,3.63,4.23,8.25,3.45,0.20,10.65,3.71,2000
USW00003996,2.78,1.30,8.64,6.39,2.72,3.76,2.17,1.07,3.63,0.57,6.48,4.58,2000
USC00163829,2.32,0.28,2.69,0.56,0.74,10.40,2.27,4.34,7.23,1.81,12.95,4.44,2000
USC00168108,0.20,1.00,1.70,0.50,0.58,5.78,2.37,3.21,4.50,0.00,6.10,3.80,2000
USC00167304,3.70,1.11,5.54,2.79,1.55,4.06,6.02,4.05,8.01,1.00,10.46,3.24,2000
USW00013976,2.85,1.06,3.27,1.30,1.69,6.96,6.97,2.38,3.51,1.04,11.57,3.25,2000
USW00013970,2.78,0.64,3.36,1.56,1.15,4.79,3.61,2.69,3.04,1.07,10.71,2.73,2000
USC00161941,1.70,0.64,7.40,8.30,6.49,4.84,4.52,0.60,1.01,1.41,11.65,4.21,2000
USC00161232,1.32,0.69,5.91,7.36,5.15,6.71,1.39,1.70,1.25,1.17,11.61,3.42,2000
USC00161235,1.08,1.05,5.97,7.26,5.38,4.65,5.28,1.05,3.00,2.15,12.54,3.58,2000
USC00160548,2.76,0.88,3.14,2.15,2.39,1.97,5.73,3.60,4.01,0.48,10.82,3.82,2000
USC00160016,3.01,0.75,2.53,2.33,0.98,3.44,3.44,2.76,4.81,0.66,10.81,3.65,2000
USC00160546,2.99,1.11,3.90,1.57,7.98,4.95,6.52,3.28,3.03,0.77,10.89,3.69,2000
USC00163165,3.58,0.62,3.54,3.09,0.14,6.36,1.67,4.10,3.89,0.22,11.38,4.72,2000
USC00164674,2.31,0.77,1.77,0.63,0.44,6.41,5.55,3.95,5.63,0.96,13.95,2.98,2000
USC00167096,2.47,0.93,5.17,0.80,0.48,5.52,4.02,3.19,11.58,1.62,13.71,3.10,2000
USC00165783,2.90,0.50,4.01,1.54,0.16,4.50,3.15,3.84,7.04,0.94,10.93,2.32,2000
USW00013957,2.60,2.31,7.90,5.67,10.76,7.32,1.05,0.00,1.13,1.65,9.93,7.57,2000
USW00093915,1.13,0.54,6.10,6.58,5.13,3.83,0.52,0.00,0.40,1.46,7.76,3.28,2000
USC00160205,2.85,1.49,3.54,2.82,1.75,5.67,5.52,4.17,6.15,0.75,8.78,3.66,2000
USW00053917,2.76,1.55,2.14,1.52,0.06,8.22,3.38,3.11,6.46,6.62,11.09,2.68,2000
USC00163313,4.67,0.59,2.56,0.49,0.09,9.33,7.66,3.25,3.73,1.27,12.27,2.69,2000
USC00160565,2.00,0.58,4.41,1.01,0.28,4.20,6.18,3.30,3.28,1.52,12.72,2.68,2000
USC00166431,0.97,0.52,2.25,4.98,8.41,2.94,5.88,1.98,1.22,1.62,12.35,3.96,2000
USC00164696,1.36,0.85,8.16,6.11,3.60,4.11,4.14,0.53,2.30,2.18,8.06,3.11,2000
USC00164050,1.72,1.83,6.71,7.76,6.44,2.64,4.83,0.33,0.81,0.43,12.90,4.39,2000
USC00163331,3.33,0.87,3.93,1.97,0.20,6.79,2.97,4.38,4.92,0.74,10.30,3.69,2000
USC00164732,1.93,1.59,7.94,6.65,5.75,4.64,3.23,0.99,1.83,0.50,12.06,5.13,2000
USC00168163,2.99,0.99,6.74,7.65,2.14,2.75,1.78,2.18,2.58,1.00,11.06,5.24,2000
USC00162212,1.33,0.56,2.24,2.12,4.13,7.28,3.20,1.90,3.51,3.08,10.87,2.30,2000
USC00165076,2.39,0.48,1.59,5.72,7.10,4.67,2.71,2.39,2.04,1.75,13.78,1.72,2000
USC00165074,2.04,0.53,1.83,4.67,7.70,3.87,4.21,0.13,2.27,0.08,11.41,2.29,2000
USC00167366,2.29,1.15,2.82,0.94,0.05,4.30,1.17,5.61,7.03,0.71,12.70,3.43,2000
USC00165296,1.80,0.90,1.46,1.33,1.61,3.20,5.49,2.68,5.61,0.67,14.64,2.43,2000
USW00053905,2.60,1.56,8.29,5.11,7.73,3.08,1.78,0.12,1.74,2.19,10.37,8.01,2000
USC00164355,3.10,1.90,5.17,9.71,10.34,6.80,1.91,0.06,6.85,1.08,11.30,9.50,2000
USC00161292,2.80,0.55,4.05,0.95,0.93,5.95,2.40,6.61,15.00,0.20,7.71,1.89,2000
USC00169369,0.75,0.61,3.84,6.52,8.92,5.28,2.69,0.70,2.84,2.95,12.48,2.99,2000
USC00168181,2.48,0.40,3.04,1.21,1.64,6.05,8.22,4.22,9.81,0.84,17.52,2.99,2000
