id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00198793,3.17,4.01,4.10,5.96,4.24,8.25,4.78,5.04,2.89,2.19,2.90,3.72,2000
USC00190408,2.82,3.31,4.26,6.89,4.23,6.51,4.91,3.57,3.97,2.48,2.88,4.12,2000
USW00004780,3.28,3.48,4.19,4.50,3.56,6.17,4.93,2.13,3.20,2.43,3.71,3.39,2000
USC00194711,4.24,4.83,6.32,6.69,4.43,3.39,4.60,3.16,3.88,1.88,4.74,4.28,2000
USC00191821,2.85,2.65,2.71,3.85,3.73,9.63,5.14,4.38,5.20,2.69,2.28,3.69,2000
USC00193401,3.35,2.69,4.14,6.30,4.14,6.24,4.19,5.08,2.72,2.12,3.00,3.92,2000
USC00193405,3.25,3.09,4.06,6.25,4.61,6.86,4.54,5.69,3.15,2.00,2.90,3.38,2000
USC00193890,3.87,3.35,4.52,6.88,2.94,6.67,4.94,1.78,4.52,3.54,4.87,5.72,2000
USC00194502,3.39,2.94,3.90,6.56,2.70,4.50,5.99,2.72,2.52,4.35,6.00,4.39,2000
USC00192451,3.94,3.63,6.60,7.34,5.34,2.88,3.78,3.24,3.02,2.67,3.24,4.06,2000
USC00194580,3.43,3.39,4.72,6.57,3.74,5.40,4.57,2.45,2.90,2.63,4.74,4.61,2000
USC00195984,4.76,3.78,5.31,6.75,4.85,3.94,3.46,2.99,3.41,1.87,4.69,5.90,2000
USC00198367,3.83,3.69,5.54,6.38,3.41,4.08,3.52,2.82,3.21,1.59,3.40,3.91,2000
USW00014775,1.78,2.81,3.02,3.83,3.62,9.40,6.10,2.46,2.85,2.08,2.89,3.19,2000
USC00193876,2.92,1.28,1.72,3.74,2.07,5.32,6.93,2.58,4.73,3.50,5.22,3.35,2000
USC00198757,3.82,3.28,4.91,5.83,3.41,6.13,3.41,2.34,3.30,2.71,4.15,4.91,2000
USC00194131,3.05,2.92,3.70,4.67,5.50,8.54,5.98,4.24,5.38,2.61,2.27,4.63,2000
USW00014756,3.21,1.97,4.47,4.71,2.20,2.57,4.17,4.06,3.68,2.41,2.40,2.66,2000
USW00054768,2.82,2.45,3.72,4.29,5.16,9.70,3.90,6.19,2.83,2.59,2.16,4.27,2000
USW00054769,3.94,4.00,5.39,7.91,3.36,4.09,4.40,2.79,3.07,3.78,3.54,3.81,2000
USC00190860,3.86,3.77,4.81,6.98,3.53,4.73,4.77,2.64,3.14,2.25,3.70,4.49,2000
USC00190213,3.57,2.34,4.25,5.10,4.87,8.44,7.01,4.34,4.36,2.06,2.58,4.27,2000
USC00193505,3.43,4.06,4.04,7.09,3.72,5.96,6.51,2.34,3.34,3.48,4.80,5.00,2000
USC00190535,3.43,3.78,4.10,6.17,3.29,4.74,3.95,2.09,3.07,3.26,4.77,5.17,2000
