id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00187272,2.51,2.27,3.72,6.41,2.26,4.33,4.35,4.71,5.31,0.04,1.67,2.14,2000
USC00181530,3.07,3.27,5.62,4.85,5.31,7.38,5.37,6.71,4.75,0.87,2.28,2.98,2000
USC00188000,4.36,1.99,6.78,4.99,2.00,5.61,5.84,4.24,5.67,0.15,2.05,1.60,2000
USC00183415,1.65,3.78,1.89,4.07,4.52,3.43,2.67,5.41,4.80,0.78,2.17,1.64,2000
USC00187705,3.63,2.23,3.67,4.02,2.32,3.62,5.38,3.05,4.80,0.12,1.74,2.10,2000
USC00186350,3.82,1.96,4.65,4.80,2.77,4.48,4.77,4.39,3.76,0.00,2.61,3.43,2000
USC00185111,3.37,2.28,4.49,4.57,3.25,6.56,5.13,3.72,4.92,0.16,1.61,3.40,2000
USW00093706,1.53,2.33,3.33,3.16,5.22,5.19,3.39,2.46,2.85,0.61,1.87,2.00,2000
USW00093720,4.09,2.17,6.22,4.26,2.67,7.34,6.15,4.44,4.36,0.13,2.46,2.05,2000
USC00187330,2.90,1.89,6.65,4.50,2.60,5.88,6.67,3.61,3.38,0.00,1.63,0.95,2000
USC00187806,4.17,1.73,5.56,4.05,2.30,4.76,9.26,3.43,4.58,0.07,2.73,2.28,2000
USC00188207,2.43,1.81,4.39,3.43,2.17,6.21,7.71,2.70,6.09,0.33,1.92,2.51,2000
USC00180335,4.04,3.51,3.76,3.89,2.84,2.06,5.92,2.92,4.92,0.00,1.15,2.56,2000
USC00183348,2.74,1.54,3.83,4.46,2.57,4.78,4.31,3.56,7.70,0.27,1.92,3.63,2000
USW00093786,4.06,2.07,6.01,3.70,2.14,5.49,10.73,3.63,4.69,0.22,1.17,1.52,2000
USW00093784,3.41,2.18,4.03,5.11,1.21,2.71,7.57,3.20,5.44,0.13,1.98,2.45,2000
USC00189070,3.59,2.26,4.33,4.46,3.34,4.97,7.41,4.06,6.65,0.10,1.86,3.11,2000
USC00185934,3.06,2.55,5.03,4.21,4.39,4.19,4.58,1.71,6.57,0.37,1.74,3.53,2000
USC00186620,2.32,5.00,3.03,3.45,4.48,5.72,5.52,3.65,4.10,0.97,2.58,2.06,2000
USC00182906,3.19,2.67,4.59,4.27,3.99,4.31,6.63,2.83,6.16,0.63,2.42,2.33,2000
USC00182336,3.49,3.17,4.72,4.45,2.91,4.57,4.66,6.67,6.46,0.42,2.06,2.98,2000
USC00183675,3.94,1.97,3.99,3.54,2.87,5.53,6.03,3.25,3.42,0.12,1.86,2.81,2000
USC00180193,3.30,2.09,5.86,5.40,3.91,5.02,8.79,6.24,8.54,0.26,1.83,3.76,2000
USC00181750,3.56,2.43,5.95,5.20,3.24,4.29,7.70,2.95,5.31,0.31,1.93,3.32,2000
USC00185865,3.90,1.56,4.64,4.25,2.98,4.08,9.44,5.35,5.31,0.04,2.62,4.58,2000
USC00189140,2.31,0.85,6.50,2.96,3.03,8.63,6.85,4.61,3.36,0.08,2.88,4.04,2000
USC00185985,1.17,0.71,6.44,1.79,2.25,4.13,3.57,4.34,5.11,0.65,1.02,2.04,2000
USC00180700,3.94,2.15,3.86,3.80,2.41,4.99,6.15,3.68,5.91,0.15,1.32,2.63,2000
USW00093721,3.64,2.01,4.35,5.07,2.82,5.54,5.65,3.19,5.55,0.08,1.73,2.31,2000
USW00013701,1.70,0.82,6.15,2.90,1.26,3.26,2.59,3.89,3.91,0.04,1.79,3.36,2000
USC00182282,1.52,3.10,2.71,3.48,3.97,2.65,3.26,5.42,6.28,0.79,2.17,1.92,2000
USC00188380,4.09,1.94,7.59,4.35,2.51,6.45,5.44,4.64,3.87,0.01,1.80,2.27,2000
USW00013721,1.98,2.30,3.98,1.97,3.75,4.37,5.57,4.85,1.61,0.81,0.22,2.93,2001
USC00187272,2.69,3.43,4.81,2.10,7.19,5.63,4.31,4.59,2.78,1.39,1.07,1.99,2001
USC00181530,2.64,1.80,5.12,3.02,2.64,2.28,1.15,3.60,3.87,0.91,2.09,1.69,2001
USC00188065,2.07,1.43,3.78,2.67,4.64,7.62,4.41,3.12,1.80,0.73,0.90,1.80,2001
USC00188000,2.92,2.50,7.03,2.10,4.41,3.59,5.08,8.11,2.00,1.24,0.10,2.02,2001
USC00183415,1.94,1.07,4.46,2.70,6.52,6.66,4.22,4.91,1.50,1.25,1.46,2.08,2001
USC00187705,2.76,2.27,4.06,1.98,4.93,5.68,4.00,5.45,2.21,0.74,1.29,1.78,2001
USC00182325,2.83,2.32,4.90,2.11,5.87,4.94,5.74,10.34,4.15,1.00,1.21,1.70,2001
USC00185111,2.69,2.30,4.22,2.03,4.43,7.69,3.47,5.24,3.29,0.93,1.34,1.96,2001
USW00093706,1.76,0.93,3.04,2.57,2.07,3.33,1.46,1.48,1.70,0.69,0.98,1.51,2001
USC00180700,2.18,1.91,3.69,1.87,5.07,5.29,7.17,4.09,3.43,1.00,0.65,1.46,2001
USW00093720,3.15,2.63,6.36,2.33,4.48,4.18,5.04,6.01,1.71,1.33,0.09,2.20,2001
USC00187330,2.42,2.23,5.74,3.07,4.22,2.41,4.92,8.59,2.04,1.49,0.05,1.16,2001
USC00187806,3.18,2.68,5.60,1.84,4.61,5.24,4.70,6.61,1.87,0.96,0.40,1.90,2001
USC00188207,2.81,1.20,4.84,1.87,2.32,5.68,1.78,1.17,2.76,0.75,1.72,1.56,2001
USC00180335,2.01,2.78,4.82,2.80,2.64,2.82,4.07,3.51,1.96,0.48,0.00,2.56,2001
USW00093786,2.13,2.29,3.18,2.11,3.55,2.99,4.37,3.61,2.17,0.56,0.17,2.33,2001
USW00093784,2.33,2.33,4.75,1.68,5.39,4.24,2.24,3.24,1.88,0.71,2.50,1.74,2001
USC00182060,2.89,1.50,6.33,2.31,4.49,5.83,0.80,1.91,3.39,0.92,1.33,1.76,2001
USC00189070,2.73,2.18,4.87,1.65,4.54,3.93,6.01,3.26,2.04,0.70,0.78,1.76,2001
USC00185934,3.13,1.78,4.78,2.38,4.24,3.30,1.49,2.11,4.65,1.01,1.14,1.81,2001
USC00186620,2.85,2.09,4.53,2.78,4.76,4.97,9.25,2.55,1.86,1.89,1.26,3.11,2001
USC00182906,3.50,1.34,5.79,2.64,2.76,1.80,1.15,1.92,4.59,0.86,1.94,1.89,2001
USC00182336,3.08,2.04,4.67,2.08,3.86,5.04,2.41,4.20,4.75,1.34,2.05,1.77,2001
USC00183675,2.74,2.28,4.35,1.67,4.96,6.09,5.43,3.73,2.28,0.88,0.81,1.35,2001
USC00180193,3.38,2.32,7.39,1.89,4.79,6.74,7.72,2.96,1.95,0.82,1.90,0.93,2001
USC00181750,3.26,3.37,5.78,1.97,5.78,3.34,6.22,3.47,3.18,0.80,1.36,1.52,2001
USC00185865,2.86,2.30,5.00,1.61,6.73,5.27,7.74,5.01,2.54,0.88,0.97,1.98,2001
USC00189140,3.83,1.40,5.55,1.24,5.73,6.19,5.45,6.32,1.30,1.06,0.24,2.04,2001
USC00183348,8.41,1.88,3.93,1.78,3.32,3.88,2.30,1.37,4.07,0.73,1.53,1.68,2001
USW00093721,2.68,2.35,4.77,1.33,5.34,3.59,3.85,5.74,1.43,0.78,1.02,1.74,2001
