id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00200128,2.83,2.56,1.35,5.17,10.95,3.14,5.02,2.60,7.20,1.89,5.15,7.48,2000
USC00208184,1.86,1.43,2.04,4.22,6.94,6.07,5.88,1.73,4.14,2.28,4.00,4.03,2000
USC00201476,1.36,1.20,1.26,3.37,7.13,2.41,2.80,2.44,2.20,2.12,3.05,3.64,2000
USC00208920,3.48,0.87,3.39,1.42,0.96,3.65,1.57,0.59,3.40,1.17,2.41,2.20,2000
USW00014833,0.98,1.06,1.07,3.77,6.93,5.93,2.31,5.26,2.40,3.03,1.74,1.68,2000
USW00014838,1.53,1.25,2.52,0.59,1.60,2.39,1.51,1.90,1.13,1.97,2.71,1.86,2000
USC00206220,2.50,0.96,2.75,1.51,1.33,3.82,1.65,1.46,1.23,0.98,2.98,3.57,2000
USC00207280,0.91,1.32,1.01,2.40,8.40,2.65,2.32,2.66,7.28,1.70,2.13,2.44,2000
USC00205567,1.00,1.22,2.08,4.01,6.34,2.17,2.94,2.13,5.65,1.66,3.97,0.54,2000
USW00014814,1.79,2.28,0.74,2.21,4.47,2.64,0.94,1.41,3.35,0.82,2.98,2.20,2000
USW00014815,0.74,0.99,1.38,3.20,7.20,3.38,2.61,2.96,3.73,3.31,2.82,1.22,2000
USC00207515,0.90,1.02,2.22,0.99,1.09,4.27,2.26,0.46,4.69,1.53,2.24,0.06,2000
USW00094860,0.99,1.56,1.31,4.35,9.59,4.97,4.20,2.39,6.44,1.78,3.48,2.09,2000
USC00207094,1.70,1.32,0.75,0.49,2.93,3.19,1.54,4.19,1.81,0.59,2.72,2.57,2000
USC00208043,5.32,1.48,3.68,1.74,0.98,3.98,1.44,0.48,4.02,1.91,3.10,2.84,2000
USC00205065,1.58,1.85,2.06,1.37,5.13,1.96,6.63,4.22,3.86,1.35,4.10,2.36,2000
USC00201492,1.79,1.13,1.25,1.72,2.02,3.35,2.18,2.84,1.94,0.91,2.36,1.97,2000
USC00203969,1.43,1.32,1.54,2.90,7.56,6.22,1.84,2.78,3.82,2.05,1.89,2.51,2000
USW00094849,1.70,2.05,0.93,1.66,3.82,2.75,1.35,1.39,3.61,0.87,3.22,0.68,2000
USW00094847,1.30,0.84,1.56,4.35,5.12,4.91,5.40,4.63,6.71,3.06,1.69,2.63,2000
USC00206300,1.20,1.48,0.98,3.14,7.04,2.06,3.72,2.08,5.92,1.50,2.19,3.02,2000
USW00014853,0.89,0.67,0.90,2.91,4.55,4.11,2.48,4.12,5.69,2.74,1.43,1.42,2000
USW00014850,1.33,0.85,1.31,1.15,2.98,3.07,3.44,3.67,6.32,1.15,3.62,0.86,2000
USW00014858,2.28,0.60,2.59,1.64,1.23,2.19,1.38,0.98,1.15,1.48,1.67,0.09,2000
USW00014859,2.34,0.52,1.31,0.67,1.31,3.91,3.71,0.12,2.89,2.36,2.39,3.46,2000
USC00202094,1.96,0.85,1.26,0.68,2.40,3.80,1.06,1.60,1.72,1.33,2.41,1.83,2000
USC00203947,1.21,1.04,1.05,3.57,5.80,5.29,4.41,4.77,4.50,2.26,1.78,2.66,2000
USC00205452,2.24,0.82,1.11,2.76,5.56,6.28,4.62,3.60,4.74,0.47,2.02,4.18,2000
USC00200718,1.99,2.08,4.29,1.78,1.69,4.27,5.75,2.68,2.61,2.30,5.23,5.49,2000
USC00206012,1.24,0.96,0.63,1.20,3.29,2.66,2.09,2.57,6.28,1.26,4.01,1.76,2000
USC00205434,1.18,2.38,1.16,3.15,6.29,3.18,1.93,4.53,3.34,1.91,2.64,2.34,2000
USC00208800,1.21,1.62,1.29,2.22,5.81,3.69,2.92,4.00,1.94,0.94,3.15,1.94,2000
USW00094889,1.02,0.80,0.98,2.49,4.15,3.63,3.99,4.70,3.33,2.79,1.39,1.72,2000
USC00207812,0.94,1.22,2.37,1.68,1.04,7.30,5.27,1.90,3.59,1.30,1.73,0.95,2000
USC00204954,0.54,1.21,2.65,1.88,5.95,1.92,4.58,2.36,4.26,1.37,4.93,1.89,2000
