id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00218419,0.97,1.05,2.14,1.26,3.02,3.74,2.61,3.06,2.50,1.48,5.33,0.60,2000
USC00213311,0.46,1.42,0.60,1.50,4.29,3.07,3.64,0.47,0.48,3.25,3.15,0.61,2000
USC00211771,0.55,0.37,1.57,2.01,1.66,4.09,4.13,4.57,3.48,2.81,1.57,0.80,2000
USC00212142,0.62,0.71,2.13,2.23,3.53,6.84,2.70,2.29,3.27,2.46,3.88,1.22,2000
USC00215887,0.77,1.35,0.87,0.76,8.49,4.34,4.18,5.85,0.29,0.79,3.67,1.06,2000
USC00218450,0.67,1.04,1.11,1.37,3.94,4.06,6.30,3.52,3.82,1.16,3.54,0.82,2000
USW00014926,0.43,0.82,1.61,0.98,2.97,3.10,3.24,1.20,0.93,1.60,3.15,0.28,2000
USC00217460,0.30,1.00,2.39,1.56,3.20,4.60,1.37,7.78,1.23,2.52,2.87,0.59,2000
USC00214918,1.63,0.79,0.82,2.69,2.72,5.91,1.34,6.30,2.87,0.58,4.53,2.41,2000
USC00214008,0.50,0.19,0.37,1.29,2.31,4.68,2.26,4.01,1.47,1.91,2.15,0.72,2000
USC00211630,0.63,1.35,2.46,1.26,3.26,4.02,2.26,5.76,1.64,2.78,4.72,0.87,2000
USC00210852,2.60,0.73,0.33,1.62,8.25,5.17,4.10,2.88,0.55,0.76,1.60,0.00,2000
USC00213174,0.32,1.18,1.06,0.81,3.19,4.00,5.16,2.05,1.14,1.44,4.46,0.39,2000
USC00218477,0.80,1.07,0.99,1.66,3.90,4.23,5.17,4.00,3.50,1.28,3.68,0.98,2000
USC00215638,0.78,1.36,1.09,1.45,3.39,3.98,4.41,1.63,1.80,1.54,3.41,0.87,2000
USC00211840,0.79,1.36,1.55,1.74,3.75,4.13,2.10,4.64,2.32,3.43,2.12,0.57,2000
USC00219046,1.20,1.18,1.46,1.35,7.33,6.00,5.85,5.75,0.89,1.15,3.27,2.15,2000
USC00215615,0.40,1.63,1.66,0.64,2.13,3.87,6.24,1.11,0.78,2.06,4.73,2.20,2000
USC00212645,0.74,0.64,1.31,1.18,2.79,4.15,3.00,6.21,1.58,3.20,2.09,0.55,2000
USC00214563,1.27,0.98,1.61,0.70,8.04,10.09,4.51,4.54,1.34,0.70,2.94,2.08,2000
USC00218254,0.00,0.25,0.80,1.17,2.09,5.63,1.65,4.46,3.00,1.23,3.44,0.00,2000
USC00217405,0.68,1.02,1.64,1.03,8.20,6.12,4.35,3.85,0.48,0.51,3.73,2.19,2000
USC00219067,1.69,0.54,0.85,1.20,4.39,8.78,3.45,3.73,2.43,0.78,1.57,1.92,2000
USC00218700,0.30,0.28,0.86,1.47,2.25,4.41,2.71,6.06,2.06,1.11,3.18,0.37,2000
USC00214546,0.37,1.38,0.53,1.31,6.52,2.35,4.70,3.58,0.61,2.16,2.41,0.75,2000
USC00217157,0.52,1.63,1.07,0.89,3.71,4.88,5.96,1.39,0.45,1.58,4.65,0.72,2000
USC00215482,0.44,0.71,0.43,1.54,4.47,3.03,5.72,1.02,0.35,1.58,2.02,0.19,2000
USC00219004,1.08,1.17,1.05,0.90,3.32,4.33,4.30,1.33,0.50,1.74,4.19,0.67,2000
