id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00235207,8.11,4.14,7.68,1.53,8.68,3.30,1.69,2.22,2.25,0.64,6.88,4.29,2000
USC00231340,0.62,1.83,1.62,0.99,2.30,5.20,3.42,3.33,2.15,3.54,1.32,0.75,2000
USC00235834,2.29,1.96,2.13,0.38,1.66,5.47,6.09,1.44,3.87,2.51,3.76,1.70,2000
USC00235027,1.25,2.67,4.65,0.46,5.72,6.47,6.31,0.00,3.59,3.97,2.85,1.44,2000
USC00235541,0.73,3.20,2.76,0.64,4.10,7.51,3.13,8.54,1.97,3.78,1.56,1.34,2000
USC00238051,0.73,2.18,1.59,1.50,2.59,8.42,2.29,4.07,3.15,2.26,3.01,1.08,2000
USW00013993,0.07,1.65,1.72,2.16,2.05,5.33,4.66,4.00,3.57,2.60,2.34,0.52,2000
USW00003994,0.79,3.60,2.26,0.82,4.35,7.87,5.89,2.49,3.09,4.90,1.43,0.66,2000
USC00236045,5.96,4.81,4.05,3.91,8.51,4.61,1.86,0.92,4.52,0.52,4.65,2.19,2000
USC00235227,2.07,1.87,2.68,0.35,2.05,6.15,4.06,0.40,3.60,3.15,5.03,1.58,2000
USC00231145,1.04,2.13,2.43,1.52,3.70,10.76,2.41,0.61,2.25,3.84,2.16,0.21,2000
USC00238444,0.43,2.75,0.80,1.86,3.52,9.06,3.78,3.39,4.26,1.85,1.19,1.21,2000
USC00238043,1.23,1.47,2.78,0.69,4.17,6.67,2.95,2.56,1.49,2.96,2.90,0.00,2000
USC00236866,0.54,1.58,0.39,2.09,2.15,10.38,3.18,0.97,3.71,2.29,0.89,0.14,2000
USC00237506,1.81,2.22,1.81,0.50,1.57,6.24,3.42,4.74,1.89,1.98,3.46,0.89,2000
USC00231275,0.36,2.48,2.36,1.41,3.25,6.46,2.63,4.24,2.79,2.24,2.10,0.90,2000
USC00236678,1.23,1.98,3.13,1.24,5.28,8.87,3.80,0.00,3.01,2.76,4.23,2.18,2000
USC00236804,4.73,4.82,4.76,3.70,7.80,4.71,2.96,2.11,2.41,0.74,4.81,1.08,2000
USC00231600,0.63,2.58,3.71,1.61,2.67,5.65,3.44,6.30,2.02,3.19,1.72,0.84,2000
USC00237514,0.36,2.72,1.67,1.51,3.15,6.28,5.43,6.76,2.50,3.39,1.15,0.42,2000
USC00238171,1.70,2.84,2.21,1.62,5.56,5.82,4.23,4.35,2.67,4.14,2.92,2.33,2000
USC00236826,0.30,2.18,2.58,1.35,2.25,5.30,3.24,3.26,1.77,2.54,2.35,2.45,2000
USC00234544,0.79,1.92,1.89,1.29,2.26,6.40,2.61,5.14,3.03,1.95,1.76,0.43,2000
USC00234019,2.48,2.26,2.51,0.65,2.65,6.19,5.80,2.09,1.82,2.09,2.69,2.14,2000
USC00234705,1.45,2.43,2.98,0.89,6.26,8.53,6.43,0.02,3.45,4.56,2.44,0.22,2000
USC00231364,3.11,3.50,4.83,3.13,6.44,4.15,1.63,0.62,1.46,1.34,4.48,3.86,2000
USC00230143,0.34,1.50,1.50,1.75,3.26,6.74,5.38,2.99,3.63,2.37,2.38,0.98,2000
USC00235098,0.97,2.33,2.91,2.22,3.34,10.97,4.93,3.33,1.65,3.14,1.87,1.92,2000
USC00234271,1.09,3.57,1.71,0.71,7.84,5.86,3.81,6.15,3.34,3.32,2.18,0.91,2000
USW00013991,0.65,2.39,2.27,0.58,3.87,8.15,3.07,3.74,2.60,4.82,1.57,0.17,2000
USW00013997,1.06,1.96,2.31,1.28,3.52,6.04,1.60,2.83,1.83,2.59,2.15,0.66,2000
USW00013994,1.24,3.11,1.88,1.84,5.84,8.21,2.25,3.65,2.62,2.60,2.79,1.35,2000
USW00013995,1.17,1.69,2.93,1.06,3.46,8.41,6.77,0.34,2.26,2.46,3.24,1.60,2000
USC00234919,1.78,2.00,2.82,0.54,1.64,5.04,4.54,0.95,2.84,2.56,3.24,2.40,2000
USW00053901,1.83,3.97,3.25,0.76,6.20,5.39,3.34,0.37,3.50,2.73,4.06,1.96,2000
USW00053904,0.98,2.11,1.49,1.48,2.89,8.21,2.69,5.10,2.06,2.57,2.36,0.59,2000
USC00230164,0.89,1.51,3.13,2.11,6.79,8.18,3.50,0.00,3.44,2.63,4.79,1.65,2000
USC00236402,0.52,2.89,2.59,1.79,3.47,9.17,4.30,0.06,2.69,1.41,0.99,1.75,2000
