id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00227172,4.16,0.76,4.28,6.85,1.05,3.64,1.29,3.42,2.01,1.65,10.95,4.41,2000
USC00223107,3.50,0.94,5.25,5.89,2.09,3.61,0.74,3.58,2.10,1.70,6.41,4.05,2000
USC00229173,3.50,2.90,4.81,12.40,1.01,4.57,3.18,0.33,2.82,0.35,10.16,5.22,2000
USC00225611,2.88,1.48,5.47,4.85,1.50,5.36,2.08,4.34,6.00,1.24,11.10,4.93,2000
USC00229639,1.92,1.30,4.89,2.92,0.74,2.11,1.04,5.02,3.28,0.20,11.15,4.43,2000
USC00227111,2.81,3.92,6.27,9.88,1.36,4.78,2.90,2.11,1.62,0.44,9.19,4.30,2000
USC00225070,3.15,1.10,4.58,4.60,2.33,2.98,3.66,3.73,3.04,1.35,8.35,2.20,2000
USW00013978,2.95,2.37,6.23,10.05,1.67,4.29,0.47,0.21,1.18,0.25,8.20,4.95,2000
USC00221174,3.38,1.10,6.49,3.26,0.48,4.99,2.21,4.09,1.38,1.20,8.22,4.86,2000
USC00229400,3.99,2.77,5.31,8.43,2.10,4.77,3.35,0.09,0.89,0.55,10.63,5.05,2000
USC00229157,2.75,0.86,4.84,1.71,1.72,2.60,5.85,5.33,9.54,1.08,10.66,3.50,2000
USC00223920,1.84,0.96,5.29,3.70,3.59,7.01,4.86,1.31,2.90,1.49,8.96,4.23,2000
USC00228413,3.57,0.96,3.04,2.79,1.31,3.87,2.54,3.42,7.73,0.04,12.37,2.81,2000
USC00227132,2.34,0.72,5.88,7.39,3.88,2.86,2.16,1.46,4.06,1.84,8.98,4.76,2000
USC00226527,2.44,0.52,0.26,3.43,4.41,5.39,0.60,0.30,3.90,0.30,12.75,7.52,2000
USC00221152,2.35,2.22,4.87,8.70,4.28,4.32,1.56,1.44,2.98,0.15,9.82,4.22,2000
USW00093919,3.01,1.46,3.73,4.26,0.62,6.54,2.01,4.03,3.91,1.20,6.41,3.24,2000
