id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00246238,0.13,0.17,0.21,0.79,1.91,4.22,3.67,0.66,1.41,0.61,0.35,0.27,2000
USC00241938,0.62,1.84,1.04,1.48,2.25,1.87,0.27,0.27,1.11,1.09,0.45,0.83,2000
USC00246586,0.26,0.38,0.20,0.84,1.49,5.10,2.89,0.82,0.51,0.77,1.81,0.00,2000
USC00244512,0.12,0.00,0.27,0.41,0.80,0.73,0.61,0.00,0.82,0.15,0.00,0.18,2000
USC00247964,1.66,0.68,0.55,0.94,1.57,1.10,0.70,0.13,1.31,2.46,0.59,0.44,2000
USC00245153,0.54,0.54,0.38,0.40,1.11,1.08,0.86,0.16,1.33,1.01,0.12,0.39,2000
USC00245030,0.56,0.43,0.39,0.61,1.49,0.21,1.08,0.45,0.93,1.53,0.21,0.22,2000
USC00242689,0.16,0.78,0.48,1.85,1.93,1.95,2.33,0.49,1.06,0.74,3.56,0.22,2000
USC00248324,0.17,0.25,0.13,0.65,1.59,1.31,0.54,0.49,0.62,1.57,0.40,0.21,2000
USC00246218,2.73,1.40,1.23,1.41,1.04,1.65,1.15,0.56,1.94,0.47,0.67,1.92,2000
USW00024036,0.49,0.62,0.35,1.55,1.39,2.70,2.67,0.20,1.77,0.80,0.57,0.20,2000
USW00024033,0.56,1.30,0.78,1.32,1.64,1.30,0.51,0.06,1.85,0.55,0.49,0.34,2000
USC00244530,0.18,0.63,0.35,0.39,1.35,1.61,5.76,0.44,1.07,0.42,0.17,0.03,2000
USC00242275,0.36,0.38,0.02,0.00,1.09,0.18,0.60,0.60,0.76,0.99,0.52,0.07,2000
USC00247448,1.83,1.54,1.13,1.13,1.04,1.52,0.61,0.33,1.19,2.50,1.06,1.22,2000
USC00245015,2.80,1.31,1.02,1.48,0.78,0.94,0.27,0.15,0.46,0.33,0.90,0.72,2000
USC00245011,1.46,0.97,0.74,0.62,0.85,1.09,0.74,0.15,0.81,0.33,0.28,1.44,2000
USC00245387,0.29,0.38,0.35,0.87,1.89,1.24,1.28,0.62,0.82,1.33,0.28,0.54,2000
USC00246635,0.93,1.31,0.96,1.24,1.70,0.62,1.03,0.20,1.90,1.29,0.72,0.53,2000
USC00247265,0.13,0.28,0.78,0.87,2.22,1.47,1.64,0.10,0.79,0.75,0.44,0.40,2000
USC00244558,1.11,1.22,0.99,0.80,1.13,1.56,0.48,0.26,1.39,0.41,0.37,0.80,2000
USC00245020,3.06,2.04,0.98,1.79,1.93,0.78,0.28,0.02,1.24,0.70,1.16,1.87,2000
USC00241692,0.20,0.30,0.46,0.49,0.78,0.76,0.51,0.18,0.57,0.30,0.11,0.00,2000
USC00240802,0.50,1.42,1.44,1.56,1.31,1.72,0.79,0.10,2.83,0.83,0.36,0.14,2000
USC00240110,0.51,0.86,1.14,0.98,3.12,1.14,0.76,0.69,1.05,4.17,0.71,0.18,2000
USC00241995,2.98,2.32,1.84,1.13,3.78,3.43,0.82,1.56,1.39,2.63,0.95,2.02,2000
USC00247128,0.68,1.04,0.87,0.95,4.28,1.29,0.83,0.12,2.14,1.69,0.17,0.57,2000
USC00248165,0.04,0.46,0.32,0.63,1.30,0.89,1.47,0.03,0.87,0.69,0.52,0.10,2000
USW00094012,0.15,0.11,0.44,0.54,2.07,0.60,1.80,0.13,0.94,0.64,0.19,0.15,2000
