id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USW00013723,4.04,1.54,2.95,4.47,2.31,4.06,2.18,3.98,9.98,0.00,1.96,1.14,2000
USW00013722,6.27,2.20,1.76,4.67,1.23,2.50,6.20,6.64,3.83,0.00,2.56,1.51,2000
USC00310241,3.89,1.60,2.30,5.18,3.86,5.63,8.32,5.34,4.76,0.03,2.32,1.81,2000
USC00314788,5.70,3.39,3.69,7.39,5.17,6.23,6.63,6.31,7.47,0.04,9.80,4.20,2000
USW00013748,4.66,1.31,2.62,4.63,3.70,6.22,7.83,8.39,7.78,0.38,4.67,1.64,2000
USC00317516,7.13,2.16,3.76,6.22,2.86,7.60,3.12,4.62,4.38,0.00,2.24,2.65,2000
USC00316805,5.23,3.33,6.51,6.46,2.99,4.42,3.48,4.43,5.77,0.00,6.90,3.55,2000
USC00311990,3.61,1.99,3.22,5.38,1.83,2.17,1.60,1.18,5.44,0.01,2.04,1.63,2000
USW00013766,5.23,2.40,1.59,4.07,7.57,9.38,7.59,6.15,5.11,0.40,3.19,3.82,2000
USC00315923,5.39,3.00,5.88,9.33,3.31,7.24,5.76,10.07,4.52,0.23,6.33,1.85,2000
USC00316001,7.48,2.36,3.39,7.66,1.69,6.22,4.28,3.27,6.40,0.06,5.81,2.87,2000
USC00318964,7.69,1.92,3.06,3.17,1.37,3.07,4.89,5.54,8.02,0.00,3.10,1.78,2000
USC00313228,4.86,2.64,3.88,6.35,2.36,5.68,3.15,1.97,4.39,0.05,5.33,3.26,2000
USC00318500,5.78,1.47,2.86,4.12,3.29,4.33,4.22,9.04,6.22,0.01,2.11,2.10,2000
USC00310576,4.97,1.81,3.43,7.26,6.44,2.33,8.41,13.14,10.20,0.17,3.92,4.44,2000
USC00311624,4.61,2.91,4.65,6.16,3.02,3.46,5.53,4.92,2.74,0.00,4.64,2.34,2000
USC00314055,5.77,3.07,6.92,7.66,2.47,4.24,6.35,3.09,6.25,0.15,10.00,4.17,2000
USC00318778,3.08,2.22,2.62,5.12,3.07,3.02,1.61,1.69,4.97,0.31,2.27,1.38,2000
USC00314260,4.15,2.56,3.39,6.02,3.61,5.11,4.27,5.03,2.96,0.00,2.25,1.48,2000
USC00311606,4.19,2.42,2.02,7.38,2.43,3.12,7.00,10.02,6.68,0.52,3.80,4.22,2000
USC00313168,4.41,2.73,1.65,2.96,0.52,4.85,6.10,1.91,7.74,0.00,3.29,1.83,2000
USC00319440,5.00,1.58,2.76,5.42,4.41,5.51,3.75,11.06,7.18,0.00,1.22,1.80,2000
USC00312719,4.44,1.37,1.76,4.41,10.41,7.81,1.96,8.39,6.69,0.00,2.48,1.40,2000
USW00013872,2.58,2.22,3.95,4.75,2.47,2.87,4.42,1.77,2.19,0.00,2.64,1.46,2000
USC00317845,3.63,2.26,4.46,5.71,2.16,1.40,3.99,1.80,5.37,0.00,3.62,2.37,2000
USC00312500,4.82,2.09,1.85,4.07,1.52,3.76,8.13,5.60,8.59,0.00,3.36,1.13,2000
USC00313106,3.01,2.50,4.21,5.70,1.71,2.58,3.89,5.00,4.78,0.00,4.14,2.16,2000
USC00319467,6.37,1.14,3.01,4.58,2.91,7.90,7.81,8.53,9.97,0.42,4.84,1.70,2000
USC00315177,6.55,1.67,2.33,2.69,1.90,4.78,6.93,5.62,7.35,0.00,3.50,1.30,2000
USC00310843,1.07,2.41,4.17,6.13,3.28,3.33,3.10,2.63,3.25,0.11,3.46,1.32,2000
USC00315340,0.19,2.22,4.61,6.31,3.06,2.87,4.75,3.20,3.22,0.00,4.26,1.60,2000
USC00314962,5.71,1.23,2.46,4.63,3.86,4.88,3.52,4.73,6.18,0.01,2.91,1.03,2000
USC00317924,5.26,2.14,2.00,4.40,2.92,1.65,3.50,2.64,7.00,0.02,2.10,1.52,2000
USC00312837,1.16,2.13,4.07,2.77,2.69,5.53,4.85,3.96,2.61,0.00,3.15,3.35,2000
USC00317319,4.46,1.07,2.31,4.25,4.73,4.13,9.71,7.07,6.44,0.00,2.20,1.34,2000
USC00319675,3.98,1.84,3.47,6.98,1.80,5.09,2.37,2.41,6.07,0.00,2.01,1.51,2000
USC00315890,3.58,1.56,3.13,5.21,1.46,4.47,1.89,5.58,4.54,0.00,2.63,1.96,2000
USC00310674,4.33,2.58,3.59,5.85,3.07,4.52,6.76,9.03,7.25,0.22,3.11,1.83,2000
USC00318448,4.04,2.30,4.65,6.66,3.35,3.56,4.06,3.91,3.09,0.24,3.72,2.33,2000
USC00319423,5.68,0.80,5.17,4.54,4.35,7.18,10.49,6.16,6.41,0.11,3.34,2.05,2000
USC00311239,3.60,2.08,3.65,3.83,1.04,3.52,3.53,5.91,5.17,0.02,1.99,1.69,2000
USW00093740,5.16,1.35,2.29,2.52,1.56,1.24,5.40,4.70,6.41,0.03,2.85,1.28,2000
USC00313921,4.85,2.31,4.55,7.44,1.98,7.38,2.23,1.96,4.41,0.00,11.30,2.29,2000
USC00315116,4.98,0.99,2.76,2.54,1.33,4.89,7.78,8.57,16.15,0.14,5.05,1.88,2000
USC00317165,5.15,1.70,2.02,3.87,1.97,4.78,7.64,3.06,7.20,0.00,3.47,1.74,2000
USC00314456,3.50,1.49,3.17,4.76,4.30,4.47,3.12,8.13,5.00,0.00,2.15,1.90,2000
USC00310982,2.72,2.17,5.06,7.13,1.54,8.48,3.18,4.48,4.05,0.16,3.19,1.74,2000
USC00317656,9.56,2.04,2.51,3.28,1.85,3.57,7.36,5.68,7.73,0.12,2.83,0.80,2000
USC00319354,5.78,0.90,5.94,2.39,2.59,7.95,5.37,5.12,8.39,0.01,4.07,2.04,2000
USC00311975,4.10,2.50,4.29,5.46,3.33,0.94,3.81,3.26,9.54,0.00,2.87,0.93,2000
USW00093783,4.16,2.06,3.42,1.41,1.02,3.11,3.70,5.74,4.81,0.11,1.98,1.42,2000
USW00093782,5.01,1.26,3.73,1.82,0.91,1.95,2.38,4.62,6.76,0.10,2.32,0.87,2000
USW00093781,3.90,1.33,2.17,4.14,3.85,1.40,3.43,6.78,4.52,0.06,2.17,1.22,2000
USW00093785,2.85,1.97,2.25,5.40,1.72,2.82,10.54,4.31,4.05,0.37,2.13,1.03,2000
USC00311564,3.46,2.38,3.52,6.70,4.09,3.51,4.31,3.83,5.11,0.08,4.39,2.51,2000
USC00317395,4.88,1.51,2.14,3.24,2.69,4.78,5.93,5.80,5.89,0.00,3.05,2.23,2000
USC00313555,5.13,1.96,2.69,5.67,1.84,5.50,4.96,6.24,4.99,0.02,1.56,1.53,2000
USC00317079,5.81,1.96,1.96,3.59,1.05,2.22,6.00,4.35,9.78,0.00,2.36,1.02,2000
USC00317074,6.13,2.19,3.43,3.41,0.74,6.87,4.78,5.50,10.11,0.00,2.63,1.35,2000
USC00314675,2.08,1.75,3.66,6.62,1.88,4.51,2.21,2.22,9.56,0.00,2.31,1.13,2000
USC00312631,4.67,1.30,2.81,5.90,1.75,6.86,2.61,5.22,5.22,0.02,1.34,1.36,2000
USC00312635,4.41,1.33,0.99,4.34,4.44,8.17,3.86,6.94,3.31,0.00,2.37,0.95,2000
USC00314496,5.06,1.33,2.67,5.69,1.43,2.57,4.32,4.03,2.94,0.00,2.84,1.94,2000
USC00317056,8.19,2.16,3.61,2.81,1.69,4.26,4.44,4.57,10.58,0.00,3.81,1.23,2000
USW00053870,3.38,2.96,3.62,4.26,0.78,2.79,3.02,3.12,7.09,0.05,2.54,0.32,2000
USW00053872,4.53,1.37,2.46,3.54,1.05,2.85,2.70,3.70,4.66,0.04,2.37,1.62,2000
USC00315838,3.36,2.12,3.64,6.03,1.85,0.69,2.93,2.30,7.04,0.00,3.19,2.77,2000
USC00313969,2.85,2.07,1.76,4.11,3.48,3.34,4.75,7.30,5.76,0.00,1.56,1.25,2000
USC00315743,3.66,1.67,3.82,3.87,2.27,1.59,0.99,4.06,2.84,0.00,1.98,1.28,2000
USC00318744,4.59,2.56,6.48,7.56,1.49,2.04,3.68,2.87,4.46,0.02,5.04,3.46,2000
USC00316510,5.35,2.25,3.74,4.80,2.57,4.04,3.54,7.09,4.11,0.00,1.68,1.99,2000
USC00315996,5.30,1.31,2.43,5.42,4.61,6.67,6.80,8.47,5.66,0.00,2.98,2.06,2000
USC00311081,0.94,0.50,3.99,6.52,2.82,1.42,4.07,2.78,6.07,0.05,3.57,2.44,2000
USC00317486,5.28,3.40,4.44,6.57,3.11,3.80,7.24,2.23,6.41,0.00,2.92,2.59,2000
USC00318113,5.94,1.83,1.69,4.11,1.72,3.01,10.74,8.20,14.91,0.18,3.66,2.30,2000
USC00316236,4.31,2.79,4.40,6.73,4.46,5.33,3.97,2.93,2.64,0.00,3.39,2.03,2000
USC00318694,3.26,2.12,3.93,5.65,1.03,8.05,4.24,3.83,5.72,0.10,3.55,1.65,2000
USC00317548,4.28,1.53,3.42,6.65,2.91,3.21,4.19,3.05,7.67,0.00,1.48,1.25,2000
USC00313784,6.28,1.79,2.09,3.77,2.00,3.57,4.35,6.44,7.71,0.00,3.79,1.46,2000
USC00317202,4.19,1.39,3.15,6.23,1.42,4.62,2.78,4.81,5.43,0.00,1.74,1.38,2000
USC00319923,5.73,2.19,2.98,3.25,2.33,3.73,9.09,5.11,7.47,0.00,3.02,1.03,2000
USC00314144,5.84,1.39,3.12,7.45,1.77,5.48,10.38,7.62,10.79,0.26,5.64,4.03,2000
USC00317229,3.75,1.91,3.22,5.89,2.40,0.66,4.42,1.87,4.68,0.00,2.41,1.47,2000
USC00310506,2.62,0.37,3.75,2.12,1.45,1.36,2.20,1.89,1.03,0.03,1.80,0.68,2000
USC00319357,5.37,1.14,5.49,2.56,3.09,8.69,5.92,8.53,5.61,0.02,3.54,2.28,2000
USW00013776,6.56,1.71,2.08,2.80,1.72,4.40,9.09,3.20,4.76,0.08,3.25,1.11,2000
USC00315913,3.63,2.52,3.61,3.83,0.76,2.01,5.12,1.62,6.69,0.00,2.60,1.49,2000
USC00318292,4.19,2.19,3.34,5.62,2.28,2.15,3.84,1.94,4.98,0.00,2.33,1.46,2000
USC00313150,3.65,2.17,4.70,6.51,1.78,1.28,5.70,1.39,6.56,0.00,3.90,2.40,2000
USC00316602,3.67,2.32,4.42,5.06,2.74,3.40,5.63,3.73,5.11,0.00,3.79,1.80,2000
USC00315830,4.07,2.40,1.98,7.52,4.40,8.26,10.36,9.48,10.64,0.54,5.79,3.24,2000
USC00317097,3.38,2.06,4.44,4.22,2.34,2.87,5.05,3.46,6.01,0.00,2.67,1.30,2000
USC00318706,5.54,1.50,4.77,5.76,2.25,4.40,13.28,6.38,7.71,0.02,3.61,2.14,2000
USC00311820,5.76,1.78,1.93,3.83,0.90,6.92,5.55,7.40,7.37,0.00,2.37,1.45,2000
USC00314063,4.26,1.90,3.35,4.87,1.88,2.76,5.73,3.11,4.32,0.01,2.19,1.20,2000
USC00314938,6.54,2.53,3.43,8.15,1.88,2.38,3.62,2.90,10.04,0.00,2.63,2.47,2000
USC00318492,5.24,3.99,4.46,7.42,3.57,5.44,4.76,1.95,4.00,0.00,4.87,2.71,2000
USW00093729,5.86,3.81,2.71,5.08,2.41,4.98,6.05,7.26,9.06,1.63,4.54,3.33,2000
USC00310724,3.07,2.74,5.99,4.92,3.04,5.65,5.21,3.22,4.91,0.01,4.82,2.63,2000
USW00003812,3.10,2.33,3.82,5.12,1.27,2.78,2.85,4.45,3.27,0.00,4.25,2.37,2000
USW00003810,3.50,2.00,3.67,5.84,4.06,1.09,1.98,2.87,3.41,0.00,2.51,2.07,2000
USC00313638,5.18,1.74,3.19,4.53,1.62,4.60,6.72,9.71,7.40,0.15,2.13,1.53,2000
USC00311677,4.61,2.25,2.68,6.25,2.53,3.19,7.69,5.00,4.22,0.26,2.37,1.42,2000
USC00315356,3.72,2.28,3.50,4.33,2.49,4.36,2.21,4.37,2.78,0.04,1.98,1.30,2000
USC00313356,1.47,2.09,2.10,2.97,0.59,2.90,0.86,1.78,7.54,0.00,2.97,1.27,2000
USC00319476,5.56,2.00,2.57,3.15,1.18,2.96,4.52,5.27,6.93,0.00,2.50,1.15,2000
USC00311420,2.73,2.10,4.14,4.83,2.76,4.97,3.07,4.33,2.42,0.05,3.06,1.72,2000
USC00312740,3.67,1.65,3.20,5.95,2.07,4.34,5.43,1.58,8.61,0.00,1.86,1.81,2000
USC00318519,2.02,1.10,3.26,6.29,1.56,2.93,2.45,2.37,5.81,0.00,1.68,2.07,2000
USC00314684,5.33,2.12,4.48,4.22,2.38,3.46,7.10,6.21,7.29,0.14,2.96,1.96,2000
USC00314689,5.48,2.75,4.78,3.89,2.72,3.54,5.46,7.09,7.12,0.00,2.63,1.76,2000
USW00093719,4.80,1.72,4.41,8.36,3.96,1.98,11.83,9.41,6.75,0.13,3.55,2.23,2000
USC00314970,4.31,2.00,3.42,5.13,3.14,1.23,2.70,3.44,5.60,0.00,2.39,1.25,2000
USC00312827,4.81,1.34,2.36,3.23,3.43,3.67,4.33,7.72,3.45,0.00,2.03,2.80,2000
USC00314764,2.96,2.49,5.78,5.96,1.94,6.09,6.71,2.42,4.66,0.09,4.48,2.19,2000
USC00311437,3.60,2.14,3.72,4.37,2.85,4.56,2.62,2.66,2.22,0.01,3.06,1.26,2000
USC00317994,4.04,2.39,2.14,4.20,1.32,7.42,7.90,7.61,5.44,0.00,2.00,2.32,2000
USC00319123,5.02,2.57,3.29,6.20,5.93,7.28,7.30,4.73,4.24,0.17,3.13,1.78,2000
USW00093807,3.48,1.72,3.01,4.24,2.02,3.71,3.62,3.19,6.34,0.02,1.59,1.14,2000
USC00316349,4.55,1.95,2.57,5.70,2.82,2.82,6.17,8.31,10.65,1.36,5.43,5.02,2000
USC00310645,3.78,2.83,4.37,6.41,2.67,5.60,5.24,6.07,2.32,0.34,2.49,2.90,2000
USC00316853,4.32,1.61,3.52,5.38,5.59,7.96,5.15,5.74,7.03,0.04,2.53,2.20,2000
USC00317725,5.96,1.60,3.22,3.88,3.15,4.73,3.90,5.01,5.29,0.00,2.35,2.22,2000
USC00312102,5.95,2.06,5.30,6.74,2.39,3.80,3.08,2.27,3.50,0.00,9.00,3.51,2000
USC00319100,5.31,2.28,4.55,4.52,1.69,2.56,5.56,6.95,9.26,0.12,2.54,2.48,2000
USC00314996,4.28,2.22,3.98,7.41,2.60,2.71,4.46,1.99,5.73,0.00,3.53,1.84,2000
USC00311579,4.16,2.01,3.50,5.79,1.52,3.35,1.87,2.89,7.50,0.00,2.10,2.05,2000
USC00319081,2.45,1.80,6.42,4.58,1.60,4.67,5.85,3.89,8.06,0.00,2.70,1.30,2000
USC00319555,3.52,0.91,3.80,6.00,2.23,4.01,2.42,9.43,6.27,0.06,2.76,2.14,2000
USC00314464,7.35,2.56,1.93,4.36,1.31,4.83,3.30,4.39,5.85,0.00,3.09,1.70,2000
USW00013881,4.07,2.59,3.59,5.48,1.17,3.48,1.47,3.26,5.81,0.00,2.75,1.07,2000
USC00316341,5.41,4.21,3.74,7.42,5.94,4.44,3.39,3.24,3.31,0.02,4.22,5.94,2000
USC00311055,4.30,3.39,6.38,7.04,4.78,2.71,3.37,2.94,6.00,0.04,6.89,3.15,2000
USC00319147,4.41,3.57,3.63,6.58,4.84,2.94,3.43,3.78,2.48,0.05,4.72,2.43,2000
USC00313976,4.39,3.80,5.01,6.05,1.38,3.50,4.23,2.51,3.56,0.03,4.44,3.17,2000
USC00319704,4.81,1.88,2.79,5.85,2.68,9.67,4.55,6.31,3.72,0.17,1.81,1.58,2000
USC00311538,4.62,2.21,1.72,4.56,2.94,1.37,1.98,2.02,3.63,0.02,3.99,1.78,2000
USC00311285,1.10,3.16,2.41,4.99,2.56,3.35,4.83,5.72,5.02,0.10,3.38,1.29,2000
USC00318158,2.15,2.04,2.66,5.52,0.93,3.05,6.13,5.73,2.06,0.00,3.82,1.95,2000
USC00313565,5.87,2.79,4.45,8.07,3.36,6.47,7.59,3.72,3.42,0.49,3.39,2.01,2000
USC00315771,6.30,2.70,2.95,3.61,1.22,3.39,4.22,3.58,8.06,0.00,2.83,1.41,2000
USC00317618,3.80,2.16,4.17,4.03,1.45,1.31,4.54,2.05,5.32,0.00,2.16,1.02,2000
USC00317615,3.24,2.10,3.32,3.94,2.67,1.30,3.08,1.89,6.14,0.00,1.35,0.58,2000
