id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00329246,0.27,0.40,0.35,1.14,2.34,5.09,2.65,1.71,0.67,3.11,2.91,0.36,2000
USC00321477,0.31,1.90,1.85,0.79,2.56,7.80,2.59,2.80,3.54,3.13,4.14,0.72,2000
USC00324203,0.34,1.83,0.69,1.92,1.51,4.09,3.38,4.04,1.89,4.06,4.32,1.01,2000
USC00323004,0.23,2.56,1.96,1.50,2.25,4.21,3.13,0.89,0.99,0.75,2.29,0.56,2000
USW00024011,0.39,1.74,1.28,1.52,2.73,5.11,4.03,1.00,0.98,2.48,1.53,0.24,2000
USW00024013,0.15,0.80,0.49,1.05,3.45,3.07,2.28,2.43,1.66,0.94,1.94,0.19,2000
USW00024012,0.20,1.02,0.15,1.35,2.30,2.29,3.71,0.12,0.52,1.04,2.70,0.27,2000
USC00328627,0.48,0.92,0.26,1.31,2.65,4.34,2.02,1.80,2.02,1.19,2.13,0.25,2000
USW00094041,0.22,0.90,0.37,2.55,3.83,3.30,2.19,5.14,1.58,1.56,1.65,0.15,2000
USC00323064,0.32,0.96,1.55,1.36,2.42,1.90,3.58,1.11,1.31,0.66,2.67,0.37,2000
USC00328366,0.30,0.67,1.54,1.49,2.00,3.94,3.69,1.87,1.26,2.80,1.33,0.29,2000
USC00328812,0.25,0.62,0.28,1.52,1.47,1.65,1.98,0.59,0.97,0.46,2.92,0.33,2000
USC00325078,0.37,1.35,0.53,0.73,2.13,3.10,5.67,4.38,1.51,2.03,3.00,0.67,2000
USC00328608,0.15,2.44,0.25,1.10,1.45,6.17,3.57,5.54,2.30,3.12,0.46,0.00,2000
USC00320941,0.28,1.44,1.44,1.41,3.28,4.42,2.52,2.81,1.79,1.24,2.14,0.67,2000
USC00325848,0.23,0.61,0.46,0.92,2.14,3.46,3.85,4.28,2.39,2.18,2.40,0.39,2000
USC00328990,0.49,0.97,0.44,0.97,4.46,3.70,2.61,2.93,1.82,1.28,4.32,0.46,2000
USC00320022,0.20,1.21,0.68,0.56,0.73,4.89,2.22,4.83,2.06,1.29,2.71,0.65,2000
USC00326315,0.18,0.78,0.19,1.10,3.02,2.20,4.34,0.12,0.67,2.05,0.77,0.53,2000
USC00320995,0.22,0.48,0.26,1.05,2.21,2.75,3.65,0.17,0.28,1.11,2.86,0.54,2000
USC00328276,0.56,0.88,0.38,1.89,2.12,4.84,2.54,2.22,1.61,2.17,1.56,0.40,2000
USC00325730,0.35,1.50,0.86,1.32,1.04,7.40,2.66,4.42,1.18,2.90,2.65,0.61,2000
USC00327704,0.19,1.00,0.66,1.17,4.18,3.85,4.50,3.28,1.14,0.00,2.22,0.29,2000
USC00323963,0.10,1.42,0.43,0.26,2.16,3.93,2.60,3.44,1.78,1.01,2.43,0.61,2000
USC00328872,0.32,1.27,0.43,2.17,3.01,5.24,2.56,3.77,1.33,2.10,2.75,0.37,2000
USC00320729,0.36,0.90,0.31,1.31,2.94,3.58,2.42,2.68,1.47,0.99,2.71,0.52,2000
USC00322588,0.19,1.46,1.12,1.72,3.00,4.28,3.81,0.40,0.80,0.69,2.35,0.55,2000
USC00321052,0.06,1.05,0.92,0.71,3.09,2.88,3.97,0.66,0.57,1.63,1.03,1.75,2000
USC00327664,0.08,0.50,1.08,0.79,2.69,3.55,4.11,3.47,1.85,1.02,3.13,0.52,2000
USC00325230,0.29,2.00,1.04,1.88,2.06,3.03,3.89,2.17,1.58,1.83,2.82,0.56,2000
USC00328937,0.24,1.43,1.04,1.11,2.45,3.17,1.79,3.39,0.56,1.57,2.18,0.25,2000
USC00329333,0.20,0.92,0.56,1.15,2.91,3.57,4.42,2.74,2.04,0.98,2.70,0.53,2000
USC00320189,0.34,0.63,0.27,1.31,1.97,4.70,3.15,1.82,0.62,0.56,2.91,0.22,2000
USC00329650,0.30,0.63,0.18,1.74,2.27,3.04,2.93,1.11,1.10,1.59,1.83,0.27,2000
USC00327530,0.22,1.22,0.42,1.21,2.86,3.94,3.43,0.70,1.04,1.31,2.48,0.14,2000
USW00014919,0.29,2.11,0.82,1.92,2.08,3.05,3.24,3.07,1.50,2.94,0.89,0.03,2000
USW00014916,0.07,1.65,0.57,1.06,0.85,7.20,2.32,2.46,1.53,2.51,3.94,0.53,2000
USW00014914,0.34,1.00,1.77,1.33,2.69,11.72,2.44,3.07,3.65,1.96,4.13,0.70,2000
USC00323826,0.20,0.41,1.58,1.47,2.86,1.70,2.61,1.44,0.93,0.98,1.93,0.26,2000
USC00325798,0.28,1.46,1.23,1.31,2.70,2.37,3.04,3.14,1.42,2.46,1.40,0.53,2000
USC00320766,0.27,1.00,0.20,2.44,2.99,3.00,3.13,0.74,1.11,2.37,1.99,0.37,2000
USC00328913,0.30,1.04,0.83,1.06,2.63,6.65,3.82,3.73,1.61,0.62,3.23,0.61,2000
