id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00256365,0.30,2.94,3.13,0.83,1.02,6.59,5.39,1.23,1.13,2.07,1.48,0.31,2000
USC00253589,0.16,1.78,2.48,0.80,1.74,2.28,3.59,0.46,0.97,2.24,1.88,0.89,2000
USC00253050,0.32,1.94,0.61,1.90,1.68,4.59,7.22,1.84,0.79,1.60,2.34,0.81,2000
USC00251345,0.27,0.80,1.16,1.37,3.02,3.70,6.27,1.56,1.76,1.94,1.40,0.20,2000
USC00255040,0.38,1.08,0.35,1.55,4.35,2.17,0.20,2.23,1.33,1.93,1.36,0.39,2000
USC00253910,0.21,1.32,3.73,0.99,1.45,2.04,7.04,1.01,1.40,1.96,1.41,0.34,2000
USC00256735,0.17,0.85,1.12,1.61,3.14,3.69,3.92,1.09,1.22,2.23,1.97,0.24,2000
USW00024032,0.24,1.16,0.68,2.68,3.67,3.22,4.66,0.12,0.50,2.09,0.31,0.19,2000
USW00024030,0.15,0.02,0.75,1.98,1.23,0.59,2.15,0.73,0.26,0.35,0.14,0.02,2000
USC00259150,0.05,1.25,1.22,1.70,3.06,4.00,4.31,2.52,1.71,2.60,0.85,0.56,2000
USC00255702,0.46,0.56,1.00,2.19,4.10,3.48,2.79,1.11,1.49,3.37,0.68,0.58,2000
USC00257751,0.13,0.74,1.59,1.35,2.43,2.44,3.31,1.66,1.54,2.05,1.39,0.79,2000
USC00251365,0.36,0.72,1.03,1.28,3.56,2.87,1.84,0.30,0.50,1.56,2.77,0.36,2000
USC00252715,0.21,0.97,0.78,1.74,3.28,8.40,3.87,1.03,1.55,3.41,2.05,0.51,2000
USW00094040,0.07,0.88,1.91,1.38,0.87,1.98,2.35,2.36,1.66,4.05,0.46,0.05,2000
USC00258455,0.12,0.80,1.36,1.83,4.40,2.00,3.41,0.75,1.43,2.55,2.34,0.32,2000
USC00252380,0.26,0.88,0.89,1.42,2.67,5.23,4.03,1.01,0.77,3.96,1.70,0.97,2000
USC00256375,0.17,0.96,1.74,1.89,2.13,1.28,3.76,1.79,2.13,1.93,2.29,0.99,2000
USC00255269,0.32,0.75,1.60,1.37,0.11,1.70,1.47,1.19,2.32,5.44,1.34,0.03,2000
USC00250030,0.38,0.69,0.74,3.80,4.59,0.73,2.17,1.31,1.81,0.98,0.68,0.08,2000
USC00250525,0.20,1.55,0.98,1.36,4.85,3.13,4.52,0.98,1.79,2.84,1.67,0.63,2000
USC00250520,0.10,1.82,2.48,2.26,1.59,4.65,4.95,0.90,1.77,1.38,1.20,0.25,2000
USC00253950,5.04,0.64,0.82,2.82,3.46,6.37,3.49,1.29,0.90,1.64,2.31,1.32,2000
USC00254604,0.14,0.35,2.75,1.60,0.29,0.38,2.01,1.70,1.75,3.07,0.00,0.00,2000
USC00251680,0.11,0.84,2.37,0.96,3.26,4.19,4.95,2.12,1.11,3.09,2.54,0.71,2000
USC00259440,0.27,1.95,1.46,1.04,2.05,1.16,6.38,0.70,1.27,1.70,2.13,1.17,2000
USC00259115,0.17,0.70,1.33,1.48,1.47,1.25,3.50,1.77,1.85,1.81,1.50,0.05,2000
USC00252770,0.22,1.07,0.74,1.42,4.62,6.43,6.16,1.88,1.76,1.89,1.88,0.30,2000
USC00252595,0.12,1.40,0.87,1.26,6.01,3.03,3.80,0.97,1.30,3.02,1.44,0.42,2000
USC00256290,0.22,0.76,0.61,1.23,3.66,2.09,2.40,0.30,1.43,3.76,1.20,0.33,2000
USC00254035,0.12,0.99,0.85,1.27,2.66,4.35,5.46,1.65,0.80,2.80,2.07,0.84,2000
USC00256922,0.10,2.51,2.85,2.50,4.08,3.91,5.13,2.01,0.73,1.66,1.39,1.04,2000
USC00257715,0.10,0.64,1.65,1.65,2.61,4.85,3.66,1.86,1.26,1.80,1.08,0.51,2000
USW00024044,0.12,0.04,0.93,2.19,3.48,0.92,1.35,0.66,0.98,0.51,0.02,0.06,2000
USC00258650,0.46,0.42,1.04,1.11,2.76,2.86,2.69,0.81,1.58,2.31,1.51,0.11,2000
USC00256040,0.22,1.17,1.26,1.52,2.19,1.24,3.79,1.40,1.41,2.82,1.62,0.27,2000
USC00250050,0.19,0.52,0.47,2.37,2.60,3.74,4.57,0.02,1.13,2.27,1.16,0.37,2000
USC00252020,0.08,0.53,1.01,2.26,2.30,4.49,3.58,0.00,1.30,2.31,0.85,1.30,2000
USC00251590,0.10,1.48,0.95,1.43,4.53,2.93,1.81,0.20,1.28,3.12,1.12,0.42,2000
USC00255830,0.22,1.50,1.01,1.52,5.89,2.24,6.93,0.70,1.07,3.04,1.88,0.59,2000
USC00258410,0.00,2.02,2.07,1.63,1.70,5.54,4.90,2.85,1.80,1.69,2.05,0.98,2000
USC00251696,0.18,1.50,0.77,1.51,5.85,1.61,3.12,0.72,1.02,2.87,0.89,0.17,2000
USC00259325,0.12,1.32,1.24,0.29,0.96,3.94,6.92,1.46,1.27,3.32,1.34,0.09,2000
