id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00270913,4.18,3.73,4.22,6.83,4.16,5.88,5.31,2.31,3.14,3.30,3.15,4.88,2000
USC00279091,3.61,2.89,3.17,6.57,5.32,3.43,3.67,2.64,2.07,3.35,2.77,4.16,2000
USC00272999,3.25,2.75,2.31,6.05,7.83,3.15,3.16,5.39,4.34,2.59,3.69,4.14,2000
USC00278972,3.78,4.73,4.81,6.50,3.52,3.61,4.98,3.33,4.50,3.23,3.82,4.49,2000
USC00272842,3.87,4.55,2.78,6.62,5.88,2.17,3.32,2.57,4.29,2.60,2.41,3.80,2000
USC00279966,4.19,2.86,2.92,6.96,6.61,2.75,4.51,5.49,5.13,2.49,4.05,4.81,2000
USW00014710,2.48,3.22,3.95,6.10,2.95,3.51,4.99,2.04,2.78,2.54,3.77,2.51,2000
USC00270681,2.80,3.02,2.87,6.23,6.69,2.14,3.33,3.19,2.15,2.55,3.40,4.10,2000
USC00272800,3.59,3.02,4.14,7.07,2.94,3.40,6.28,3.31,3.15,2.97,4.37,3.75,2000
USW00014755,7.11,6.42,6.48,10.85,10.34,6.51,11.97,5.84,8.56,6.48,7.37,9.43,2000
USC00270706,3.49,2.49,3.11,7.21,5.81,2.08,3.36,3.20,3.58,2.63,3.70,5.99,2000
USC00271647,3.37,2.72,1.43,5.11,5.45,1.94,4.38,3.31,3.79,2.73,2.43,3.76,2000
USC00274480,3.67,3.63,4.18,5.43,3.84,4.21,5.61,2.83,2.03,3.30,4.11,3.58,2000
USC00278858,3.55,3.25,2.96,4.55,3.65,6.10,5.45,4.41,2.50,2.83,2.69,4.88,2000
USW00054728,2.91,1.69,2.22,6.44,5.28,2.38,3.57,3.30,2.46,2.29,3.42,2.35,2000
USC00276945,4.22,5.28,3.41,6.31,3.95,3.31,5.06,1.97,1.69,2.60,3.10,3.28,2000
USC00277253,4.09,3.67,5.05,6.76,3.67,3.04,6.97,2.26,3.15,2.82,5.02,4.67,2000
USC00271968,5.14,5.83,3.48,7.63,7.19,3.43,3.70,4.91,3.89,3.73,4.01,4.82,2000
USC00276818,5.16,3.07,2.31,6.70,8.38,2.87,5.05,3.61,5.24,4.56,4.34,6.81,2000
USW00014745,2.26,2.84,3.34,4.82,2.89,3.15,4.34,1.89,3.54,2.29,3.43,2.99,2000
USC00275995,4.14,3.46,3.95,6.22,3.94,3.37,3.52,1.90,1.78,2.97,4.21,4.86,2000
USC00273415,3.90,2.70,3.16,6.58,6.07,1.61,4.72,3.95,2.02,2.84,3.00,4.11,2000
USC00275412,3.58,3.07,3.82,7.44,2.19,4.90,5.47,1.43,2.20,2.40,3.57,4.41,2000
USC00277833,3.55,4.04,4.29,6.28,3.95,5.42,4.55,3.01,3.05,3.55,3.57,3.98,2000
USC00274329,2.76,3.39,2.45,5.44,6.15,2.89,2.80,3.13,2.96,2.70,3.96,3.74,2000
USC00275211,2.74,2.48,3.06,6.23,2.63,3.45,4.86,2.32,2.46,2.13,4.11,3.43,2000
USC00273530,3.42,3.47,2.97,6.34,2.75,3.06,3.25,2.15,2.27,2.10,2.78,3.82,2000
USC00275868,3.63,3.24,3.10,5.62,3.52,4.69,5.26,2.52,2.20,2.61,2.08,4.16,2000
USC00270690,4.00,2.14,2.67,5.92,5.02,2.41,3.45,2.76,4.23,2.79,3.58,4.35,2000
USW00054791,0.85,1.69,4.05,6.59,3.78,2.66,6.39,1.84,2.58,2.81,4.10,3.48,2000
USC00274556,2.85,2.84,2.12,6.12,5.62,2.25,2.28,3.16,3.07,2.20,3.25,3.73,2000
USW00054770,3.57,3.93,4.31,6.00,3.35,5.14,5.54,2.88,4.73,2.85,2.90,3.91,2000
USC00273850,3.90,3.28,2.98,5.22,4.02,3.14,4.67,2.85,2.36,2.56,2.70,4.17,2000
USW00094700,2.51,1.94,2.38,5.65,5.01,2.80,2.83,4.47,3.72,2.02,3.43,2.88,2000
USW00094765,3.78,2.99,3.03,4.72,3.68,3.57,5.17,4.03,2.02,2.43,2.41,4.12,2000
